Kx2HyaGxl,Avg_BPM,Resting_BPM,Weight (kg),Verbrannte Kalorien ,G.
26.66,138,71,61.6,1228.0,Female
26.54,150,56,76.7,792.0,Male
37.98,163,59,100.9,986.0,Male
15.65,136,58,58.3,1010.0,Male
20.28,128,51,60.0,1043.0,Female
44.26,149,68,126.4,915.0,Male
23.8,140,63,75.4,662.0,Female
22.48,131,69,64.2,996.0,Female
25.44,151,58,70.1,673.0,Female
28.78,139,55,107.2,879.0,Male
18.45,154,66,56.5,1220.0,Female
20.11,166,74,61.6,911.0,Female
30.68,130,53,76.6,481.0,Female
23.77,123,52,60.1,1107.0,Female
31.31,146,72,93.7,803.0,Male
41.03,157,73,127.1,552.0,Male
40.52,163,66,125.5,1031.0,Male
28.56,167,54,71.3,893.0,Female
27.84,146,74,96.3,795.0,Male
18.98,130,71,52.3,433.0,Female
17.61,128,63,46.8,864.0,Female
29.89,132,50,101.2,944.0,Male
22.96,167,72,56.6,1378.0,Female
24.2,132,57,64.3,1234.0,Female
18.79,158,74,49.3,1025.0,Male
14.74,138,71,41.1,711.0,Female
27.05,138,68,71.0,691.0,Male
23.21,168,69,60.9,1336.0,Female
23.48,132,69,64.7,1117.0,Female
18.42,147,63,57.7,1213.0,Female
23.22,121,50,76.9,992.0,Male
25.7,129,59,80.5,1181.0,Male
19.88,132,53,49.0,878.0,Female
29.5,128,60,114.5,725.0,Male
18.46,167,50,52.1,637.0,Male
30.34,139,65,70.1,475.0,Female
27.43,134,68,86.9,951.0,Male
23.7,151,70,73.4,815.0,Male
32.66,152,71,90.0,1104.0,Male
23.25,136,58,85.7,1287.0,Male
25.92,167,74,80.3,1497.0,Male
21.84,122,61,66.9,573.0,Female
28.56,131,55,78.7,921.0,Male
24.07,139,58,62.4,1307.0,Female
14.57,135,65,58.3,980.0,Male
24.36,168,67,89.8,1783.0,Male
40.09,168,67,118.6,640.0,Male
41.56,134,57,117.3,914.0,Male
26.47,137,52,77.4,863.0,Female
31.64,142,54,71.2,816.0,Female
23.79,152,68,57.9,1135.0,Female
28.28,164,67,70.6,753.0,Female
44.1,134,67,118.6,693.0,Male
22.6,165,67,63.8,784.0,Female
24.13,157,74,67.3,479.0,Female
23.75,165,56,59.3,1463.0,Female
28.68,163,65,70.7,836.0,Female
24.23,150,55,63.6,965.0,Male
16.01,144,58,45.2,727.0,Female
44.66,143,56,117.2,736.0,Male
19.82,141,70,53.3,402.0,Female
17.39,139,65,46.2,812.0,Male
20.07,165,65,70.2,1127.0,Male
22.99,142,61,62.6,852.0,Female
23.79,124,66,55.7,1066.0,Female
21.34,167,57,69.9,992.0,Male
21.67,164,73,67.9,760.0,Female
25.14,134,54,87.9,1445.0,Male
26.22,120,61,102.8,818.0,Male
23.02,141,58,51.8,838.0,Female
23.41,122,52,57.7,1005.0,Female
27.03,155,74,69.2,907.0,Female
23.88,137,71,66.6,699.0,Female
14.3,160,73,43.8,1001.0,Female
16.8,122,58,44.1,354.0,Female
21.48,168,67,55.0,1035.0,Male
19.5,120,53,60.4,929.0,Female
21.78,169,62,63.7,1080.0,Female
27.84,148,58,81.4,1237.0,Male
19.11,150,62,62.6,1072.0,Male
17.77,163,64,45.5,1057.0,Male
23.93,128,53,60.5,730.0,Female
34.18,134,58,122.1,750.0,Male
44.84,163,60,114.8,1318.0,Male
20.86,153,61,61.0,1150.0,Female
22.45,124,54,58.2,580.0,Female
35.86,139,50,94.1,777.0,Male
19.65,141,52,59.5,1129.0,Female
28.87,139,72,76.7,751.0,Female
29.71,156,67,105.0,1150.0,Male
22.15,169,64,54.6,441.0,Female
18.76,165,63,60.1,1625.0,Female
23.09,163,51,86.0,1404.0,Male
25.68,129,66,61.7,819.0,Female
23.52,139,72,87.6,1315.0,Male
27.85,137,53,82.4,685.0,Male
30.52,168,50,92.4,1303.0,Male
14.93,156,73,45.2,870.0,Female
24.75,138,50,94.1,608.0,Male
30.18,166,66,79.2,1046.0,Female
12.47,165,72,40.4,913.0,Female
29.88,156,56,109.0,1151.0,Male
19.88,154,73,63.0,1095.0,Female
19.67,155,53,52.9,767.0,Female
24.16,142,56,83.6,1082.0,Male
19.63,143,61,57.4,1337.0,Female
25.85,130,57,75.6,663.0,Male
21.16,130,71,83.8,1280.0,Male
22.33,135,74,65.3,796.0,Female
16.28,158,62,45.4,1071.0,Male
24.91,132,58,87.1,1241.0,Male
28.76,126,50,78.3,703.0,Female
18.67,127,69,48.4,732.0,Female
23.53,121,52,72.9,732.0,Female
21.26,158,64,55.1,1224.0,Female
19.01,126,69,60.9,699.0,Female
21.49,128,51,55.7,993.0,Male
25.73,125,68,70.9,506.0,Female
20.38,155,53,58.9,1060.0,Female
19.69,156,59,50.4,803.0,Female
24.54,121,53,65.2,610.0,Female
23.46,125,51,63.1,962.0,Female
31.75,139,74,89.6,1232.0,Male
26.64,133,71,105.5,593.0,Male
32.32,155,50,93.4,938.0,Male
29.26,135,72,112.4,1054.0,Male
24.87,152,64,61.3,1474.0,Female
29.56,134,59,69.2,911.0,Female
23.94,132,56,76.7,832.0,Female
16.2,133,74,44.1,694.0,Female
20.62,149,55,57.5,764.0,Female
20.28,154,55,60.7,714.0,Female
14.36,162,58,45.0,1187.0,Male
23.97,143,66,70.9,927.0,Male
19.44,162,73,62.3,1451.0,Female
18.33,142,67,64.1,500.0,Male
32.24,130,50,106.8,715.0,Male
34.53,126,60,88.4,1160.0,Male
22.27,150,71,68.2,638.0,Female
15.59,160,53,47.2,1200.0,Female
14.78,128,64,56.2,767.0,Male
24.52,162,50,62.0,996.0,Female
40.45,169,63,108.8,1171.0,Male
26.95,121,59,78.8,992.0,Male
20.05,139,66,50.7,883.0,Female
20.61,145,50,80.8,1316.0,Male
31.04,130,62,105.1,444.0,Male
22.44,121,66,69.5,569.0,Female
22.32,123,50,84.0,1218.0,Male
17.44,131,61,61.0,739.0,Male
41.6,152,74,106.5,1170.0,Male
39.3,155,59,105.7,921.0,Male
15.88,132,67,50.3,555.0,Male
33.45,132,73,125.9,882.0,Male
26.36,157,66,60.9,926.0,Female
26.05,161,54,59.4,1304.0,Female
19.1,147,63,52.0,463.0,Female
19.91,120,58,54.2,642.0,Female
15.43,149,74,47.8,711.0,Female
27.23,158,64,102.5,730.0,Male
22.56,123,53,55.6,597.0,Female
20.38,167,62,78.3,1066.0,Male
23.73,158,65,88.4,1314.0,Male
31.84,141,52,84.6,705.0,Male
23.76,123,72,54.9,910.0,Female
31.08,137,54,113.4,957.0,Male
21.23,142,62,53.0,895.0,Female
17.32,163,68,61.2,831.0,Male
17.25,144,56,48.7,886.0,Female
17.85,152,67,55.3,1186.0,Female
40.26,153,67,120.5,850.0,Male
20.62,133,63,57.5,1053.0,Female
29.46,134,50,108.6,656.0,Male
28.12,156,67,87.1,1398.0,Male
20.29,137,61,64.3,1171.0,Female
22.02,167,61,64.4,935.0,Female
24.28,152,50,73.5,807.0,Female
29.34,164,70,78.9,1050.0,Female
33.72,162,69,88.5,1675.0,Male
21.0,136,72,53.1,502.0,Female
19.41,128,50,50.3,749.0,Female
31.05,132,50,74.6,422.0,Female
30.44,125,54,72.2,606.0,Female
26.48,149,68,85.8,1410.0,Male
25.73,167,66,80.6,1248.0,Male
22.64,169,71,66.2,1188.0,Male
12.91,132,63,40.0,475.0,Female
23.79,124,50,57.9,1116.0,Female
22.19,169,54,60.4,966.0,Female
19.13,148,62,72.0,952.0,Male
23.2,126,73,53.6,643.0,Female
23.11,145,52,57.7,986.0,Female
26.46,144,73,64.4,985.0,Female
16.48,145,72,46.5,660.0,Female
20.29,147,51,71.7,445.0,Male
18.52,154,50,47.4,585.0,Female
18.68,160,74,57.2,1032.0,Female
18.19,160,71,53.8,742.0,Female
20.27,135,68,75.5,446.0,Male
16.97,159,65,58.7,858.0,Male
25.72,127,70,72.6,756.0,Female
19.55,122,57,56.5,406.0,Female
17.2,159,67,55.1,1582.0,Female
49.84,167,62,129.2,876.0,Male
26.33,123,53,64.9,576.0,Female
24.89,128,56,56.0,1242.0,Female
15.92,161,73,49.3,927.0,Female
24.01,147,55,63.0,500.0,Female
24.21,141,65,73.3,726.0,Female
24.44,132,66,75.7,494.0,Male
34.92,135,72,102.1,713.0,Male
12.97,133,54,51.9,549.0,Male
24.78,152,50,84.8,895.0,Male
25.54,149,68,80.0,531.0,Male
21.83,131,71,73.1,681.0,Male
33.61,133,72,88.2,1027.0,Male
20.76,161,64,72.6,1044.0,Male
18.65,121,60,59.1,514.0,Female
30.66,144,71,85.5,1418.0,Male
31.74,144,54,96.1,862.0,Male
36.8,133,50,95.4,764.0,Male
22.48,137,61,64.2,1227.0,Female
37.74,146,62,126.4,883.0,Male
