Ag,Weight (kg),Height (m),Max_BPM,Avg_BPM,Calories_Burned,F.P.,wKJ_Water_Intake (liters)
40,57.4,1.71,168,143,1337.0,18.3,2.7
27,102.6,1.83,199,123,954.0,43.88,3.5
52,70.6,1.58,181,164,753.0,45.98,2.0
43,61.2,1.88,175,163,831.0,24.7,2.9
56,48.3,1.87,165,156,525.0,29.8,4.7
52,57.9,1.56,166,152,1135.0,47.32,2.7
18,114.5,1.97,192,128,725.0,24.1,2.6
96,67.1,1.75,161,120,362.0,31.8,2.7
47,84.8,1.86,187,129,1181.0,14.4,5.32
46,108.8,1.64,185,169,1171.0,20.5,3.4
40,60.2,1.88,183,141,946.0,25.2,3.0
32,49.3,1.62,167,158,1025.0,29.3,4.69
33,53.6,1.52,194,126,643.0,30.9,2.3
23,81.4,1.85,194,150,1320.0,12.4,5.27
78,47.7,1.77,198,120,759.0,24.8,2.7
58,46.1,1.67,187,129,743.0,51.89,1.8
57,96.1,1.74,199,144,862.0,21.6,2.8
77,72.7,1.55,172,125,525.0,29.8,2.0
43,64.7,1.66,191,132,1117.0,19.8,5.51
57,96.3,1.86,168,146,795.0,27.6,2.2
21,96.7,1.72,161,151,1046.0,25.0,4.59
51,44.8,1.63,198,137,666.0,33.8,4.74
45,78.3,1.96,166,167,1066.0,29.0,2.2
29,55.7,1.61,177,128,993.0,28.7,2.3
47,66.8,1.75,199,146,742.0,32.8,2.5
28,121.7,1.94,185,127,719.0,28.9,5.3
19,95.1,1.85,190,143,952.0,25.3,2.3
42,57.5,1.67,192,149,764.0,34.1,2.4
98,51.7,1.7,175,152,865.0,23.6,3.5
98,76.7,1.7,196,150,792.0,29.1,2.1
30,77.9,1.77,166,130,916.0,27.9,5.13
85,71.6,1.77,197,158,1177.0,30.3,1.8
35,55.3,1.56,187,139,1188.0,19.8,2.7
94,60.7,1.71,168,169,954.0,22.1,2.5
25,120.6,1.83,179,120,686.0,47.8,2.5
47,82.1,1.84,185,136,922.0,47.86,3.4
54,117.2,1.62,172,143,736.0,47.04,2.3
93,107.9,1.66,194,140,832.0,29.5,2.8
85,61.6,1.8,169,144,1172.0,26.4,3.1
90,79.7,1.66,195,160,763.0,27.8,1.9
18,62.0,1.59,190,162,996.0,33.2,2.2
53,44.7,1.79,164,160,965.0,26.7,2.1
90,68.5,1.97,194,139,894.0,23.2,2.1
38,46.9,1.74,198,167,946.0,51.88,2.6
88,62.9,1.58,192,124,1105.0,20.0,2.7
23,67.8,1.61,186,160,1072.0,34.3,5.59
78,55.4,1.6,192,136,979.0,26.3,1.6
86,64.5,1.82,187,149,983.0,23.4,2.4
41,94.1,1.62,172,139,777.0,23.4,3.1
39,63.6,1.56,183,148,903.0,34.8,4.91
18,66.9,1.57,193,127,679.0,30.7,2.2
54,70.7,1.57,198,163,836.0,31.8,2.1
90,79.4,1.59,166,163,1020.0,26.6,1.5
84,49.0,1.69,176,147,772.0,29.2,2.4
22,96.3,1.63,180,162,1203.0,55.39,2.4
37,73.3,1.74,188,141,726.0,25.5,2.4
58,59.3,1.58,166,165,1463.0,19.8,5.51
30,101.0,1.68,182,134,1076.0,48.25,2.9
56,84.6,1.63,184,141,705.0,20.2,2.9
58,109.0,1.91,198,156,1151.0,26.0,2.2
56,109.6,1.66,188,166,1060.0,52.45,3.1
42,42.7,1.74,161,130,608.0,48.32,1.6
18,66.9,1.75,170,122,573.0,47.17,1.7
36,57.3,1.64,164,157,887.0,25.3,4.62
81,108.2,1.8,172,138,964.0,28.4,3.5
29,88.1,1.93,186,143,1479.0,53.6,3.5
51,66.2,1.58,164,129,499.0,31.3,2.3
88,73.0,1.59,196,149,798.0,32.0,2.1
22,44.8,1.72,166,132,977.0,54.33,1.8
28,67.3,1.67,171,157,479.0,29.2,5.3
46,74.9,1.53,179,151,883.0,33.9,5.38
45,113.4,1.71,190,129,530.0,51.66,2.3
31,78.8,1.71,177,121,992.0,24.7,2.5
33,55.6,1.61,161,147,1301.0,47.04,2.7
50,90.0,1.7,168,124,497.0,45.4,2.7
44,69.5,1.75,192,155,711.0,45.95,2.1
98,89.0,1.77,175,127,1048.0,28.9,3.7
94,87.8,1.69,183,158,1573.0,10.3,3.5
81,43.8,1.75,180,160,1001.0,25.1,1.7
58,58.6,1.66,172,161,964.0,26.8,2.9
41,77.6,1.76,162,161,920.0,46.92,2.2
29,120.9,1.78,197,168,721.0,28.1,5.44
47,80.0,1.77,171,149,531.0,28.2,3.5
56,58.0,1.68,168,156,1116.0,15.5,2.7
20,128.2,1.84,164,132,603.0,26.2,2.3
57,46.1,1.76,165,130,842.0,49.78,1.7
27,75.7,1.76,167,132,494.0,25.3,2.3
82,93.6,1.66,177,151,1024.0,29.0,2.2
39,93.4,1.7,191,155,938.0,21.1,2.5
28,56.0,1.5,193,128,1242.0,16.7,2.7
34,65.9,1.62,199,164,731.0,44.02,2.2
99,41.2,1.58,195,168,1111.0,28.7,2.6
26,62.4,1.61,198,139,1307.0,19.8,4.78
18,62.0,1.85,161,121,586.0,23.7,3.0
45,59.4,1.51,169,142,735.0,33.1,1.9
96,67.0,1.68,191,164,446.0,20.5,2.8
40,87.9,1.87,196,134,1445.0,49.71,3.5
46,45.0,1.77,185,162,1187.0,29.1,3.6
49,69.3,1.62,191,122,626.0,28.8,1.9
31,48.2,1.65,163,166,913.0,55.75,2.5
41,74.3,1.61,160,136,714.0,24.8,3.5
55,76.3,1.73,196,158,768.0,32.0,2.6
29,87.0,1.86,177,123,1028.0,47.44,3.5
52,116.5,1.69,198,148,388.0,27.3,5.39
20,111.0,1.94,170,156,875.0,27.6,4.72
30,121.6,2.0,179,160,1091.0,54.84,3.3
48,114.9,1.86,175,141,949.0,54.32,3.6
52,105.2,1.62,189,141,949.0,27.6,5.14
25,81.5,1.61,170,159,1688.0,53.99,3.5
93,58.4,1.79,164,131,943.0,17.0,2.7
26,71.2,1.5,182,142,816.0,49.12,2.6
25,74.3,1.71,162,157,1123.0,53.55,1.6
49,49.2,1.54,179,153,881.0,53.34,2.1
84,82.8,1.95,183,159,1503.0,14.3,3.5
99,87.2,1.64,177,165,1634.0,15.0,3.5
28,84.8,1.79,182,138,1025.0,50.68,2.3
76,75.6,1.61,180,155,983.0,34.9,2.5
22,88.5,1.62,174,162,1675.0,10.7,3.5
55,49.3,1.76,194,161,927.0,30.5,2.0
55,118.6,1.72,163,168,640.0,25.9,2.6
42,72.4,1.69,177,148,713.0,29.0,5.58
19,110.8,1.91,161,149,1074.0,23.3,4.77
23,44.1,1.62,196,122,354.0,47.02,2.7
32,61.7,1.58,183,135,1262.0,16.6,5.58
76,101.5,1.95,171,131,699.0,27.9,3.1
37,54.6,1.57,170,150,982.0,32.1,5.44
42,57.7,1.57,167,122,1005.0,17.7,5.24
36,60.0,1.72,161,128,1043.0,18.2,2.7
79,118.0,1.9,199,126,412.0,22.6,3.2
55,52.1,1.68,180,167,637.0,46.72,3.0
79,109.3,1.78,182,157,420.0,28.7,3.3
50,69.3,1.68,182,135,729.0,30.3,2.0
38,70.3,1.52,164,144,857.0,25.6,2.0
36,84.0,1.94,168,123,1218.0,11.2,3.5
45,65.5,1.57,192,133,395.0,34.3,2.3
42,73.5,1.63,188,136,350.0,26.1,3.2
82,60.4,1.76,194,120,929.0,18.8,2.7
89,110.7,1.69,193,133,775.0,27.0,2.7
31,58.2,1.73,191,131,766.0,25.8,4.88
24,60.1,1.79,170,165,1625.0,15.9,2.7
22,40.3,1.56,192,121,877.0,30.8,4.49
40,63.0,2.0,176,161,1257.0,26.8,5.25
39,105.5,1.99,199,133,593.0,26.4,2.5
21,60.0,1.7,179,123,1212.0,19.1,5
93,53.7,1.66,191,129,806.0,29.5,2.5
32,59.0,1.66,184,160,408.0,31.0,5.26
34,56.2,1.77,192,138,1249.0,49.11,2.7
47,40.0,1.76,173,132,475.0,26.7,2.2
36,70.3,1.72,174,169,1385.0,21.3,2.3
82,79.9,1.51,190,142,479.0,31.5,2.6
53,105.1,1.84,176,130,444.0,23.3,2.9
52,66.5,1.6,185,120,796.0,26.8,2.1
18,92.4,1.74,195,168,1303.0,21.3,3.1
23,114.8,1.6,182,163,1318.0,21.7,2.7
45,46.6,1.79,176,168,1214.0,52.14,2.4
25,64.4,1.71,179,167,935.0,27.1,1.8
50,55.4,1.55,175,122,1016.0,18.5,4.86
42,76.4,1.97,165,157,886.0,54.98,2.6
90,50.3,1.64,177,150,468.0,27.0,2.4
59,123.3,1.88,177,161,1036.0,23.0,5.54
36,95.8,1.86,193,129,972.0,21.2,3.2
46,61.0,1.71,181,153,1150.0,17.8,2.7
26,76.7,1.63,199,139,751.0,25.6,1.7
59,75.8,1.77,167,128,841.0,33.1,5.13
87,88.1,1.76,187,168,1123.0,26.9,3.0
47,55.6,1.77,198,138,820.0,24.3,4.9
23,59.0,1.78,185,141,1177.0,17.8,4.93
38,71.9,1.77,197,142,875.0,54.69,3.1
98,58.0,1.79,164,143,994.0,27.1,1.5
49,45.2,1.74,164,156,870.0,30.8,2.1
78,78.0,1.67,198,168,949.0,33.3,2.5
50,45.4,1.67,163,158,1071.0,24.1,2.8
39,107.7,1.88,162,160,634.0,47.68,3.6
86,117.0,1.61,166,130,744.0,25.1,2.4
18,52.3,1.74,187,165,990.0,47.61,2.2
55,86.4,1.77,176,157,777.0,27.3,2.8
42,88.4,1.93,188,158,1314.0,12.4,3.5
40,73.2,1.94,177,162,722.0,29.0,2.4
86,70.6,1.69,165,135,826.0,26.1,2.2
33,68.2,1.75,177,150,638.0,29.0,1.7
49,115.3,1.91,161,125,854.0,29.2,5.01
36,121.9,1.93,195,132,1082.0,21.8,4.77
41,62.3,1.79,181,162,1451.0,19.0,2.7
39,71.7,1.88,198,147,445.0,23.7,2.2
33,56.4,1.54,165,155,822.0,29.2,5.23
88,73.0,1.79,177,125,506.0,27.7,1.6
20,82.7,1.99,179,146,1357.0,54.49,3.5
39,58.3,1.93,165,136,1010.0,27.4,3.7
25,59.4,1.51,185,161,1304.0,19.8,2.7
79,68.1,1.8,174,153,926.0,25.4,3.3
20,128.4,1.92,167,145,502.0,52.66,2.0
29,56.2,1.77,191,123,418.0,33.4,2.6
47,43.4,1.62,179,132,303.0,46.6,2.3
37,49.1,1.74,193,138,842.0,22.3,4.52
21,86.6,1.86,163,129,972.0,21.8,4.97
40,55.1,1.61,184,158,1224.0,16.9,2.7
25,112.4,1.96,188,135,1054.0,23.2,2.5
28,52.0,1.61,168,164,1082.0,47.2,2.0
91,94.7,1.82,164,120,873.0,23.2,3.2
26,44.3,1.6,186,136,734.0,34.7,2.0
50,69.7,1.72,198,135,753.0,27.3,2.0
56,88.3,1.71,180,157,1313.0,12.6,5.04
43,53.1,1.59,187,136,502.0,29.5,2.5
79,62.0,1.64,195,127,678.0,27.5,3.2
32,65.2,1.62,186,128,408.0,25.3,4.98
44,61.7,1.55,196,129,819.0,33.1,2.6
41,47.1,1.78,165,149,929.0,46.29,2.4
46,58.9,1.7,180,155,1060.0,17.1,2.7
49,82.3,1.84,192,146,932.0,50.11,3.4
31,60.5,1.77,187,127,1092.0,15.0,5.4
54,78.1,1.6,198,145,718.0,32.9,2.4
31,57.9,1.56,161,124,1116.0,15.1,2.7
37,124.2,1.76,168,158,1304.0,51.21,2.8
22,45.7,1.77,164,139,795.0,55.56,2.4
30,79.2,1.62,181,166,1046.0,28.0,2.5
56,82.5,1.87,187,124,927.0,13.2,3.5
35,59.2,1.66,197,161,1151.0,51.48,3.2
57,82.2,1.69,188,155,882.0,25.2,4.96
39,63.3,1.71,178,125,1175.0,54.52,2.7
57,64.0,1.52,170,129,1004.0,49.28,2.7
27,53.0,1.58,166,142,895.0,34.5,1.8
88,77.7,1.55,184,120,330.0,33.0,1.7
49,70.2,1.67,186,166,695.0,32.5,5.22
48,68.2,1.69,170,159,537.0,47.88,2.5
25,57.8,1.56,170,156,1053.0,29.3,5.57
43,58.2,1.61,179,124,580.0,26.4,2.6
27,87.5,1.63,183,135,1299.0,12.9,3.5
32,105.3,1.67,184,143,448.0,26.9,2.9
47,49.9,1.69,178,147,979.0,26.0,1.7
54,66.9,1.74,195,129,720.0,54,2.1
38,123.3,1.62,161,165,1216.0,21.2,4.49
22,106.8,1.82,170,130,715.0,28.2,2.3
47,73.9,1.8,173,140,942.0,28.3,3.7
23,60.9,1.62,193,168,1336.0,45.08,2.7
45,57.2,1.55,194,121,909.0,18.4,2.7
34,92.0,1.76,175,143,574.0,53.88,3.5
81,73.5,1.55,194,153,806.0,26.3,2.1
82,127.1,1.76,199,157,552.0,24.9,3.0
45,118.4,1.95,178,168,881.0,24.9,5.48
38,49.7,1.51,179,145,906.0,32.6,2.5
95,64.5,1.53,171,120,940.0,17.2,2.7
38,45.2,1.68,193,144,727.0,29.9,2.4
49,70.2,1.89,194,127,440.0,29.6,2.6
45,73.5,1.74,181,152,807.0,30.0,2.3
49,82.1,1.86,162,160,1481.0,14.2,3.5
95,78.7,1.66,195,131,921.0,22.9,2.6
95,88.5,1.98,161,153,1515.0,11.1,3.5
54,46.6,1.5,175,165,1025.0,30.6,4.6
25,95.6,1.9,190,160,1294.0,23.8,4.98
45,93.0,1.91,175,143,729.0,47.91,3.7
48,87.1,1.76,183,156,1398.0,11.6,3.5
44,102.3,1.63,188,129,856.0,48.34,2.6
51,63.9,1.8,191,130,626.0,47.11,2.7
43,127.7,1.69,171,155,875.0,24.1,4.66
50,73.6,1.55,183,145,581.0,33.9,5.36
36,57.7,1.77,176,147,1213.0,19.4,5.06
28,114.2,1.87,184,166,959.0,20.2,3.2
38,81.4,1.71,187,148,1237.0,10.2,3.5
21,55.2,1.55,163,161,1103.0,31.7,4.83
38,83.6,1.74,164,151,1379.0,50.53,3.5
48,80.6,1.77,198,167,1248.0,12.9,3.5
45,89.6,1.81,178,153,1287.0,12.4,5.3
50,101.7,1.67,192,127,333.0,20.9,2.9
35,64.2,1.59,199,145,1182.0,16.6,5.43
48,69.0,1.74,160,167,1223.0,30.0,2.3
40,72.2,1.6,173,130,566.0,29.2,4.99
50,52.2,1.84,195,124,847.0,53.71,3.1
46,55.1,1.72,164,137,970.0,20.5,3.6
40,80.3,1.76,168,167,1497.0,53.47,3.5
42,97.9,1.91,193,136,680.0,43.85,2.8
24,62.9,1.79,180,135,958.0,27.3,5.05
31,66.6,1.67,184,137,699.0,31.0,5.4
94,89.8,1.92,199,168,1783.0,10.6,3.5
29,71.8,1.55,190,120,720.0,26.3,4.69
83,63.8,1.68,198,165,784.0,31.6,1.9
52,63.6,1.62,168,150,965.0,44.56,2.3
44,98.0,1.83,194,130,824.0,51.97,3.5
41,51.5,1.8,166,126,680.0,46.61,2.1
43,42.2,1.65,162,148,886.0,54.27,2.3
58,63.0,1.78,176,154,1095.0,17.5,2.7
20,46.5,1.68,187,145,660.0,27.9,2.4
20,51.1,1.58,188,169,422.0,29.6,1.6
93,126.4,1.69,168,149,915.0,29.5,2.9
23,108.6,1.92,197,134,656.0,25.8,3.5
99,86.6,1.76,172,151,1071.0,28.9,3.3
90,106.5,1.81,177,156,1107.0,25.7,2.5
19,50.6,1.68,193,145,877.0,30.6,2.1
36,59.3,1.75,178,128,634.0,34.5,5.07
42,70.2,1.87,188,165,1127.0,44.67,3.4
56,64.2,1.69,190,137,1227.0,19.6,2.7
46,60.1,1.65,175,137,1042.0,48.45,2.7
23,107.2,1.93,167,139,879.0,47.42,3.1
44,89.3,1.99,192,135,936.0,26.3,4.68
27,69.5,1.76,171,121,569.0,34.4,2.0
20,83.0,1.8,167,160,695.0,29.6,5.57
87,65.2,1.8,192,139,502.0,27.2,2.7
50,67.9,1.77,171,164,760.0,44.05,2.4
50,87.4,1.6,182,122,465.0,43.67,3.1
19,48.3,1.52,186,136,653.0,52.42,1.6
44,60.4,1.65,176,169,966.0,32.6,2.1
53,53.3,1.74,173,156,962.0,32.2,5.21
20,120.5,1.73,186,153,850.0,29.3,3.4
21,76.3,1.65,180,154,878.0,46.36,1.7
48,52.3,1.66,174,130,433.0,50.91,1.8
22,78.5,1.7,177,138,938.0,31.9,2.1
43,53.8,1.72,173,160,742.0,30.2,2.3
50,58.1,1.58,199,120,1042.0,46.92,2.7
20,85.7,1.92,172,136,1287.0,10.5,3.5
44,124.8,1.85,175,126,842.0,24.4,3.5
23,64.5,1.7,187,125,319.0,54.01,1.7
25,41.2,1.62,193,144,1073.0,28.9,4.66
21,62.6,1.81,164,150,1072.0,27.6,3.5
20,124.3,1.82,194,145,997.0,51.98,3.2
42,59.5,1.74,195,141,1129.0,16.4,2.7
96,68.2,1.63,179,148,779.0,27.5,2.4
24,67.7,1.56,177,138,980.0,53.81,2.1
48,73.7,1.61,172,121,815.0,21.8,4.93
48,71.5,1.64,179,154,1012.0,32.5,4.82
29,49.0,1.57,168,132,878.0,44.19,2.6
82,56.9,1.6,185,143,566.0,27.7,1.6
54,83.6,1.86,168,142,1082.0,12.4,3.5
46,62.5,1.54,197,125,906.0,44.55,2.7
43,70.1,1.66,169,151,673.0,34.6,2.6
41,64.9,1.57,166,123,576.0,25.9,2.4
57,75.7,1.63,161,131,407.0,54.95,2.3
23,107.0,1.94,198,120,891.0,23.5,2.9
87,111.5,1.9,191,167,937.0,25.2,2.2
20,71.3,1.58,167,167,893.0,25.4,4.9
42,49.2,1.5,173,131,678.0,54.84,1.5
25,105.0,1.88,174,156,1150.0,21.4,2.3
55,69.9,1.81,179,167,992.0,51.03,2.1
19,58.8,1.77,181,136,952.0,32.8,2.7
46,52.0,1.65,165,147,463.0,34.1,1.9
77,78.9,1.73,182,151,938.0,34.0,2.3
22,117.3,1.68,172,134,914.0,48.51,2.7
27,106.4,1.86,182,123,907.0,20.6,4.59
35,102.5,1.94,183,158,730.0,21.1,2.4
91,45.9,1.93,166,159,1015.0,29.6,2.0
46,47.9,1.72,171,147,933.0,51.52,2.0
49,40.0,1.65,188,148,686.0,34.3,2.5
34,69.2,1.53,167,134,911.0,28.5,2.1
21,61.3,1.57,191,152,1474.0,17.2,2.7
22,86.2,1.9,186,128,1345.0,11.7,3.5
23,83.8,1.99,179,130,1280.0,11.0,3.5
96,60.6,1.55,172,120,780.0,32.9,1.6
33,113.6,1.99,169,125,949.0,28.4,4.75
23,80.9,1.8,178,126,1074.0,10.7,3.5
57,122.1,1.89,165,134,750.0,27.4,3.6
56,45.1,1.73,165,129,482.0,54.54,2.6
30,113.4,1.91,177,137,957.0,22.2,3.7
41,120.8,1.67,188,146,593.0,20.5,4.78
29,54.9,1.52,172,123,910.0,27.0,2.0
81,88.5,1.78,198,167,1265.0,13.2,3.5
18,57.2,1.75,193,160,1032.0,33.5,2.4
79,50.2,1.61,188,157,1046.0,28.2,2.7
51,49.3,1.61,191,129,868.0,28.3,2.9
32,84.0,1.74,195,127,1013.0,52.68,2.1
91,68.0,1.7,190,150,627.0,28.9,2.9
26,55.7,1.68,182,129,802.0,21.7,2.9
52,82.4,1.72,166,137,685.0,24.4,2.7
33,74.2,1.76,192,145,834.0,25.9,4.57
51,88.2,1.62,163,133,1027.0,11.8,3.5
54,56.5,1.75,196,154,1220.0,15.3,2.7
19,60.5,1.59,184,128,730.0,30.1,2.2
54,64.2,1.69,188,131,996.0,51.93,2.7
28,63.0,1.62,196,147,500.0,31.7,1.9
40,51.7,1.82,161,160,792.0,21.4,3.0
21,74.2,1.93,187,141,1024.0,49.12,2.5
37,88.8,1.95,189,135,1173.0,10.3,5.24
37,103.5,1.89,175,168,499.0,26.4,3.1
32,126.4,1.83,198,146,883.0,28.2,2.1
18,82.3,1.84,190,148,1408.0,13.3,4.51
37,72.9,1.76,192,121,732.0,27.5,1.9
87,58.3,2.0,198,135,980.0,28.2,3.0
29,80.8,1.98,160,145,1316.0,14.6,3.5
26,51.9,2.0,173,133,549.0,26.6,2.3
92,76.5,1.96,180,120,442.0,23.2,2.3
34,54.2,1.52,190,132,746.0,31.0,2.2
43,82.9,1.95,181,160,1505.0,12.9,5.28
83,62.8,1.63,184,160,1241.0,21.9,3.7
46,59.4,1.68,165,147,844.0,20.2,2.5
47,66.2,1.71,181,169,1188.0,22.8,2.9
48,73.1,1.83,194,131,681.0,28.0,2.8
35,78.9,1.64,196,164,1050.0,25.3,2.6
33,65.3,1.71,172,135,796.0,29.7,2.5
79,78.0,1.68,183,135,871.0,32.3,1.8
98,64.8,1.71,164,131,778.0,22.5,2.8
49,61.0,1.87,180,131,739.0,21.3,3.0
41,63.4,1.59,162,153,1267.0,50.87,2.7
55,129.9,1.73,187,155,529.0,52.38,3.1
34,68.4,1.5,192,132,904.0,33.7,4.95
43,66.3,1.77,177,157,1046.0,52.69,1.7
24,58.9,1.76,189,130,410.0,53.85,1.7
22,102.6,1.84,163,153,1052.0,20.5,2.7
40,63.8,1.62,185,143,1022.0,20.8,3.4
41,55.0,1.55,175,169,1103.0,31.4,4.57
40,81.7,1.74,166,133,666.0,27.0,2.7
19,64.0,1.53,166,167,1111.0,29.8,2.3
34,68.0,1.68,169,128,472.0,54.2,3.4
28,55.1,1.79,192,159,1582.0,17.0,2.7
19,46.8,1.63,184,128,864.0,34.4,4.49
53,47.8,1.76,164,149,711.0,28.4,1.5
56,55.7,1.53,190,124,1066.0,16.1,5.01
58,56.5,1.7,170,122,406.0,27.0,2.7
33,45.9,1.89,193,144,1148.0,48.48,2.9
52,104.8,1.99,187,130,598.0,24.0,4.76
56,58.7,1.86,187,159,858.0,22.6,3.3
87,52.0,1.78,171,130,987.0,22.4,2.7
26,54.0,1.53,175,148,844.0,26.9,1.7
55,42.9,1.69,186,140,567.0,34.7,4.55
35,70.1,1.79,185,125,743.0,51.1,2.3
54,116.4,2.0,184,123,688.0,54.75,3.1
49,46.5,1.72,169,120,832.0,22.2,4.68
56,59.3,1.56,182,155,879.0,49.46,2.6
94,125.3,1.86,197,129,639.0,22.7,2.2
34,88.0,1.64,197,147,1536.0,14.4,4.99
38,85.8,1.8,168,149,1410.0,10.1,3.5
43,48.4,1.61,190,127,732.0,34.1,2.4
79,76.9,1.92,179,137,851.0,22.4,3.7
20,74.8,1.75,184,121,885.0,48,3.3
99,77.4,1.71,190,137,863.0,26.2,1.8
34,115.3,1.81,181,167,1249.0,24.5,5.04
42,72.9,1.62,175,139,732.0,25.7,5.52
43,66.5,1.83,178,136,747.0,27.1,5.22
25,57.7,1.58,188,145,986.0,25.7,2.2
33,106.5,1.6,183,152,1170.0,27.3,3.3
53,73.4,1.76,169,151,815.0,27.9,4.99
28,87.0,1.76,197,121,799.0,54.35,3.5
28,79.6,1.59,181,130,968.0,28.2,1.5
95,54.9,1.78,173,138,380.0,31.7,2.0
41,71.7,1.96,162,168,424.0,46.22,2.5
33,81.8,1.99,184,137,1198.0,10.5,5.43
21,93.7,1.73,186,146,803.0,27.8,4.41
32,102.8,1.98,168,120,818.0,55.63,2.8
22,50.7,1.59,197,139,883.0,29.4,1.8
26,54.2,1.65,172,120,642.0,34.9,1.9
49,44.1,1.65,189,133,694.0,26.7,1.8
42,63.3,1.77,183,134,876.0,25.7,3.3
38,56.3,1.6,180,142,859.0,28.8,1.9
43,46.2,1.63,176,139,812.0,21.7,2.1
98,53.2,1.7,190,164,532.0,28.8,2.1
26,87.1,1.87,173,132,1241.0,11.2,3.5
46,72.6,1.87,188,161,1044.0,22.6,3.4
50,80.5,1.77,175,129,1181.0,14.3,4.98
53,94.1,1.95,177,138,608.0,28.6,3.5
77,67.7,1.58,189,142,927.0,32.7,1.9
52,84.8,1.85,189,152,895.0,23.4,3.2
39,64.3,1.69,190,148,925.0,52.98,1.9
25,49.9,1.98,165,122,772.0,51.23,2.1
46,58.0,1.53,196,140,1153.0,18.4,2.7
47,86.6,1.99,182,153,1500.0,10.6,5.48
26,77.7,1.62,177,126,804.0,29.6,5.55
51,74.6,1.55,177,132,422.0,33.3,2.1
79,102.1,1.85,190,157,1278.0,28.1,2.4
43,95.7,1.77,198,151,807.0,52.73,3.4
45,81.4,1.61,164,141,796.0,30.0,2.2
57,64.4,1.56,177,144,985.0,17.8,2.7
45,44.5,1.65,162,148,959.0,46.08,1.6
84,96.7,1.72,188,125,903.0,25.7,2.7
40,57.7,1.69,184,156,920.0,52.85,2.4
56,129.5,1.95,160,129,639.0,47.32,3.5
20,75.8,1.78,197,133,944.0,54.44,2.0
45,50.9,1.65,170,136,887.0,30.1,4.83
87,81.4,1.86,162,145,1292.0,12.0,3.5
21,72.6,1.68,162,127,756.0,34.2,1.8
42,57.5,1.67,161,133,1053.0,16.2,2.7
57,112.5,1.61,195,165,1013.0,47,2.7
59,85.5,1.67,190,144,1418.0,15.0,3.5
52,52.1,1.67,169,124,837.0,32.0,5.11
40,62.6,1.53,197,143,1380.0,18.1,2.7
41,94.5,2.0,179,136,794.0,44.91,3.7
43,95.9,1.85,186,157,995.0,27.7,5.52
45,64.3,1.54,199,133,999.0,15.3,2.7
99,52.4,1.57,171,149,898.0,28.3,2.2
50,61.6,1.75,192,166,911.0,25.5,2.2
31,64.4,1.7,160,144,1418.0,17.3,4.49
19,87.8,1.78,195,161,1133.0,23.6,5.19
50,51.8,1.5,182,141,838.0,33.0,5.01
48,56.8,1.51,185,126,777.0,32.1,4.62
38,40.6,1.79,195,161,499.0,50.74,2.7
47,61.9,1.54,190,131,1150.0,16.4,4.46
95,84.9,1.86,186,136,1104.0,14.2,3.5
31,63.1,1.64,184,125,962.0,19.0,2.7
87,58.2,1.98,198,138,1085.0,24.0,2.5
34,71.9,1.64,170,134,929.0,51.38,2.1
22,71.0,1.62,199,138,691.0,21.2,3.5
36,59.1,1.78,184,121,514.0,34.5,2.2
