Height (m),Avg_BPM,Session_Duration (hours);Resting_BPM,Calories_Burned,Workout_Type,Fat_Percentage,BMI
1.74,167,1.48;58,1223.0,HIIT,30.0,22.79
1.51,165,1.83;68,1359.0,HIIT,18.2,28.46
1.58,142,1.45;52,927.0,Strength,32.7,27.12
1.88,133,1.17;63,822.0,Cardio,29.4,20.71
1.73,126,1.09;50,680.0,Yoga,26.6,36.02
2.0,152,1.36;67,1137.0,Strength,24.7,31.48
1.93,152,1.22;50,888.0,Cardio,27.3,21.29
1.62,122,1.24;58,756.0,Strength,28.4,26.86
1.67,147,1.13;74,831.0,Cardio,34.7,26.14
1.61,160,1.34;66,960.46,HIIT,34.3,26.16
1.5,166,0.69;66,448.0,Cardio,32.8,30.89
1.8,131,1.26;73,817.0,Strength,20.9,38.73
1.71,150,0.57;62,423.0,Yoga,28.4,33.07
1.61,147,1.77;54,1301.0,Yoga,18.9,21.45
1.53,141,1.98;54,1396.0,Yoga,18.6,27.68
1.7,123,1.97;52,1024.54,Strength,19.1,20.76
2.0,146,1.32;65,1152.42,Strength,28.2,14.57
1.97,167,1.66;50,1372.0,Yoga,11.7,22.31
1.7,121,1.32;67,719.0,Strength,34.9,21.8
1.54,133,1.67;58,999.0,Yoga,15.3,27.11
1.66,134,0.73;53,440.0,Yoga,33.9,15.5
1.62,168,1.59;69,1336.0,Cardio,16.8,23.21
1.87,166,1.05;55,959.0,Strength,20.2,32.66
1.82,161,1.26;70,1116.0,Strength,29.8,38.49
2.0,160,1.24;60,1091.0,Cardio,28.0,30.4
1.76,145,1.15;66,834.0,Strength,25.9,23.95
1.88,137,1.98;60,864.13,Yoga,13.5,24.16
1.62,122,1.14;62,626.0,HIIT,28.8,26.41
1.63,163,1.1;59,986.0,Cardio,28.4,37.98
1.62,122,0.58;58,354.0,Yoga,25.7,16.8
1.65,157,1.38;71,1199.0,Cardio,23.7,33.17
1.71,129,0.83;63,530.0,Strength,24.0,38.78
1.63,139,1.18;65,794.93,Strength,21.7,17.39
1.87,165,1.38;65,1127.0,HIIT,22.7,20.07
1.66,152,1.32;71,1104.0,Cardio,26.6,32.66
1.62,156,1.37;59,1069.0,Cardio,31.1,24.84
1.75,137,1.09;58,739.0,HIIT,24.2,24.36
1.52,166,1.45;74,1204.0,Strength,31.5,34.06
1.87,156,0.68;51,525.0,HIIT,29.8,13.81
1.79,122,1.19;52,719.0,Cardio,23.3,26.43
1.5,134,1.93;60,1293.0,Strength,15.1,28.49
1.83,154,1.35;59,1143.0,Strength,29.1,17.83
1.68,145,1.21;64,877.0,Yoga,30.6,17.93
1.79,130,0.74;59,668.77,Cardio,27.7,15.73
1.55,169,1.45;65,1004.02,Strength,31.4,22.89
1.9,126,0.66;68,412.0,HIIT,22.6,32.69
1.89,144,1.45;50,1148.0,Cardio,21.6,12.85
1.53,126,1.84;50,1216.89,Strength,18.3,24.78
1.56,138,1.45;68,900.0,HIIT,29.1,28.15
1.78,161,1.28;72,1133.0,Cardio,23.6,27.71
1.72,168,0.77;67,640.0,Strength,25.9,40.09
1.98,158,1.8;53,1515.0,Cardio,11.1,22.57
1.86,146,1.1;74,795.0,Strength,27.6,27.84
1.84,124,1.38;52,847.0,Strength,28.2,15.42
1.64,134,1.26;67,929.0,Cardio,21.3,26.73
1.68,129,1.13;54,802.0,Yoga,21.7,19.73
1.99,146,1.69;59,1357.0,HIIT,14.6,20.88
1.62,141,1.36;61,949.0,HIIT,27.6,40.09
1.73,131,1.17;70,766.0,Yoga,25.8,19.45
1.88,153,1.08;71,1166.15,Strength,29.0,14.85
1.85,121,1.18;58,707.0,Cardio,27.5,19.37
1.74,138,1.34;63,1017.0,Strength,22.0,35.47
1.53,148,1.14;54,844.0,Strength,26.9,23.07
1.72,140,1.79;51,1378.0,Yoga,14.3,28.7
1.84,159,1.44;65,1133.0,Yoga,24.0,26.32
1.87,151,1.62;62,1363.0,Strength,12.7,25.54
1.86,144,1.36;53,969.0,Strength,22.9,18.35
1.84,148,1.73;66,1408.0,HIIT,13.3,24.31
1.63,120,1.58;74,948.0,Strength,16.4,24.13
1.86,139,1.42;62,1086.0,Cardio,22.3,31.94
1.82,121,1.49;50,992.0,Strength,24.5,23.22
1.52,136,1.58;56,967.0,Yoga,18.4,25.58
1.62,157,0.56;65,440.0,HIIT,32.4,16.99
1.69,133,1.06;59,775.0,Yoga,27.0,38.76
1.89,149,1.14;62,762.0,Cardio,21.1,16.01
1.9,158,1.18;56,1025.0,HIIT,24.1,18.28
1.72,169,1.49;73,1385.0,Cardio,21.3,23.76
1.65,166,1.1;60,913.0,Cardio,26.1,17.7
1.68,129,0.76;66,441.0,HIIT,35.0,23.17
1.77,147,1.65;63,1213.0,Strength,19.4,18.42
1.75,148,1.14;50,759.0,Yoga,26.6,23.84
1.87,130,1.31;52,937.0,HIIT,24.1,34.63
1.85,144,1.57;59,1119.0,Cardio,11.0,25.86
1.75,140,1.4;53,1078.0,HIIT,27.9,33.5
1.83,136,1.11;59,747.0,Yoga,27.1,19.86
1.63,148,1.17;67,779.0,Strength,27.5,25.67
1.74,138,0.91;58,666.0,Yoga,27.0,26.99
1.75,147,0.82;61,594.0,Yoga,25.2,13.36
1.64,120,1.11;73,650.68,HIIT,29.9,26.47
1.82,149,1.9;70,1401.0,HIIT,13.1,25.33
1.76,149,1.09;50,658.0,Yoga,22.0,35.51
1.63,136,0.52;68,1084.48,Strength,26.1,27.66
1.75,168,1.01;54,778.91,HIIT,22.1,35.82
1.75,168,1.25;67,1155.0,Yoga,29.1,22.17
1.76,150,1.81;67,1358.0,Yoga,18.6,19.72
1.56,138,1.42;66,980.0,HIIT,27.0,27.82
1.58,130,0.74;53,481.0,Yoga,32.2,30.68
1.83,130,1.28;56,824.0,Cardio,25.7,29.26
1.6,163,1.09;70,888.0,Cardio,25.1,16.52
1.73,150,1.33;66,988.0,Cardio,28.5,36.29
1.69,148,0.53;51,388.0,Cardio,27.3,40.79
1.92,136,1.72;58,1287.0,Cardio,10.5,23.25
1.6,164,0.6;71,492.0,Strength,33.5,26.33
1.67,162,1.02;70,826.0,HIIT,26.1,22.48
1.73,165,1.67;62,1240.0,Cardio,16.6,18.44
1.96,136,0.66;65,494.0,Yoga,23.9,31.32
1.7,139,1.06;57,663.0,HIIT,25.1,23.53
1.77,164,1.03;73,760.0,Yoga,33.0,21.67
1.92,137,1.39;50,1047.0,Cardio,26.7,21.0
1.66,160,1.06;68,763.0,Cardio,27.8,28.92
1.78,140,1.05;63,1559.04,Cardio,26.0,23.8
1.55,120,0.55;52,330.0,Yoga,33.0,32.34
1.76,137,1.37;66,845.0,Strength,27.7,22.18
1.69,155,1.14;53,875.0,Cardio,24.1,44.71
1.6,166,1.34;53,1001.0,Strength,26.1,26.99
1.91,131,1.09;68,707.0,Yoga,29.5,15.65
1.66,152,1.4;55,958.0,Strength,27.0,26.16
1.71,132,1.07;73,706.0,HIIT,34.2,17.44
1.8,138,1.27;53,964.0,HIIT,28.4,33.4
1.78,159,1.49;64,1066.0,Strength,25.3,13.51
1.65,127,1.44;71,959.0,Yoga,30.7,16.35
1.73,158,1.08;65,768.0,Yoga,32.0,25.49
1.61,152,1.32;74,1104.0,Yoga,22.0,25.85
1.71,148,1.95;59,1443.0,Yoga,19.5,19.12
1.69,138,1.3;73,987.0,Cardio,20.4,43.31
1.6,136,1.44;72,979.0,HIIT,26.3,21.64
1.79,131,1.42;71,837.0,Yoga,30.3,18.26
1.69,142,1.36;65,826.0,HIIT,26.1,24.72
1.62,153,1.49;64,1073.0,Yoga,28.9,15.7
1.61,150,1.9;71,1425.0,Yoga,15.3,22.41
1.51,134,0.92;74,555.0,Strength,31.1,34.25
1.59,163,1.39;59,1020.0,Strength,26.6,31.41
1.77,165,1.19;58,884.0,Cardio,31.9,13.98
1.52,139,0.76;65,475.0,HIIT,26.6,30.34
1.77,123,1.08;72,598.0,Yoga,31.6,18.32
1.93,141,1.32;56,1024.0,HIIT,28.3,19.92
1.75,165,1.32;55,1198.0,Cardio,29.1,26.68
1.97,128,1.03;60,725.0,Cardio,24.1,29.5
1.78,133,1.42;53,944.0,HIIT,27.4,23.92
1.62,161,0.85;69,684.0,Strength,28.1,22.86
1.57,122,1.83;52,935.53,Cardio,17.7,23.41
1.68,159,1.03;60,737.0,Yoga,26.0,26.43
1.68,138,0.66;58,451.0,Yoga,26.5,24.55
1.57,162,1.65;50,1336.0,Cardio,17.9,23.98
1.54,131,1.47;69,1209.19,HIIT,30.6,25.89
1.93,168,1.27;70,900.41,Strength,21.8,34.34
1.51,142,0.75;54,493.5,Strength,31.5,35.04
1.93,157,1.38;60,1192.0,Cardio,22.1,25.13
1.75,128,0.99;58,634.0,Strength,34.5,19.36
1.61,123,1.87;60,1139.0,Strength,11.6,31.75
1.77,141,0.89;58,1113.2,Cardio,27.6,20.88
1.86,129,1.85;63,1181.0,HIIT,14.4,24.51
1.51,129,1.7;71,1096.0,Strength,15.1,26.01
1.53,149,1.07;74,717.0,Strength,27.4,24.22
1.65,126,1.23;65,852.0,Strength,27.2,25.42
1.55,163,0.85;74,693.0,Yoga,31.1,29.14
1.56,133,1.47;66,978.0,Strength,32.2,17.59
1.73,155,0.69;60,529.0,Yoga,21.7,43.4
1.63,140,0.75;66,542.0,Strength,28.8,33.38
1.59,166,1.08;73,807.0,Cardio,32.5,23.1
1.82,154,1.78;57,1357.0,Yoga,14.9,25.81
1.71,125,1.88;56,1175.0,Strength,18.5,21.65
1.95,160,1.9;70,1505.0,Cardio,12.9,21.8
1.55,161,1.37;53,1103.0,Strength,31.7,22.98
1.93,139,1.42;53,1086.0,Yoga,21.2,19.06
1.79,158,1.33;68,878.0,HIIT,24.8,33.86
1.7,162,0.83;74,740.0,Cardio,21.1,34.12
1.83,125,1.98;73,1225.0,Yoga,13.6,24.31
1.72,120,1.4;72,832.0,Yoga,22.2,15.72
1.63,150,1.26;50,1076.42,Cardio,25.7,27.85
1.98,126,1.42;61,886.0,Yoga,28.5,16.04
1.67,153,1.46;60,1229.0,Yoga,20.6,45.14
1.69,162,1.28;53,1337.47,Strength,32.8,26.19
1.54,153,1.28;63,881.0,HIIT,30.7,20.75
1.69,148,1.07;61,713.0,Yoga,29.0,25.35
1.65,137,1.69;69,1042.0,Cardio,17.3,22.08
1.99,153,1.98;70,1500.0,Strength,10.6,21.87
1.76,120,1.72;53,929.0,Cardio,18.8,19.5
1.59,158,1.31;67,931.0,Yoga,28.9,28.88
1.68,164,0.55;63,446.0,Yoga,20.5,23.74
1.77,166,1.32;69,1205.0,Strength,25.3,19.76
1.57,141,0.66;59,395.0,Cardio,34.3,26.57
1.57,132,1.33;53,878.0,Yoga,26.5,19.88
1.73,160,1.27;68,1016.0,HIIT,34.8,24.26
1.65,128,1.66;71,1169.0,HIIT,11.2,31.63
1.68,121,1.17;66,637.0,Cardio,34.9,25.05
1.98,129,0.71;61,504.0,Yoga,24.2,17.91
1.74,127,1.23;61,773.0,Strength,21.3,17.11
1.5,142,1.43;66,914.0,Cardio,27.4,25.02
1.69,159,0.75;73,537.0,HIIT,28.4,23.88
1.72,137,1.43;66,970.0,Yoga,20.5,18.62
1.7,124,0.81;74,497.0,Cardio,22.9,31.14
1.6,158,1.21;53,859.0,Yoga,28.8,21.99
1.75,122,0.94;61,573.0,Yoga,26.8,21.84
1.7,150,1.15;72,865.0,HIIT,23.6,17.89
1.77,123,1.01;52,621.0,Strength,33.7,22.44
1.61,130,1.04;55,744.0,HIIT,25.1,45.14
1.71,157,1.69;60,1313.0,Yoga,12.6,30.2
1.71,145,1.34;72,1069.0,Strength,24.2,33.14
1.86,145,1.8;70,1292.0,Cardio,12.0,23.53
1.83,123,1.41;58,853.03,HIIT,26.5,30.64
1.77,151,1.08;50,1470.65,HIIT,24.2,30.55
1.66,168,1.33;61,909.03,Cardio,24.6,37.56
1.72,132,1.01;62,660.0,Cardio,27.3,26.64
1.52,139,1.27;53,794.0,Cardio,27.0,28.52
1.6,136,1.08;61,734.0,Cardio,34.7,17.3
1.78,157,0.54;64,420.0,Strength,28.7,34.5
1.82,124,1.08;66,710.35,Strength,20.1,16.76
1.98,126,0.92;52,574.0,Yoga,28.0,13.03
1.75,143,1.38;50,876.0,Strength,26.5,21.84
1.62,162,0.54;68,394.0,Strength,26.0,26.98
1.78,144,1.33;64,958.0,Yoga,27.8,20.36
1.77,146,1.2;68,820.0,Cardio,24.3,17.75
1.57,167,1.65;72,1030.29,HIIT,15.7,22.96
1.68,135,1.29;55,871.0,HIIT,32.3,27.64
1.85,134,1.18;66,870.0,HIIT,23.4,32.84
1.68,134,1.24;57,914.0,Yoga,28.5,41.56
1.6,121,1.71;67,1138.0,HIIT,12.0,34.53
1.95,167,1.07;55,852.29,Strength,24.4,13.23
1.75,154,1.76;66,1220.0,HIIT,15.3,18.45
1.51,157,1.04;68,816.0,Cardio,31.7,25.83
1.63,137,1.08;69,666.0,Yoga,33.8,16.86
1.62,169,1.56;74,1318.0,HIIT,16.5,23.81
1.66,156,1.29;69,1006.0,HIIT,32.8,28.49
1.63,135,0.54;74,331.0,Cardio,20.0,22.96
1.71,160,1.87;73,1646.0,HIIT,12.0,30.09
1.65,167,0.92;63,768.0,HIIT,27.6,22.26
1.62,138,0.91;68,691.0,HIIT,21.2,27.05
1.54,125,1.61;73,906.0,Strength,18.1,26.35
1.62,156,1.04;65,837.0,HIIT,33.6,16.42
1.99,125,1.38;58,949.0,Strength,28.4,28.69
1.64,141,0.57;70,402.0,Strength,29.4,19.82
1.73,151,1.38;64,938.0,Cardio,34.0,26.36
1.55,161,1.42;59,1143.0,Yoga,28.5,27.18
1.5,131,1.15;63,678.0,HIIT,27.7,21.87
1.82,127,1.23;60,859.0,Yoga,26.4,22.67
1.53,155,1.41;65,983.0,Strength,28.4,18.24
1.65,148,1.33;59,886.0,Cardio,34.6,15.5
1.98,122,1.15;68,791.88,Yoga,25.7,12.73
1.74,140,1.84;56,1321.0,Yoga,13.9,28.27
1.6,155,1.19;55,830.0,Cardio,26.0,18.67
1.7,145,0.76;60,627.0,HIIT,28.9,23.53
1.73,156,1.47;56,1147.0,HIIT,32.3,26.26
1.7,150,0.96;56,792.0,HIIT,29.1,26.54
1.58,169,0.5;64,422.0,Yoga,29.6,20.47
1.67,139,1.38;55,950.0,Yoga,24.4,41.34
1.97,138,1.3;69,1059.96,HIIT,23.2,17.65
1.51,141,1.27;64,895.0,Cardio,30.6,30.57
1.72,151,1.26;62,992.77,Strength,25.0,32.69
1.84,136,1.37;65,922.0,Strength,24.4,24.25
1.84,132,0.83;58,820.23,HIIT,26.2,37.87
1.64,127,0.97;54,1087.96,Cardio,27.5,23.05
1.68,128,0.67;57,472.0,Cardio,25.8,24.09
1.97,165,1.13;61,1025.0,Strength,21.3,19.71
1.62,165,1.34;65,1216.0,Yoga,21.2,46.98
1.63,140,1.34;52,856.0,Yoga,20.9,38.5
1.63,135,1.02;58,757.0,Cardio,25.0,42.3
1.64,165,2.0;50,1634.0,Strength,15.0,32.42
1.7,160,0.95;53,684.0,Yoga,26.8,20.14
1.96,150,1.83;67,1510.0,HIIT,13.6,21.66
1.9,166,1.47;72,1294.0,Cardio,23.8,26.48
1.75,144,0.83;55,391.89,Strength,31.8,13.71
1.85,102,0.88;53,586.0,Strength,23.7,18.12
1.75,166,1.22;74,911.0,Strength,25.5,20.11
1.57,155,1.08;59,713.67,HIIT,31.9,17.93
1.79,155,1.51;70,1159.0,HIIT,13.8,25.75
1.79,166,1.98;62,327.86,Yoga,17.8,17.88
1.72,135,1.24;66,753.0,Strength,27.3,23.56
1.5,142,1.15;54,816.0,Cardio,34.6,31.64
1.79,154,1.76;65,1491.0,HIIT,11.3,27.53
1.78,141,1.67;58,1177.0,Yoga,17.8,18.62
1.68,144,1.01;58,727.0,HIIT,29.9,16.01
1.61,129,1.36;55,868.0,Cardio,28.3,19.02
1.5,132,1.25;60,825.0,Yoga,25.0,26.4
1.52,130,1.1;70,644.0,HIIT,28.8,18.18
1.77,157,1.0;61,777.0,Yoga,27.3,27.58
1.61,128,0.87;70,612.0,HIIT,21.3,20.1
1.56,155,1.26;57,879.0,Cardio,33.4,24.37
1.55,153,1.17;72,806.0,HIIT,26.3,30.59
1.85,161,1.2;73,1020.29,Strength,25.2,15.31
1.99,139,1.4;58,936.0,HIIT,26.3,22.55
1.77,138,1.81;59,1322.17,Cardio,17.3,17.94
1.55,120,1.3;52,780.0,Strength,32.9,25.22
1.62,123,1.38;59,849.0,HIIT,25.1,27.47
1.99,131,1.45;54,1005.0,Strength,29.4,20.63
1.96,168,0.51;51,424.0,Yoga,27.3,18.66
1.63,134,1.2;73,724.0,Yoga,33.7,19.35
1.81,151,1.54;65,1151.0,Yoga,13.7,26.01
1.86,126,1.14;55,796.0,Yoga,25.4,22.14
1.99,137,1.59;51,1198.0,Strength,10.5,20.66
1.8,127,1.07;72,626.0,HIIT,33.7,19.72
1.75,131,1.13;52,740.0,Strength,26.2,13.88
1.67,140,0.53;57,333.0,HIIT,20.9,36.47
1.78,152,1.58;65,1189.0,Yoga,12.4,25.56
1.76,133,1.22;69,811.0,Strength,27.6,17.27
1.65,160,1.45;50,581.97,Strength,30.1,18.7
1.98,138,1.43;74,1085.0,Cardio,24.0,14.85
1.51,145,1.25;65,890.76,HIIT,32.6,21.8
1.69,131,0.54;66,354.0,Cardio,27.5,25.73
1.63,154,1.1;59,847.0,Strength,31.7,29.62
1.95,135,1.58;66,1173.0,Yoga,10.3,23.35
1.59,153,1.84;55,1267.0,HIIT,15.2,25.08
1.85,167,0.72;53,661.0,Yoga,21.6,35.44
1.71,142,0.89;56,632.0,Cardio,26.0,16.14
1.95,168,1.06;59,881.0,Yoga,24.9,31.14
1.62,158,1.42;53,1122.0,Yoga,30.8,19.43
1.63,135,1.75;74,1299.0,Strength,12.9,32.93
1.83,134,1.45;63,962.0,Yoga,29.9,33.8
1.75,120,0.67;59,362.0,Cardio,31.8,21.91
1.68,135,1.2;51,1088.43,HIIT,30.3,24.55
1.8,157,0.59;66,463.0,Cardio,25.5,19.51
1.53,167,1.33;58,1111.0,HIIT,29.8,27.34
1.54,165,1.36;67,250.16,Strength,34.8,26.61
1.81,161,1.35;54,1195.0,Yoga,26.4,35.93
1.64,151,1.93;68,1138.0,Yoga,19.4,23.01
1.58,168,1.47;71,1111.0,HIIT,28.7,16.5
1.78,138,0.55;71,924.17,HIIT,31.7,17.33
1.62,141,0.84;68,651.0,HIIT,24.4,41.84
1.79,169,1.12;52,937.0,HIIT,29.6,16.23
1.55,120,1.2;68,720.0,Cardio,26.3,29.89
1.81,167,1.36;67,1249.0,Yoga,24.5,35.19
1.54,144,1.03;59,742.0,Cardio,26.7,33.61
1.82,160,1.96;72,1178.17,Strength,10.2,26.02
1.75,146,1.13;56,742.0,Strength,32.8,21.81
1.71,169,1.14;60,954.0,Strength,22.1,20.76
1.58,149,1.86;50,1247.0,HIIT,16.8,24.64
1.6,143,0.88;65,566.0,Cardio,27.7,22.23
1.79,158,0.64;68,556.0,Strength,29.2,14.39
1.68,152,1.77;65,858.86,Yoga,10.5,31.53
1.94,141,1.18;72,915.0,Strength,29.3,20.11
1.76,151,1.09;70,815.0,Yoga,27.9,23.7
1.71,153,1.07;62,810.0,Yoga,22.6,31.05
1.64,123,1.77;69,1197.0,Cardio,13.2,31.71
1.57,150,1.31;62,982.0,Strength,32.1,22.15
1.62,145,1.76;62,1276.0,Yoga,19.8,24.5
1.89,153,0.66;51,500.0,Yoga,20.1,34.24
1.68,167,0.77;50,637.0,Yoga,23.6,18.46
1.83,133,1.13;58,744.0,Yoga,21.4,21.53
1.66,160,0.51;64,408.0,Cardio,31.0,21.41
1.62,158,1.0;69,790.0,Cardio,33.8,25.07
