Calories_Burned,Gender,Weight (kg),go through horizontal surface,8w_Session_Duration (hours),A.B.
442.0,Male,76.5,1,0.67,120
949.0,Male,113.6,1,1.38,125
1318.0,Female,62.5,3,1.56,169
792.0,Male,51.7,1,0.9,160
448.0,Male,105.3,1,0.57,143
555.0,Female,78.1,1,0.92,134
877.0,Female,50.6,2,1.21,145
440.0,Male,70.2,1,0.7,127
1380.0,Female,62.6,3,1.93,143
768.0,Female,60.6,1,0.92,167
886.0,Male,76.4,2,1.14,157
1175.0,Female,63.3,3,1.88,125
1036.0,Male,123.3,2,1.3,161
891.0,Male,107.0,1,1.35,120
1289.0,Male,68.3,1,1.42,165
943.0,Female,58.4,3,1.6,131
1123.0,Female,74.3,2,1.43,157
1103.0,Female,55.2,2,1.37,161
598.0,Male,104.8,1,0.93,130
882.0,Male,82.2,2,1.15,155
1145.0,Male,91.4,2,1.37,152
574.0,Male,92.0,1,0.73,143
1505.0,Male,82.9,3,1.9,160
720.0,Female,66.9,1,1.24,129
626.0,Female,69.3,2,1.14,122
608.0,Female,42.7,1,1.04,130
1301.0,Female,55.6,3,1.77,147
639.0,Male,125.3,2,1.0,129
1278.0,Male,102.1,2,1.48,157
422.0,Female,51.1,1,0.5,169
1005.0,Male,81.7,1,1.45,126
440.0,Female,42.7,1,0.73,134
1198.0,Male,81.8,3,1.59,137
634.0,Male,107.7,1,0.72,160
566.0,Female,56.9,1,0.88,143
894.0,Female,48.2,2,1.25,159
1500.0,Male,86.6,3,1.98,153
1203.0,Male,96.3,2,1.35,162
995.0,Male,95.9,1,1.28,157
499.0,Female,40.6,1,0.62,161
927.0,Male,82.5,3,1.51,124
1042.0,Female,58.1,3,1.93,120
1060.0,Female,61.0,3,1.54,153
940.0,Female,64.5,3,1.74,120
1085.0,Male,58.2,2,1.43,138
393.0,Male,62.2,1,0.51,140
700.0,Male,94.5,2,1.01,140
994.0,Female,58.0,1,1.39,143
1396.0,Female,64.8,3,1.98,141
795.0,Male,45.7,1,1.04,139
952.0,Male,95.1,2,1.21,143
395.0,Female,65.5,1,0.66,133
545.0,Male,66.1,1,0.77,143
627.0,Male,68.0,1,0.76,150
729.0,Female,69.3,1,1.2,135
1479.0,Male,88.1,3,1.88,143
997.0,Male,124.3,2,1.25,145
586.0,Male,62.0,1,0.88,121
753.0,Female,69.7,2,1.24,135
1025.0,Male,76.5,1,1.13,165
873.0,Male,94.7,2,1.47,120
1155.0,Male,67.9,1,1.25,168
1012.0,Female,71.5,2,1.46,154
740.0,Male,98.6,1,0.83,162
779.0,Female,68.2,1,1.17,148
920.0,Female,57.7,2,1.18,156
886.0,Female,42.2,2,1.33,148
499.0,Female,66.2,1,0.86,129
964.0,Male,58.6,1,1.21,161
699.0,Male,101.5,1,0.97,131
959.0,Male,114.2,2,1.05,166
725.0,Male,54.4,1,0.91,161
898.0,Female,52.4,2,1.34,149
1379.0,Male,83.6,3,1.66,151
718.0,Female,78.1,2,1.1,145
920.0,Female,77.6,2,1.27,161
412.0,Male,118.0,1,0.66,126
932.0,Male,82.3,2,1.29,146
946.0,Male,60.2,2,1.22,141
881.0,Female,49.2,2,1.28,153
1025.0,Female,46.6,1,1.38,165
780.0,Female,60.6,2,1.3,120
1011.0,Male,65.5,2,1.48,138
753.0,Female,44.2,1,1.08,155
731.0,Male,65.9,1,0.81,164
639.0,Male,73.7,1,0.93,125
980.0,Female,67.7,2,1.42,138
913.0,Female,48.2,1,1.1,166
777.0,Female,56.8,2,1.37,126
796.0,Male,66.5,2,1.34,120
1107.0,Male,106.5,2,1.29,156
962.0,Female,53.3,2,1.37,156
834.0,Female,74.2,2,1.15,145
883.0,Female,42.7,1,1.46,121
851.0,Male,76.9,2,1.13,137
710.0,Female,62.4,2,1.1,129
810.0,Male,63.7,2,1.03,143
907.0,Male,106.4,1,1.34,123
904.0,Female,68.4,2,1.37,132
969.0,Male,63.5,2,1.36,144
825.0,Female,59.4,2,1.25,132
592.0,Female,61.9,1,0.92,143
937.0,Male,111.5,1,1.02,167
1345.0,Male,86.2,3,1.91,128
844.0,Male,59.4,2,1.16,147
672.0,Female,75.6,1,0.97,154
768.0,Female,76.3,1,1.08,158
972.0,Male,95.8,1,1.37,129
686.0,Male,120.6,2,1.04,120
472.0,Male,68.0,1,0.67,128
876.0,Male,63.3,2,1.32,134
878.0,Female,76.3,2,1.14,154
331.0,Male,61.0,1,0.54,124
1072.0,Female,67.8,1,1.34,160
949.0,Male,114.9,1,1.36,141
927.0,Female,67.7,1,1.45,142
842.0,Male,124.8,2,1.35,126
848.0,Female,50.6,1,1.29,146
1111.0,Female,41.2,1,1.47,168
776.0,Female,49.7,2,1.38,125
525.0,Male,48.3,1,0.68,156
1091.0,Male,121.6,2,1.24,160
529.0,Male,129.9,1,0.69,155
906.0,Female,49.7,1,1.25,145
822.0,Female,56.4,1,1.06,155
946.0,Male,46.9,2,1.03,167
826.0,Female,70.6,1,1.36,135
651.0,Male,109.8,1,0.84,141
1322.0,Male,85.6,3,1.78,135
1408.0,Male,82.3,3,1.73,148
806.0,Female,53.7,1,1.25,129
1257.0,Male,63.0,2,1.42,161
330.0,Female,77.7,1,0.55,120
1028.0,Male,87.0,3,1.52,123
806.0,Female,73.5,2,1.17,153
1287.0,Male,89.6,3,1.7,153
743.0,Female,46.1,2,1.28,129
894.0,Male,68.5,2,1.3,139
746.0,Female,54.2,1,1.13,132
759.0,Male,47.7,2,1.15,120
847.0,Male,52.2,2,1.38,124
1173.0,Male,88.8,3,1.58,135
1076.0,Male,101.0,2,1.46,134
881.0,Male,118.4,2,1.06,168
933.0,Female,47.9,1,1.41,147
479.0,Female,79.9,1,0.75,142
350.0,Male,73.5,1,0.52,136
1515.0,Male,88.5,3,1.8,153
303.0,Female,43.4,1,0.51,132
1151.0,Male,59.2,1,1.3,161
938.0,Female,78.9,1,1.38,151
856.0,Male,102.3,2,1.34,129
937.0,Male,52.0,1,1.12,169
837.0,Female,52.1,1,1.5,124
1320.0,Male,81.4,3,1.6,150
887.0,Female,50.9,1,1.45,136
987.0,Male,52.0,2,1.38,130
1086.0,Male,71.0,2,1.42,139
640.0,Female,58.3,2,1.0,128
875.0,Male,111.0,2,1.02,156
762.0,Female,52.6,2,1.27,120
688.0,Male,116.4,1,1.13,123
983.0,Female,75.6,2,1.41,155
1172.0,Male,61.6,1,1.48,144
926.0,Male,108.0,2,1.38,122
634.0,Female,59.3,1,0.99,128
915.0,Male,75.7,2,1.18,141
859.0,Female,56.3,2,1.21,142
766.0,Female,58.2,2,1.17,131
802.0,Male,55.7,1,1.13,129
972.0,Male,86.6,2,1.37,129
983.0,Male,64.5,2,1.2,149
954.0,Male,60.7,1,1.14,169
909.0,Female,57.2,3,1.67,121
798.0,Female,73.0,2,1.19,149
1024.0,Male,93.6,1,1.37,151
821.0,Male,92.3,2,1.14,131
720.0,Female,71.8,2,1.2,120
679.0,Female,66.9,2,1.07,127
1013.0,Male,84.0,1,1.45,127
1216.0,Male,123.3,2,1.34,165
1025.0,Male,84.8,2,1.35,138
1060.0,Male,109.6,2,1.29,166
777.0,Male,86.4,2,1.0,157
626.0,Female,63.9,2,1.07,130
1188.0,Female,55.3,3,1.71,139
942.0,Male,73.9,1,1.36,140
868.0,Male,49.3,1,1.36,129
581.0,Female,73.6,1,0.89,145
929.0,Male,47.1,1,1.26,149
408.0,Male,65.2,1,0.58,128
1634.0,Male,87.2,3,2.0,165
906.0,Female,62.5,3,1.61,125
775.0,Male,110.7,1,1.06,133
954.0,Male,102.6,2,1.41,123
1598.0,Male,80.7,3,1.75,166
1249.0,Male,115.3,1,1.36,167
1573.0,Male,87.8,3,1.81,158
714.0,Male,74.3,2,1.06,136
938.0,Female,78.5,2,1.36,138
733.0,Female,77.3,1,0.97,168
319.0,Female,64.5,1,0.51,125
916.0,Female,77.9,2,1.41,130
1148.0,Male,45.9,2,1.45,144
537.0,Female,68.2,1,0.75,159
968.0,Female,79.6,2,1.49,130
1024.0,Male,74.2,2,1.32,141
380.0,Female,54.9,1,0.55,138
468.0,Male,50.3,1,0.63,150
741.0,Male,57.8,1,0.93,161
695.0,Male,83.0,1,0.79,160
709.0,Female,66.5,1,1.11,142
695.0,Female,70.2,1,0.93,166
1082.0,Male,121.9,2,1.49,132
857.0,Female,70.3,2,1.19,144
877.0,Female,40.3,2,1.45,121
841.0,Female,75.8,1,1.46,128
1082.0,Female,57.7,3,1.64,132
977.0,Female,44.8,2,1.48,132
668.0,Male,90.2,1,0.9,150
807.0,Male,95.7,1,1.08,151
924.0,Male,59.0,2,1.22,153
1092.0,Female,60.5,3,1.72,127
1046.0,Female,66.3,2,1.48,157
1015.0,Male,45.9,2,1.29,159
1536.0,Male,88.0,3,1.9,147
965.0,Female,44.7,2,1.34,160
1294.0,Male,95.6,2,1.47,160
666.0,Male,81.7,1,0.91,133
1164.0,Female,49.1,2,1.42,164
747.0,Male,66.5,2,1.11,136
885.0,Male,74.8,2,1.33,121
566.0,Female,72.2,1,0.87,130
1241.0,Male,62.8,2,1.41,160
388.0,Male,116.5,1,0.53,148
1047.0,Male,77.4,2,1.39,137
732.0,Female,72.9,2,1.17,139
999.0,Female,64.3,3,1.67,133
1148.0,Male,90.2,2,1.38,168
1116.0,Male,127.5,2,1.26,161
1228.0,Female,61.6,3,1.78,138
792.0,Male,76.7,1,0.96,150
986.0,Male,100.9,1,1.1,163
1010.0,Male,58.3,2,1.35,136
1043.0,Female,60.0,3,1.63,128
915.0,Male,126.4,1,1.24,149
662.0,Female,75.4,2,1.05,140
996.0,Female,64.2,3,1.69,131
673.0,Female,70.1,1,0.99,151
879.0,Male,107.2,2,1.15,139
1220.0,Female,56.5,3,1.76,154
911.0,Female,61.6,2,1.22,166
481.0,Female,76.6,1,0.74,130
1107.0,Female,60.1,3,1.8,123
803.0,Male,93.7,1,1.0,146
552.0,Male,127.1,1,0.71,157
1031.0,Male,125.5,2,1.15,163
893.0,Female,71.3,2,1.07,167
795.0,Male,96.3,2,1.1,146
433.0,Female,52.3,1,0.74,130
864.0,Female,46.8,2,1.35,128
944.0,Male,101.2,1,1.3,132
1378.0,Female,56.6,3,1.65,167
1234.0,Female,64.3,3,1.87,132
1025.0,Male,49.3,2,1.18,158
711.0,Female,41.1,2,1.03,138
691.0,Male,71.0,1,0.91,138
1336.0,Female,60.9,3,1.59,168
1117.0,Female,64.7,3,1.88,132
1213.0,Female,57.7,3,1.65,147
992.0,Male,76.9,2,1.49,121
1181.0,Male,80.5,3,1.85,129
878.0,Female,49.0,2,1.33,132
725.0,Male,114.5,1,1.03,128
637.0,Male,52.1,1,0.77,167
475.0,Female,70.1,1,0.76,139
951.0,Male,86.9,2,1.29,134
815.0,Male,73.4,2,1.09,151
1104.0,Male,90.0,2,1.32,152
1287.0,Male,85.7,3,1.72,136
1497.0,Male,80.3,3,1.63,167
573.0,Female,66.9,1,0.94,122
921.0,Male,78.7,2,1.42,131
1307.0,Female,62.4,3,1.88,139
980.0,Male,58.3,2,1.32,135
1783.0,Male,89.8,3,1.93,168
640.0,Male,118.6,1,0.77,168
914.0,Male,117.3,2,1.24,134
863.0,Female,77.4,2,1.26,137
816.0,Female,71.2,1,1.15,142
1135.0,Female,57.9,3,1.66,152
753.0,Female,70.6,2,1.02,164
693.0,Male,118.6,1,0.94,134
784.0,Female,63.8,1,0.95,165
479.0,Female,67.3,1,0.61,157
1463.0,Female,59.3,3,1.97,165
836.0,Female,70.7,1,1.14,163
965.0,Male,63.6,2,1.3,150
727.0,Female,45.2,2,1.01,144
736.0,Male,117.2,2,1.04,143
402.0,Female,53.3,1,0.57,141
812.0,Male,46.2,1,1.18,139
1127.0,Male,70.2,2,1.38,165
852.0,Female,62.6,1,1.2,142
1066.0,Female,55.7,3,1.91,124
992.0,Male,69.9,2,1.2,167
760.0,Female,67.9,2,1.03,164
1445.0,Male,87.9,3,1.96,134
818.0,Male,102.8,2,1.24,120
838.0,Female,51.8,1,1.32,141
1005.0,Female,57.7,3,1.83,122
907.0,Female,69.2,1,1.17,155
699.0,Female,66.6,2,1.02,137
1001.0,Female,43.8,1,1.39,160
354.0,Female,44.1,1,0.58,122
1035.0,Male,55.0,2,1.12,168
929.0,Female,60.4,3,1.72,120
1080.0,Female,63.7,2,1.42,169
1237.0,Male,81.4,3,1.52,148
1072.0,Male,62.6,2,1.3,150
1057.0,Male,45.5,2,1.31,163
730.0,Female,60.5,1,1.14,128
750.0,Male,122.1,1,1.13,134
1318.0,Male,114.8,2,1.47,163
1150.0,Female,61.0,3,1.67,153
580.0,Female,58.2,2,1.04,124
777.0,Male,94.1,2,1.13,139
1129.0,Female,59.5,3,1.78,141
751.0,Female,76.7,1,1.08,139
1150.0,Male,105.0,2,1.34,156
441.0,Female,54.6,1,0.58,169
1625.0,Female,60.1,3,1.97,165
1404.0,Male,86.0,3,1.74,163
819.0,Female,61.7,2,1.41,129
1315.0,Male,87.6,3,1.72,139
685.0,Male,82.4,2,1.01,137
1303.0,Male,92.4,1,1.41,168
870.0,Female,45.2,2,1.24,156
608.0,Male,94.1,1,0.89,138
1046.0,Female,79.2,2,1.26,166
913.0,Female,40.4,2,1.23,165
1151.0,Male,109.0,2,1.49,156
1095.0,Female,63.0,3,1.58,154
767.0,Female,52.9,2,1.1,155
1082.0,Male,83.6,3,1.54,142
1337.0,Female,57.4,3,1.87,143
663.0,Male,75.6,2,1.03,130
1280.0,Male,83.8,3,1.79,130
796.0,Female,65.3,2,1.18,135
1071.0,Male,45.4,2,1.37,158
1241.0,Male,87.1,3,1.71,132
703.0,Female,78.3,1,1.24,126
732.0,Female,48.4,1,1.28,127
732.0,Female,72.9,2,1.21,121
1224.0,Female,55.1,3,1.55,158
699.0,Female,60.9,1,1.11,126
993.0,Male,55.7,1,1.41,128
506.0,Female,70.9,1,0.81,125
1060.0,Female,58.9,3,1.52,155
803.0,Female,50.4,2,1.03,156
610.0,Female,65.2,2,1.12,121
962.0,Female,63.1,3,1.54,125
1232.0,Male,89.6,3,1.79,139
593.0,Male,105.5,1,0.81,133
938.0,Male,93.4,2,1.1,155
1054.0,Male,112.4,1,1.42,135
1474.0,Female,61.3,3,1.94,152
911.0,Female,69.2,1,1.36,134
832.0,Female,76.7,2,1.4,132
694.0,Female,44.1,2,1.16,133
764.0,Female,57.5,1,1.14,149
714.0,Female,60.7,2,1.03,154
1187.0,Male,45.0,2,1.48,162
927.0,Male,70.9,2,1.31,143
1451.0,Female,62.3,3,1.99,162
500.0,Male,64.1,1,0.64,142
715.0,Male,106.8,2,1.0,130
1160.0,Male,88.4,3,1.86,126
638.0,Female,68.2,1,0.85,150
1200.0,Female,47.2,2,1.5,160
767.0,Male,56.2,2,1.09,128
996.0,Female,62.0,2,1.23,162
1171.0,Male,108.8,1,1.4,169
992.0,Male,78.8,2,1.49,121
883.0,Female,50.7,2,1.27,139
1316.0,Male,80.8,3,1.65,145
444.0,Male,105.1,1,0.69,130
569.0,Female,69.5,1,0.94,121
1218.0,Male,84.0,3,1.8,123
739.0,Male,61.0,2,1.14,131
1170.0,Male,106.5,2,1.4,152
921.0,Male,105.7,2,1.2,155
555.0,Male,50.3,1,0.85,132
882.0,Male,125.9,2,1.35,132
926.0,Female,60.9,2,1.31,157
1304.0,Female,59.4,3,1.62,161
463.0,Female,52.0,1,0.7,147
642.0,Female,54.2,2,1.07,120
711.0,Female,47.8,2,1.06,149
730.0,Male,102.5,1,0.84,158
597.0,Female,55.6,1,0.97,123
1066.0,Male,78.3,1,1.29,167
1314.0,Male,88.4,3,1.68,158
705.0,Male,84.6,2,1.01,141
910.0,Female,54.9,1,1.48,123
957.0,Male,113.4,1,1.27,137
895.0,Female,53.0,2,1.26,142
831.0,Male,61.2,1,1.03,163
886.0,Female,48.7,1,1.23,144
1186.0,Female,55.3,3,1.56,152
850.0,Male,120.5,2,1.01,153
1053.0,Female,57.5,3,1.76,133
656.0,Male,108.6,1,0.89,134
1398.0,Male,87.1,3,1.81,156
1171.0,Female,64.3,3,1.71,137
935.0,Female,64.4,1,1.12,167
807.0,Female,73.5,2,1.18,152
1050.0,Female,78.9,2,1.28,164
1675.0,Male,88.5,3,1.88,162
502.0,Female,53.1,1,0.82,136
749.0,Female,50.3,1,1.17,128
422.0,Female,74.6,1,0.71,132
606.0,Female,72.2,1,0.97,125
1410.0,Male,85.8,3,1.72,149
1248.0,Male,80.6,3,1.51,167
1188.0,Male,66.2,1,1.42,169
475.0,Female,40.0,1,0.8,132
1116.0,Female,57.9,3,1.8,124
966.0,Female,60.4,2,1.27,169
952.0,Male,72.0,2,1.17,148
643.0,Female,53.6,1,1.02,126
986.0,Female,57.7,2,1.36,145
985.0,Female,64.4,3,1.52,144
660.0,Female,46.5,1,0.91,145
445.0,Male,71.7,1,0.55,147
585.0,Female,47.4,1,0.76,154
1032.0,Female,57.2,2,1.29,160
742.0,Female,53.8,2,1.03,160
446.0,Male,75.5,1,0.6,135
858.0,Male,58.7,2,1.09,159
756.0,Female,72.6,2,1.19,127
406.0,Female,56.5,1,0.74,122
1582.0,Female,55.1,3,1.99,159
876.0,Male,129.2,2,1.06,167
576.0,Female,64.9,2,1.04,123
1242.0,Female,56.0,3,1.94,128
927.0,Female,49.3,1,1.28,161
500.0,Female,63.0,1,0.68,147
726.0,Female,73.3,2,1.03,141
494.0,Male,75.7,1,0.68,132
713.0,Male,102.1,1,0.96,135
549.0,Male,51.9,1,0.75,133
895.0,Male,84.8,1,1.19,152
531.0,Male,80.0,1,0.72,149
681.0,Male,73.1,2,1.05,131
1027.0,Male,88.2,3,1.56,133
1044.0,Male,72.6,2,1.31,161
514.0,Female,59.1,1,0.85,121
1418.0,Male,85.5,3,1.99,144
862.0,Male,96.1,2,1.21,144
764.0,Male,95.4,2,1.16,133
1227.0,Female,64.2,3,1.99,137
883.0,Male,126.4,2,1.1,146
