He(m,Avg_BPM,T7Q_Calories_Burned,Workout_Type
1.99,130,1280.0,Cardio
1.77,139,795.0,HIIT
1.62,165,1216.0,Yoga
1.5,132,904.0,Cardio
1.88,160,634.0,Strength
1.66,152,1104.0,Cardio
1.83,123,954.0,HIIT
1.8,162,624.0,Strength
1.62,133,1027.0,Cardio
1.99,161,741.0,HIIT
1.62,166,1046.0,Cardio
1.61,133,764.0,Strength
1.57,123,576.0,HIIT
1.62,150,965.0,Strength
1.78,140,662.0,Cardio
1.64,125,962.0,Cardio
1.68,163,1468.0,HIIT
1.65,136,887.0,Strength
1.77,138,820.0,Cardio
1.74,145,1321.0,Yoga
1.63,137,666.0,Yoga
1.91,149,1074.0,Strength
1.68,134,914.0,Yoga
1.53,120,940.0,Yoga
1.79,165,1625.0,Cardio
1.53,140,1153.0,Cardio
1.88,147,445.0,Cardio
1.91,156,1151.0,Yoga
1.7,162,740.0,Cardio
1.55,129,819.0,Strength
1.58,169,422.0,Yoga
1.74,167,1223.0,HIIT
1.76,130,842.0,Strength
1.77,149,531.0,HIIT
1.69,131,996.0,Yoga
1.65,153,924.0,HIIT
1.81,150,1072.0,Strength
1.63,121,610.0,HIIT
1.57,132,742.0,HIIT
1.5,142,816.0,Cardio
1.85,144,1119.0,Cardio
1.63,141,705.0,HIIT
1.6,130,566.0,Yoga
1.55,139,876.0,Yoga
1.97,165,1025.0,Strength
1.68,134,1076.0,Strength
1.77,127,1048.0,Strength
1.53,141,1396.0,Yoga
1.72,161,725.0,Cardio
1.83,136,747.0,Yoga
1.9,128,1345.0,Strength
1.85,121,586.0,Strength
1.86,129,1181.0,HIIT
1.68,129,802.0,Yoga
1.64,169,1171.0,Strength
1.79,125,743.0,Cardio
1.71,151,836.0,Strength
1.69,148,388.0,Cardio
1.77,167,1248.0,Cardio
1.84,148,1408.0,HIIT
1.57,155,753.0,HIIT
1.98,122,772.0,Yoga
1.93,141,1024.0,HIIT
1.71,148,1237.0,HIIT
1.88,163,831.0,Yoga
1.98,153,1515.0,Cardio
1.58,142,895.0,Cardio
1.8,140,942.0,Strength
1.61,141,796.0,Cardio
1.64,150,468.0,Strength
1.92,165,1289.0,Strength
1.78,167,1265.0,HIIT
1.68,145,877.0,Yoga
2.0,135,980.0,Strength
1.68,147,844.0,Strength
1.68,144,727.0,HIIT
1.67,133,1053.0,Cardio
1.6,120,796.0,HIIT
1.76,132,475.0,Strength
1.56,139,1188.0,Strength
1.66,160,763.0,Cardio
1.6,155,907.0,Cardio
1.69,135,826.0,HIIT
1.53,143,1380.0,Cardio
1.82,145,997.0,Cardio
1.69,147,772.0,Yoga
1.77,127,1092.0,HIIT
1.71,129,530.0,Strength
1.77,141,627.0,Cardio
1.75,155,711.0,HIIT
1.76,130,410.0,HIIT
1.75,160,1001.0,Cardio
1.51,161,1304.0,Cardio
1.63,147,786.0,Yoga
1.57,167,1378.0,HIIT
1.84,146,932.0,Strength
1.91,137,957.0,HIIT
1.78,168,721.0,Yoga
1.52,132,746.0,Cardio
1.75,160,1032.0,Cardio
1.7,155,1060.0,Strength
1.68,165,784.0,Cardio
1.61,157,1046.0,HIIT
1.77,142,875.0,Cardio
1.64,154,1012.0,Yoga
1.63,163,986.0,Cardio
1.61,166,1598.0,Strength
1.56,132,1082.0,HIIT
1.77,120,759.0,Strength
1.61,159,1688.0,HIIT
1.8,130,626.0,HIIT
1.53,124,1066.0,Cardio
1.57,122,1005.0,Cardio
1.62,122,626.0,HIIT
1.62,139,777.0,Cardio
1.99,137,1198.0,Strength
1.55,161,1103.0,Strength
1.58,165,1463.0,Strength
1.86,160,1481.0,Strength
1.85,150,1320.0,Cardio
1.57,133,395.0,Cardio
1.74,144,862.0,Cardio
1.87,166,959.0,Strength
1.66,140,832.0,Cardio
1.78,132,555.0,HIIT
1.62,138,691.0,HIIT
1.68,145,660.0,HIIT
1.87,165,1127.0,HIIT
1.99,135,936.0,HIIT
1.72,120,832.0,Yoga
1.6,136,979.0,HIIT
1.7,146,848.0,Strength
1.83,130,824.0,Cardio
1.63,148,779.0,Strength
1.95,159,1503.0,Yoga
1.67,138,711.0,Yoga
1.99,146,1357.0,HIIT
1.78,149,929.0,Yoga
1.93,143,1479.0,Cardio
1.85,143,952.0,Yoga
1.79,160,965.0,Yoga
1.61,127,732.0,Cardio
1.69,137,1227.0,Cardio
1.73,129,482.0,Strength
1.78,133,944.0,HIIT
1.67,127,333.0,HIIT
1.59,162,996.0,Strength
1.79,161,499.0,Cardio
1.87,134,1445.0,Strength
1.8,138,964.0,HIIT
1.77,128,841.0,Strength
1.77,136,952.0,HIIT
1.63,136,350.0,Strength
1.69,133,775.0,Yoga
1.74,160,1200.0,Cardio
1.64,134,929.0,Cardio
1.69,155,875.0,Cardio
1.68,138,451.0,Yoga
1.6,145,718.0,Yoga
1.56,148,903.0,Strength
1.82,121,992.0,Strength
1.5,165,1025.0,Strength
1.62,141,651.0,HIIT
1.71,135,796.0,HIIT
1.55,145,581.0,HIIT
1.76,121,732.0,Strength
1.62,169,1318.0,HIIT
1.6,136,734.0,Cardio
1.72,128,640.0,Yoga
1.72,147,933.0,Cardio
1.86,139,1086.0,Cardio
1.62,147,500.0,Strength
1.65,147,463.0,Cardio
1.88,161,1036.0,HIIT
1.67,158,1071.0,Yoga
1.95,135,1173.0,Yoga
1.52,136,653.0,Strength
1.84,140,393.0,Strength
1.52,123,910.0,Strength
1.54,153,881.0,HIIT
1.59,128,730.0,Cardio
1.64,164,1050.0,Cardio
1.58,129,499.0,HIIT
1.76,157,552.0,Strength
1.85,135,1322.0,Strength
1.82,160,792.0,Strength
1.73,131,766.0,Yoga
1.57,149,898.0,HIIT
1.93,135,446.0,Cardio
1.62,141,949.0,HIIT
1.66,130,433.0,Yoga
1.74,151,1379.0,Cardio
1.71,152,579.0,Cardio
1.76,149,711.0,HIIT
1.59,123,1107.0,HIIT
1.94,141,915.0,Strength
1.62,144,1073.0,Yoga
1.71,136,734.0,Cardio
1.66,166,1060.0,Cardio
1.88,156,1150.0,Cardio
1.66,153,917.0,Yoga
1.82,161,1116.0,Strength
1.75,131,740.0,Strength
1.54,125,606.0,Strength
1.65,148,959.0,Yoga
1.66,161,1151.0,Strength
1.72,168,640.0,Strength
1.54,155,822.0,Strength
1.65,137,1042.0,Cardio
1.65,167,768.0,HIIT
1.72,143,927.0,Strength
1.65,148,686.0,Yoga
1.68,135,729.0,HIIT
1.57,132,878.0,Yoga
1.78,154,1095.0,HIIT
1.66,152,937.0,HIIT
1.65,133,694.0,HIIT
1.98,138,1085.0,Cardio
1.69,158,1573.0,HIIT
1.8,149,1410.0,Cardio
1.79,169,937.0,HIIT
1.7,122,406.0,Yoga
1.95,131,1016.0,Cardio
1.52,129,1004.0,Strength
1.68,128,472.0,Cardio
1.59,149,798.0,Strength
1.8,153,926.0,Yoga
1.74,156,870.0,Strength
1.76,145,834.0,Strength
1.94,156,875.0,Cardio
1.57,127,679.0,Cardio
1.7,155,938.0,Strength
1.61,151,421.0,Cardio
1.59,163,924.0,HIIT
1.77,129,1181.0,Yoga
1.79,138,1025.0,Cardio
1.56,138,900.0,HIIT
1.72,151,1046.0,Strength
1.58,142,927.0,Strength
1.7,164,532.0,Strength
1.95,138,608.0,HIIT
1.66,120,762.0,Strength
1.59,145,1182.0,Yoga
1.76,158,1304.0,HIIT
1.67,129,743.0,Yoga
1.8,126,680.0,Strength
1.94,148,952.0,Yoga
1.79,168,1214.0,Yoga
1.61,121,815.0,Cardio
1.84,132,603.0,HIIT
1.93,136,1010.0,Cardio
1.77,137,877.0,Strength
1.55,120,720.0,Cardio
1.69,149,915.0,Strength
1.74,138,1011.0,Strength
1.5,128,1242.0,Strength
1.71,137,863.0,Cardio
1.76,151,1071.0,Strength
1.78,138,380.0,HIIT
1.51,126,777.0,HIIT
1.61,124,580.0,Strength
1.63,162,1203.0,Cardio
1.65,166,913.0,Cardio
1.58,135,1262.0,HIIT
1.67,166,695.0,Strength
1.87,143,1111.0,HIIT
1.87,142,500.0,Yoga
1.64,134,693.0,Cardio
1.8,165,913.0,Cardio
1.51,145,906.0,HIIT
1.6,154,585.0,Strength
1.97,128,725.0,Cardio
1.7,125,319.0,Cardio
1.59,139,883.0,Strength
1.71,157,1123.0,Yoga
1.56,156,1053.0,Yoga
1.87,131,739.0,Strength
1.72,169,1385.0,Cardio
1.59,163,1020.0,Strength
1.72,160,742.0,Strength
1.87,124,927.0,Yoga
1.7,144,1418.0,Strength
1.86,142,1082.0,HIIT
1.79,135,958.0,Cardio
1.96,167,1066.0,Cardio
1.75,120,362.0,Cardio
1.73,158,768.0,Yoga
1.86,136,1104.0,HIIT
1.72,150,668.0,HIIT
1.51,129,1096.0,Strength
1.74,167,946.0,Strength
1.76,152,1186.0,Yoga
1.91,125,854.0,HIIT
1.67,146,593.0,HIIT
1.96,139,667.0,Strength
1.61,128,749.0,HIIT
1.77,123,418.0,Yoga
1.76,161,927.0,Strength
1.62,162,1675.0,Strength
1.76,121,883.0,Strength
1.65,142,852.0,Cardio
1.6,143,566.0,Cardio
1.92,168,1783.0,Strength
1.56,152,1135.0,HIIT
1.53,148,844.0,Strength
1.64,157,887.0,Strength
1.66,125,639.0,Yoga
1.56,124,1116.0,Yoga
1.99,126,1005.0,Strength
1.76,151,815.0,Yoga
1.65,148,886.0,Cardio
1.61,128,993.0,Strength
1.68,135,871.0,HIIT
1.82,120,873.0,Cardio
1.93,139,1315.0,HIIT
1.79,126,699.0,Cardio
1.9,167,937.0,Yoga
1.68,144,886.0,Yoga
1.57,163,836.0,Cardio
1.77,156,1021.0,HIIT
1.51,134,555.0,Strength
1.95,128,767.0,Strength
1.91,143,729.0,Cardio
1.95,160,1505.0,Cardio
1.85,157,995.0,Yoga
1.52,144,857.0,Yoga
1.6,122,465.0,Strength
2.0,133,549.0,HIIT
1.74,143,810.0,HIIT
1.99,125,949.0,Strength
1.56,121,877.0,HIIT
1.67,144,1418.0,Cardio
1.69,148,925.0,HIIT
1.69,156,920.0,HIIT
1.62,132,303.0,Cardio
1.92,137,1047.0,Cardio
1.56,138,980.0,HIIT
1.62,168,1336.0,Cardio
1.55,169,1103.0,Strength
1.85,157,1278.0,Cardio
1.78,130,987.0,Strength
1.89,134,750.0,Cardio
1.69,147,979.0,HIIT
1.71,169,954.0,Strength
1.5,144,662.0,Yoga
1.58,164,753.0,HIIT
1.76,168,1123.0,Strength
1.76,123,688.0,Strength
1.79,158,556.0,Strength
1.74,127,1013.0,Strength
1.77,138,1249.0,Cardio
1.89,144,1148.0,Cardio
1.79,132,832.0,Yoga
1.96,168,424.0,Yoga
1.96,135,1054.0,Cardio
1.67,149,764.0,Yoga
1.77,157,1046.0,HIIT
1.88,141,946.0,Cardio
1.52,157,926.0,Strength
1.61,159,1041.0,Cardio
1.57,152,1474.0,HIIT
1.58,120,1042.0,Yoga
1.6,168,1035.0,Yoga
1.63,135,1299.0,Strength
1.77,147,1213.0,Strength
1.76,156,1398.0,Strength
1.61,130,744.0,HIIT
1.72,142,875.0,Cardio
1.68,156,1116.0,HIIT
1.83,120,686.0,Cardio
1.62,125,885.0,Strength
1.74,156,962.0,Strength
1.8,144,1172.0,Yoga
1.59,136,502.0,Strength
1.6,163,1057.0,Strength
1.53,134,911.0,HIIT
1.92,137,851.0,Yoga
1.53,167,1111.0,HIIT
1.9,160,1294.0,Cardio
1.64,155,921.0,Cardio
1.74,168,1303.0,Yoga
1.6,142,859.0,Yoga
1.6,121,1138.0,HIIT
1.52,143,592.0,HIIT
1.94,132,882.0,Strength
1.76,161,920.0,Strength
1.83,146,883.0,HIIT
2.0,123,688.0,Yoga
1.94,158,730.0,Cardio
1.97,139,894.0,HIIT
1.57,150,982.0,Strength
1.75,121,885.0,Yoga
1.72,135,753.0,Strength
1.72,132,977.0,Cardio
1.84,124,847.0,Strength
1.6,129,710.0,Strength
1.8,122,926.0,Cardio
1.79,131,943.0,HIIT
1.84,132,944.0,Yoga
1.76,132,494.0,Cardio
1.66,161,964.0,HIIT
1.68,164,446.0,Yoga
1.52,126,643.0,Cardio
1.87,132,1241.0,Yoga
1.78,137,1171.0,Cardio
1.61,129,868.0,Cardio
1.75,154,1220.0,HIIT
1.76,167,1497.0,Strength
1.65,120,642.0,Cardio
1.75,128,634.0,Strength
1.73,142,709.0,Yoga
1.84,153,1052.0,Strength
1.96,120,442.0,Strength
1.64,165,1634.0,Strength
1.74,141,1129.0,Yoga
1.65,154,878.0,Strength
1.73,153,850.0,Cardio
1.95,168,881.0,Yoga
1.63,129,856.0,Yoga
1.64,159,894.0,Strength
1.67,143,448.0,Cardio
1.77,162,1187.0,Cardio
1.6,126,1160.0,HIIT
1.71,121,992.0,HIIT
1.58,168,733.0,Cardio
1.67,157,479.0,Strength
1.86,146,795.0,Strength
1.98,145,1316.0,Strength
1.86,129,972.0,HIIT
1.61,158,1224.0,Yoga
1.54,155,790.0,Cardio
1.68,164,1164.0,Cardio
1.64,155,767.0,Cardio
1.55,153,806.0,HIIT
1.71,131,778.0,Strength
1.62,143,1022.0,HIIT
1.7,138,938.0,Strength
1.58,167,893.0,HIIT
1.54,125,906.0,Strength
1.87,156,525.0,HIIT
1.81,167,992.0,Strength
1.77,130,916.0,Cardio
1.71,143,1337.0,Strength
1.56,155,879.0,Cardio
1.61,160,1072.0,HIIT
1.77,165,884.0,Cardio
1.99,133,593.0,HIIT
1.76,121,799.0,Yoga
1.74,129,720.0,HIIT
1.62,158,1025.0,Strength
1.99,153,1500.0,Strength
1.84,136,922.0,Strength
1.62,122,354.0,Yoga
1.76,163,1031.0,Yoga
1.54,131,1150.0,Yoga
1.64,141,402.0,Strength
1.92,134,656.0,Yoga
1.64,147,939.0,HIIT
1.74,130,608.0,Strength
1.66,151,1024.0,Strength
1.77,157,777.0,Yoga
1.71,169,1188.0,HIIT
1.77,151,807.0,HIIT
1.74,138,842.0,Yoga
1.62,139,732.0,Yoga
1.55,121,909.0,Cardio
1.64,147,1536.0,Yoga
1.83,131,681.0,Yoga
1.55,132,422.0,Cardio
1.55,122,1016.0,Strength
1.57,169,441.0,Cardio
1.74,141,726.0,Cardio
1.81,156,1107.0,Cardio
1.66,160,408.0,Cardio
1.63,131,407.0,Cardio
1.69,159,537.0,HIIT
1.71,167,935.0,HIIT
1.69,140,567.0,Yoga
1.94,131,821.0,HIIT
1.62,128,408.0,Cardio
1.62,143,736.0,HIIT
1.58,130,481.0,Yoga
1.86,144,969.0,Strength
1.61,155,983.0,Yoga
1.97,157,886.0,HIIT
1.93,163,1404.0,Strength
1.98,120,818.0,Strength
1.74,165,990.0,Cardio
1.63,160,1241.0,Cardio
1.76,121,569.0,Strength
1.72,137,685.0,Strength
1.86,159,858.0,Cardio
1.82,130,715.0,Yoga
1.8,139,502.0,HIIT
1.55,125,525.0,Cardio
1.55,120,330.0,Yoga
1.79,125,506.0,HIIT
1.67,168,949.0,Strength
1.66,131,921.0,Yoga
1.78,121,514.0,Cardio
1.81,167,1249.0,Yoga
1.54,133,999.0,Yoga
1.75,122,573.0,Yoga
1.86,123,1028.0,Yoga
1.5,131,678.0,HIIT
1.73,154,714.0,Yoga
1.74,152,807.0,Cardio
1.86,129,639.0,Yoga
1.76,153,1060.0,HIIT
1.99,130,598.0,Cardio
2.0,160,1091.0,Cardio
1.89,168,499.0,Cardio
1.61,168,1148.0,Yoga
1.75,150,638.0,Strength
1.92,145,502.0,Cardio
1.52,138,1228.0,Cardio
1.61,136,714.0,Strength
1.61,167,876.0,Yoga
1.78,161,1133.0,Cardio
1.58,124,1105.0,Strength
1.71,157,1313.0,Yoga
1.74,133,666.0,Yoga
1.58,145,986.0,Yoga
1.6,163,1318.0,Cardio
1.63,128,864.0,HIIT
1.69,155,882.0,Strength
1.82,149,983.0,HIIT
1.87,161,1044.0,HIIT
1.86,123,907.0,Cardio
1.7,150,627.0,HIIT
1.7,140,700.0,Cardio
1.68,139,1232.0,Cardio
1.76,120,929.0,Cardio
1.92,136,1287.0,Cardio
1.66,132,1117.0,Yoga
1.71,125,1175.0,Strength
1.7,152,865.0,HIIT
1.51,142,735.0,Strength
