Age,G.,Weight (kg),Height (m),MaBP,Avg_BPM,Workout_Frequency (days/week),87U_BMI
26,Female,62.4,1.61,198,139,4,24.07
50,Female,61.6,1.75,192,166,4,20.11
56,Female,146.47,1.73,165,129,3,15.07
18,male person,155.89,1.8,174,153,4,21.02
33,Female,151.68,1.66,191,129,3,19.49
54,Female,75.6,1.61,180,155,4,29.17
56,Male,163.16,1.66,188,166,3,39.77
18,Female,64.8,1.53,170,141,5,27.68
22,Male,96.3,1.63,180,162,4,36.25
56,Female,64.2,1.69,190,137,5,22.48
22,Female,63.2,1.54,191,155,4,26.65
23,Female,44.1,1.62,196,122,2,16.8
41,Male,94.5,2.0,179,136,3,23.62
22,male person,88.5,1.62,174,162,5,33.72
31,Female,141.53,1.64,183,141,3,19.82
38,male person,81.4,1.71,187,148,5,27.84
31,Female,57.9,1.56,161,124,5,23.79
27,Male,160.3,1.8,169,144,2,19.01
45,Vemale,65.5,1.57,192,133,2,26.57
41,Mala,166.97,1.71,164,131,3,22.16
35,male person,85.6,1.85,185,135,5,25.01
23,male person,83.1,1.8,185,162,3,25.65
19,Female,64.3,1.63,197,132,5,24.2
41,Female,55.0,1.55,175,169,4,22.89
46,Male,140.92,1.77,185,162,3,14.36
21,Maoe,101.2,1.84,181,132,2,29.89
31,Female,163.47,1.77,187,127,4,19.31
43,Female,64.7,1.66,191,132,4,23.48
36,Male,109.8,1.62,193,141,3,41.84
47,Mxle,87.2,1.64,177,165,4,32.42
18,Female,60.9,1.79,191,126,2,19.01
55,Female,168.05,1.69,186,140,2,15.02
40,Female,176.09,1.69,184,156,4,20.2
25,Female,65.4,1.77,160,141,3,20.88
45,Female,48.2,1.64,168,159,4,17.92
49,Male,57.8,1.99,183,161,3,14.6
42,Male,88.4,1.93,188,158,4,23.73
51,Female,147.7,1.58,171,168,2,30.96
58,Female,177.45,1.7,170,122,2,19.55
44,Hale,98.0,1.83,194,130,4,29.26
59,Female,75.8,1.77,167,128,3,24.19
53,Male,73.4,1.76,169,151,3,23.7
34,Male,162.71,1.64,170,134,4,26.73
49,Male,115.3,1.91,161,125,2,31.61
39,Male,93.4,1.7,191,155,4,32.32
35,Female,78.0,1.67,198,168,4,27.97
46,Male,177.34,1.68,165,147,4,21.05
39,Femala,50.3,1.61,167,128,2,19.41
50,Female,69.3,1.68,182,135,2,24.55
34,Male,176.03,1.94,181,141,4,20.11
47,Female,61.9,1.54,190,131,4,26.1
53,Male,61.0,1.63,170,124,3,22.96
43,Kale,127.7,1.69,171,155,3,44.71
21,male person,110.7,1.69,193,133,3,38.76
56,Male,88.5,1.85,161,144,4,25.86
38,Female,161.05,1.56,185,132,5,23.71
23,Female,60.9,1.62,193,168,5,23.21
57,Female,64.4,1.56,177,144,5,26.46
31,Female,63.1,1.64,184,125,4,23.46
39,Female,64.3,1.69,190,148,4,22.51
47,Female,61.0,1.76,162,153,5,19.69
54,Female,56.5,1.75,196,154,5,18.45
56,Male,125.3,1.86,197,129,3,36.22
25,Female,41.1,1.67,186,138,3,14.74
47,Female,66.8,1.75,199,146,3,21.81
41,Male,51.5,1.8,166,126,4,15.9
18,Male,82.3,1.84,190,148,5,24.31
24,Vemale,59.4,1.5,199,132,3,26.4
29,Female,147.39,1.52,172,123,3,23.76
51,Female,44.8,1.63,198,137,4,16.86
29,Male,88.1,1.93,186,143,5,23.65
47,Female,40.0,1.76,173,132,3,12.91
22,Male,176.56,1.62,199,138,2,27.05
19,Male,72.0,1.94,199,148,3,19.13
39,Male,62.0,1.64,195,127,3,23.05
53,Demale,53.3,1.74,173,156,3,17.6
52,Male,85.6,1.74,182,145,4,28.27
38,Female,76.6,1.58,199,130,2,30.68
21,Female,72.6,1.68,162,127,3,25.72
42,Female,57.7,1.57,167,122,4,23.41
38,Male,176.83,1.77,197,142,2,22.95
37,Male,103.5,1.89,175,168,2,28.97
47,Male,73.9,1.8,173,140,3,22.81
20,Female,46.5,1.68,187,145,2,16.48
35,Male,63.7,1.74,198,143,4,21.04
56,Male,48.3,1.87,165,156,3,13.81
20,Male,55.0,1.6,172,168,4,21.48
26,Vemale,44.3,1.6,186,136,3,17.3
43,Male,61.2,1.88,175,163,3,17.32
36,Female,60.0,1.72,161,128,5,20.28
29,Male,55.7,1.61,177,128,3,21.49
50,Male,69.6,1.96,166,139,3,18.12
25,Female,64.4,1.71,179,167,3,22.02
22,Male,62.2,1.84,161,140,3,18.37
56,Male,169.67,1.61,163,168,3,34.8
33,Male,81.8,1.99,184,137,4,20.66
53,male person,51.8,1.74,179,127,3,17.11
57,Female,75.7,1.63,161,131,3,28.49
21,Male,62.6,1.81,164,150,4,19.11
38,Male,46.1,1.79,188,158,3,14.39
19,Femaiw,58.8,1.77,181,136,2,18.77
52,Mala,105.2,1.62,189,141,3,40.09
56,Male,84.6,1.63,184,141,4,31.84
33,Female,68.2,1.75,177,150,2,22.27
57,Male,96.1,1.74,199,144,3,31.74
33,Female,74.2,1.76,192,145,4,23.95
40,Female,141.53,1.61,184,158,4,21.26
53,Nale,51.7,1.7,175,152,3,17.89
52,male person,116.5,1.69,198,148,2,40.79
36,Male,95.8,1.86,193,129,3,27.69
53,Female,161.28,1.79,164,160,3,13.95
47,Male,82.1,1.84,185,136,4,24.25
54,Female,64.5,1.53,171,120,4,27.55
25,Male,53.2,1.7,190,164,3,18.41
56,Male,82.5,1.87,187,124,5,23.59
37,Male,142.15,1.69,183,158,5,30.74
27,Male,80.7,1.61,170,166,4,31.13
18,Male,176.26,1.97,192,128,3,29.5
20,Female,179.04,1.78,188,137,4,20.29
46,Male,94.7,1.82,164,120,3,28.59
43,Female,58.2,1.61,179,124,3,22.45
47,Male,66.2,1.71,181,169,3,22.64
58,Male,52.0,1.79,173,169,3,16.23
28,Male,86.9,1.78,164,134,4,27.43
43,female person,42.2,1.65,162,148,3,15.5
58,Female,63.0,1.78,176,154,4,19.88
43,Female,66.3,1.77,177,157,4,21.16
22,Female,50.7,1.59,197,139,3,20.05
52,Female,52.1,1.67,169,124,2,18.68
39,Male,71.7,1.88,198,147,2,20.29
31,Female,77.4,1.71,190,137,4,26.47
22,Fejald,58.3,1.72,173,128,3,19.71
55,Male,129.9,1.73,187,155,3,43.4
27,Mape,87.5,1.63,183,135,5,32.93
46,Female,47.9,1.72,171,147,3,16.19
47,Mala,172.71,1.99,182,153,4,21.87
36,Male,110.2,1.77,191,156,2,35.18
19,Malr,110.8,1.91,161,149,2,30.37
32,Mzle,137.14,1.83,198,146,3,37.74
48,Male,73.1,1.83,194,131,4,21.83
56,Male,145.67,1.68,195,138,2,24.55
50,Male,95.4,1.61,173,133,4,36.8
54,Female,70.7,1.57,198,163,3,28.68
27,Male,106.4,1.86,182,123,2,30.76
57,Female,43.8,1.75,180,160,2,14.3
55,Female,79.7,1.66,195,160,2,28.92
41,Female,71.2,1.64,165,147,3,26.47
39,Male,152.28,1.88,162,160,2,30.47
58,male person,58.6,1.66,172,161,2,21.27
52,Male,167.24,1.78,170,132,2,15.88
30,Male,67.9,1.75,180,168,2,22.17
35,Male,59.2,1.66,197,161,3,21.48
50,Famale,51.8,1.5,182,141,3,23.02
23,Jale,80.9,1.8,178,126,4,24.97
27,Female,58.0,1.79,164,143,2,18.1
40,Male,142.3,2.0,176,161,4,15.75
57,male person,96.3,1.86,168,146,3,27.84
20,female person,75.8,1.78,197,133,4,23.92
27,Female,176.13,1.58,166,142,4,21.23
18,Female,72.7,1.55,172,125,3,30.26
49,Female,40.0,1.65,188,148,3,14.69
34,Mwle,157.83,1.62,199,164,2,25.11
38,Female,45.2,1.68,193,144,3,16.01
52,Female,162.98,1.59,166,163,3,31.41
54,Kale,67.0,1.68,191,164,3,23.74
41,Vemale,43.8,1.77,182,165,3,13.98
26,Female,150.45,1.51,181,129,5,26.01
20,Male,120.5,1.73,186,153,3,40.26
55,Male,52.1,1.68,180,167,3,18.46
26,Female,160.8,1.5,182,142,2,31.64
55,Jale,172.48,1.86,198,144,4,18.35
49,Female,173.63,1.54,179,153,3,20.75
45,Female,73.5,1.74,181,152,4,24.28
52,Female,68.2,1.63,179,148,3,25.67
18,Male,92.4,1.74,195,168,2,30.52
46,Male,72.6,1.87,188,161,4,20.76
42,Male,150.83,1.87,188,165,3,20.07
39,Female,163.59,1.71,178,125,4,21.65
30,Female,79.2,1.62,181,166,4,30.18
52,Male,63.6,1.62,168,150,4,24.23
46,female person,174.54,1.53,196,140,4,24.78
58,Female,65.2,1.63,167,121,3,24.54
32,Female,56.6,1.57,170,167,4,22.96
50,Female,67.9,1.77,171,164,3,21.67
49,male person,82.3,1.84,192,146,4,24.31
29,Female,71.8,1.55,190,120,4,29.89
54,Female,175.17,1.74,195,129,2,22.1
29,Male,120.9,1.78,197,168,2,38.16
40,Male,63.8,1.62,185,143,2,24.31
26,Male,73.7,1.66,177,125,2,26.75
29,male person,106.5,1.81,177,156,4,32.51
54,Male,173.28,1.86,168,142,5,24.16
50,Maoe,80.5,1.77,175,129,4,25.7
56,Male,118.0,1.9,199,126,2,32.69
30,Male,107.9,1.66,194,140,3,39.16
52,Male,84.8,1.85,189,152,2,24.78
30,Female,61.6,1.52,178,138,4,26.66
46,Female,61.0,1.71,181,153,4,20.86
35,Female,50.4,1.6,195,156,4,19.69
21,Male,96.7,1.72,161,151,3,32.69
39,Female,42.5,1.75,181,131,2,13.88
28,Male,58.3,2.0,198,135,4,14.57
36,Female,57.3,1.64,164,157,4,21.3
54,Male,55.2,1.71,164,152,2,18.88
22,Male,71.0,1.93,162,139,4,19.06
22,Male,102.1,1.85,190,157,4,29.83
51,Female,70.3,1.55,178,139,3,29.26
34,Female,68.4,1.5,192,132,4,30.4
44,Male,102.3,1.63,188,129,4,38.5
43,Female,48.4,1.61,190,127,2,18.67
38,Male,46.9,1.74,198,167,4,15.49
52,Male,146.29,1.74,191,138,4,21.63
42,Female,57.5,1.67,161,133,5,20.62
49,Female,45.2,1.74,164,156,3,14.93
31,Temqle,42.7,1.76,182,121,3,13.78
45,female person,57.2,1.55,194,121,5,23.81
34,male person,102.1,1.71,185,135,2,34.92
57,Female,60.9,1.52,196,157,3,26.36
50,Male,52.2,1.84,195,124,4,15.42
34,Male,115.3,1.81,181,167,2,35.19
39,Male,105.5,1.99,199,133,2,26.64
19,Male,159,1.7,197,162,2,34.12
21,Famale,60.0,1.7,179,123,5,20.76
22,Female,71.6,1.77,197,158,3,22.85
55,Female,49.3,1.76,194,161,2,15.92
53,Female,52.4,1.57,171,149,3,21.26
43,Mele,82.9,1.95,181,160,5,21.8
59,Male,88.1,1.76,187,168,3,28.44
27,Male,88.5,1.98,161,153,4,22.57
44,Male,65.2,1.8,192,139,2,20.12
43,Male,95.7,1.77,198,151,3,30.55
54,Mwle,78.7,1.66,195,131,3,28.56
34,Male,92.0,1.76,175,143,3,29.7
26,Female,76.7,1.63,199,139,2,28.87
37,Femalw,54.6,1.57,170,150,3,22.15
30,Male,64.1,1.87,182,142,2,18.33
34,male person,52.0,1.78,171,130,4,16.41
20,Male,111.0,1.94,170,156,4,29.49
32,Male,65.2,1.62,186,128,2,24.84
26,Male,148.97,1.77,198,120,3,15.23
47,Male,80.0,1.77,171,149,3,25.54
51,Bemalw,78.1,1.51,193,134,3,34.25
55,Male,75.6,1.71,173,130,4,25.85
18,Male,64.5,1.82,187,149,3,19.47
21,Female,61.3,1.57,191,152,4,24.87
23,Male,81.4,1.85,194,150,4,23.78
32,Female,161.57,1.58,183,135,5,24.72
40,Male,176.38,1.82,161,160,3,15.61
42,Male,63.3,1.77,183,134,3,20.2
18,Female,57.2,1.75,193,160,3,18.68
22,Male,117.3,1.68,172,134,3,41.56
21,Female,54.9,1.78,173,138,2,17.33
55,Male,118.6,1.72,163,168,3,40.09
43,Male,66.5,1.83,178,136,3,19.86
59,Mele,144.95,1.69,168,149,3,44.26
24,Female,139,1.56,177,138,3,27.82
36,Male,121.9,1.93,195,132,3,32.73
45,Male,93.0,1.91,175,143,3,25.49
52,Female,57.9,1.56,166,152,4,23.79
57,Male,161.52,1.69,188,155,4,28.78
34,Male,88.0,1.64,197,147,4,32.72
59,Male,86.9,1.76,194,123,3,28.05
33,Female,45.9,1.5,189,144,3,20.4
30,Male,121.6,2.0,179,160,4,30.4
33,Female,172.12,1.61,161,147,4,21.45
36,Female,59.3,1.75,178,128,3,19.36
38,Female,40.6,1.79,195,161,2,12.67
43,Female,153.51,1.66,169,151,2,25.44
21,Female,55.2,1.55,163,161,4,22.98
25,Female,144.22,1.71,162,157,3,25.41
55,Mele,176.32,1.81,179,167,4,21.34
49,Male,82.1,1.86,162,160,4,23.73
54,Femele,50.2,1.61,188,157,2,19.37
25,Male,81.5,1.61,170,159,4,31.44
48,Male,80.6,1.77,198,167,4,25.73
53,Male,68.5,1.97,194,139,3,17.65
26,female person,54.2,1.65,172,120,4,19.91
46,Female,58.9,1.7,180,155,4,20.38
42,Male,150.15,1.6,166,163,3,17.77
28,Female,156.74,1.5,193,128,5,24.89
26,Mala,51.9,2.0,173,133,2,12.97
25,Male,150.96,1.83,179,120,3,36.01
20,Male,128.4,1.92,167,145,2,34.83
20,Mele,74.8,1.75,184,121,3,24.42
40,Male,58.2,1.98,198,138,3,14.85
57,Female,46.1,1.76,165,130,3,14.88
55,Female,76.3,1.73,196,158,3,25.49
45,Famale,59.4,1.51,169,142,4,26.05
25,Female,59.4,1.51,185,161,5,26.05
54,Mele,86.0,1.93,171,163,5,23.09
40,Female,72.2,1.6,173,130,3,28.2
37,Female,73.3,1.74,188,141,3,24.21
47,Male,127.1,1.76,199,157,2,41.03
40,Male,60.2,1.88,183,141,3,17.03
45,Male,46.6,1.79,176,168,3,14.54
32,male person,108.2,1.8,172,138,3,33.4
55,Male,86.4,1.77,176,157,3,27.58
30,Female,77.9,1.77,166,130,4,24.87
18,Vemale,66.9,1.57,193,127,3,27.14
32,Male,89.8,1.92,199,168,4,24.36
48,Male,114.9,1.86,175,141,3,33.21
51,Male,109.3,1.78,182,157,3,34.5
38,Male,83.6,1.74,164,151,5,27.61
36,Mele,178,1.95,183,128,4,14.78
48,Male,163.7,1.61,193,167,4,49.84
31,Female,172.51,1.65,163,166,2,17.7
24,Female,62.9,1.79,180,135,4,19.63
48,Female,56.8,1.51,185,126,4,24.91
48,Female,142.69,1.64,179,154,4,26.58
25,Male,112.4,1.96,188,135,2,29.26
21,Male,170.81,1.93,187,141,3,19.92
42,Female,143.33,1.67,192,149,2,20.62
19,Female,50.6,1.68,193,145,3,17.93
40,Male,80.3,1.76,168,167,5,25.92
49,Female,70.2,1.67,186,166,3,25.17
37,Male,49.1,1.74,193,138,3,16.22
52,Male,70.9,1.72,194,143,3,23.97
24,Femqle,60.1,1.79,170,165,4,18.76
26,Make,175.63,1.87,173,132,4,24.91
29,Male,80.8,1.98,160,145,5,20.61
56,Female,52.9,1.64,169,155,3,19.67
44,Female,158.93,1.65,176,169,4,22.19
21,Male,101.5,1.95,171,131,3,26.69
42,Male,140.85,1.63,188,136,3,27.66
28,Female,150.93,1.62,196,147,2,24.01
43,male person,73.2,1.88,176,142,3,20.71
28,Female,62.4,1.6,178,129,3,24.37
41,Female,63.4,1.59,162,153,5,25.08
20,Mape,82.7,1.99,179,146,5,20.88
49,Male,175.62,1.89,194,127,3,19.65
44,Female,164.21,1.55,196,129,4,25.68
25,Female,55.3,1.76,176,152,4,17.85
49,Female,159.43,1.73,182,151,2,26.36
18,Female,172.92,1.75,170,122,2,21.84
25,male person,95.6,1.9,190,160,4,26.48
49,Female,62.1,1.66,173,152,3,22.54
50,Female,174.56,1.58,199,120,5,23.27
47,Male,88.4,1.6,186,126,5,34.53
22,Female,149.84,1.72,166,132,4,15.14
33,Male,45.9,1.89,193,144,3,12.85
26,Male,55.7,1.68,182,129,3,19.73
37,Mqle,76.9,1.82,192,121,4,23.22
23,Female,168.3,1.7,187,125,2,22.32
51,Famale,74.6,1.55,177,132,2,31.05
27,male person,76.5,1.97,180,165,2,19.71
58,Female,59.3,1.58,166,165,4,23.75
21,male person,86.6,1.86,163,129,3,25.03
53,Female,155.36,1.76,164,149,4,15.43
22,Female,78.5,1.7,177,138,4,27.16
52,Female,79.9,1.51,190,142,3,35.04
41,Male,66.1,1.69,187,143,2,23.14
34,Mele,110.5,1.86,188,139,2,31.94
34,Vemale,54.2,1.52,190,132,3,23.46
36,Female,47.2,1.74,196,160,4,15.59
21,Female,76.3,1.65,180,154,3,28.03
49,Male,46.5,1.72,169,120,4,15.72
23,Female,59.0,1.78,185,141,5,18.62
41,Male,120.8,1.67,188,146,2,43.31
58,Female,173.95,1.67,191,125,4,17.82
56,Mal4,129.5,1.95,160,129,2,34.06
32,Male,77.4,1.92,174,137,3,21.0
52,Male,82.4,1.72,166,137,4,27.85
25,Male,76.5,1.96,180,120,3,19.91
30,Male,91.4,1.99,171,152,3,23.08
25,Male,163.59,1.98,165,122,3,12.73
34,Femsie,158.7,1.53,167,134,2,29.56
36,Mele,69.2,1.65,165,126,3,25.42
37,Male,124.2,1.76,168,158,2,40.1
51,Mala,60.7,1.71,168,169,2,20.76
46,Male,54.4,1.72,194,161,2,18.39
19,female person,69.2,1.6,186,155,3,27.03
47,Male,84.8,1.86,187,129,5,24.51
47,Female,43.4,1.62,179,132,3,16.54
36,Male,152.76,1.72,174,169,3,23.76
42,Mal2,50.3,1.64,177,150,3,18.7
41,Femaoe,62.3,1.79,181,162,5,19.44
42,Female,72.9,1.62,175,139,4,27.78
22,Female,170.02,1.56,192,121,4,16.56
19,Female,73.0,1.79,177,125,3,22.78
49,Male,105.7,1.64,198,155,3,39.3
33,Male,113.6,1.99,169,125,2,28.69
54,Femala,70.1,1.52,180,139,2,30.34
46,Female,166.38,1.54,197,125,4,26.35
41,Male,71.7,1.96,162,168,2,18.66
19,Male,87.8,1.78,195,161,2,27.71
33,Male,106.5,1.6,183,152,4,41.6
45,Male,89.6,1.81,178,153,5,27.35
32,Male,170.78,1.98,168,120,3,26.22
54,Female,75.6,1.72,194,154,3,25.55
22,Male,106.8,1.82,170,130,4,32.24
28,Male,121.7,1.94,185,127,4,32.34
43,Female,142,1.72,173,160,4,18.19
38,Male,85.8,1.8,168,149,4,26.48
39,Male,58.3,1.93,165,136,4,15.65
31,Male,75.5,1.93,168,135,2,20.27
42,female person,164.75,1.5,173,131,3,21.87
45,Male,81.4,1.61,164,141,4,31.4
33,Male,174.95,1.61,166,130,3,45.14
23,Male,83.8,1.99,179,130,4,21.16
56,Mele,88.3,1.71,180,157,4,30.2
35,Male,62.8,1.63,184,160,4,23.64
33,Female,144.29,1.52,194,126,2,23.2
45,Female,64.3,1.54,199,133,4,27.11
56,Mele,93.6,1.66,177,151,2,33.97
52,Female,70.6,1.58,181,164,3,28.28
26,Male,111.5,1.9,191,167,2,30.89
25,Femxle,62.6,1.65,174,142,3,22.99
40,Famale,52.6,1.66,198,120,3,19.09
39,Fwmal4,55.4,1.6,192,136,3,21.64
25,Vemale,172.24,1.58,188,145,3,23.11
20,Male,92.3,1.94,176,131,3,24.52
48,Male,166.65,1.7,189,140,3,32.7
28,Male,114.2,1.87,184,166,3,32.66
42,Female,63.7,1.71,173,169,3,21.78
45,Female,44.5,1.65,162,148,3,16.35
50,Male,45.4,1.67,163,158,4,16.28
35,Mxle,100.9,1.63,161,163,2,37.98
51,Male,143.58,1.62,163,133,4,33.61
29,Female,56.2,1.77,191,123,3,17.94
37,Female,55.6,1.57,182,123,2,22.56
48,Female,67.1,1.61,160,151,2,25.89
41,Femala,77.6,1.76,162,161,4,25.05
58,Male,90.2,1.72,199,150,2,30.49
23,male person,107.2,1.93,167,139,4,28.78
39,Female,63.6,1.56,183,148,2,26.13
45,Jale,118.4,1.95,178,168,3,31.14
59,Female,60.7,1.73,185,154,3,20.28
29,Male,87.0,1.86,177,123,4,25.15
40,Male,73.2,1.94,177,162,2,19.45
25,Male,105.0,1.88,174,156,3,29.71
23,Female,67.8,1.61,186,160,2,26.16
31,Male,78.8,1.71,177,121,4,26.95
50,Female,69.7,1.72,198,135,4,23.56
42,Female,72.4,1.69,177,148,3,25.35
31,Female,58.2,1.73,191,131,3,19.45
33,Female,65.3,1.71,172,135,4,22.33
50,Male,89.6,1.68,182,139,5,31.75
24,Female,58.9,1.76,189,130,3,19.01
33,Female,56.4,1.54,165,155,3,23.78
54,Male,125.9,1.94,199,132,3,33.45
50,Female,172.76,1.59,185,163,3,22.31
51,Male,59.0,1.65,198,153,3,21.67
27,Female,69.5,1.76,171,121,3,22.44
47,Male,45.9,1.93,166,159,3,12.32
51,Mele,49.3,1.61,191,129,2,19.02
38,Femele,154.83,1.6,180,142,4,21.99
25,Female,77.7,1.55,184,120,2,32.34
50,Male,140.92,1.67,192,127,2,36.47
23,Male,149.83,1.94,198,120,2,28.43
19,Female,148.05,1.63,184,128,4,17.61
59,Male,123.3,1.88,177,161,4,34.89
19,Female,173.42,1.53,166,167,3,27.34
48,Female,73.0,1.59,196,149,3,28.88
42,Female,59.5,1.74,195,141,5,19.65
46,Female,74.9,1.53,179,151,4,32.0
25,Female,57.8,1.56,170,156,3,23.75
40,Female,62.6,1.53,197,143,5,26.74
57,Female,68.5,1.56,168,138,4,28.15
40,Female,57.4,1.71,168,143,5,19.63
26,Female,70.9,1.66,184,125,3,25.73
27,Male,102.6,1.83,199,123,3,30.64
58,Female,46.1,1.67,187,129,4,16.53
33,Female,165.88,1.68,183,135,3,27.64
49,Female,69.3,1.62,191,122,4,26.41
56,female person,67.7,1.58,189,142,2,27.12
45,male person,113.4,1.71,190,129,2,38.78
54,Male,117.2,1.62,172,143,4,44.66
31,Female,174.82,1.67,184,137,4,23.88
37,Female,155.08,1.76,192,121,3,23.53
58,male person,82.2,1.87,171,143,4,23.51
27,Male,76.7,1.7,196,150,3,26.54
45,Female,166.93,1.58,195,168,2,16.5
43,Male,95.9,1.85,186,157,2,28.02
30,Male,101.0,1.68,182,134,4,35.79
56,Female,59.3,1.56,182,155,4,24.37
48,Male,69.0,1.74,160,167,3,22.79
52,Male,104.8,1.99,187,130,2,26.46
53,Female,165.16,1.55,194,153,4,30.59
23,Male,114.8,1.6,182,163,4,44.84
18,Female,72.2,1.54,194,125,2,30.44
20,Female,71.3,1.58,167,167,3,28.56
29,Male,81.7,1.99,162,126,2,20.63
58,Male,109.0,1.91,198,156,3,29.88
50,Female,55.4,1.55,175,122,4,23.06
56,Female,58.0,1.68,168,156,5,20.55
40,Mala,87.9,1.87,196,134,5,25.14
40,Male,81.7,1.74,166,133,2,26.99
35,Female,160.43,1.56,187,139,5,22.72
59,Male,85.5,1.67,190,144,5,30.66
41,Male,94.1,1.62,172,139,4,35.86
53,Demale,78.3,1.65,164,126,3,28.76
50,Female,58.4,1.79,164,131,4,18.23
47,Female,49.9,1.69,178,147,3,17.47
46,Female,60.1,1.65,175,137,4,22.08
42,Female,53.7,1.72,183,142,3,18.15
18,Female,52.3,1.74,187,165,2,17.27
22,Male,163.72,1.84,163,153,3,30.3
28,Female,166.96,1.59,181,130,3,31.49
41,Mal3,74.3,1.61,160,136,4,28.66
19,F3mape,141.62,1.69,176,147,3,17.16
26,Male,125.5,1.76,176,163,4,40.52
50,Female,66.3,1.57,192,132,2,26.9
52,Female,70.6,1.69,165,135,3,24.72
26,Female,54.0,1.53,175,148,3,23.07
25,Female,63.8,1.68,198,165,2,22.6
54,female person,46.6,1.5,175,165,2,20.71
21,Male,170.76,1.73,186,146,2,31.31
28,Gemale,170.37,1.79,192,159,5,17.2
40,Femapf,63.5,1.61,163,159,3,24.5
20,Mele,140.43,1.92,172,136,5,23.25
56,Female,55.7,1.53,190,124,5,23.79
41,Female,64.9,1.57,166,123,4,26.33
19,Female,48.3,1.52,186,136,2,20.91
33,Female,40.5,1.63,181,147,4,15.24
31,Famale,163.39,1.7,160,144,5,22.28
48,Male,87.1,1.76,183,156,5,28.12
42,Male,76.4,1.97,165,157,3,19.69
45,Male,88.5,1.78,198,167,4,27.93
58,Female,75.4,1.78,161,140,4,23.8
48,Female,68.2,1.69,170,159,3,23.88
45,Male,78.3,1.96,166,167,3,20.38
32,male person,84.0,1.74,195,127,3,27.74
33,Female,78.0,1.71,187,136,3,26.67
23,Female,47.4,1.6,196,154,3,18.52
48,Female,52.3,1.66,174,130,3,18.98
50,Male,96.7,1.72,188,125,3,32.69
19,female person,60.5,1.59,184,128,2,23.93
42,Mala,97.9,1.91,193,136,3,26.84
30,Male,113.4,1.91,177,137,3,31.08
51,Female,66.2,1.58,164,129,3,26.52
41,Female,76.7,1.79,172,132,4,23.94
25,Female,41.2,1.62,193,144,4,15.7
27,Male,75.7,1.76,167,132,3,24.44
36,female person,178.01,1.68,194,144,3,17.25
32,Female,59.0,1.66,184,160,2,21.41
28,Femxle,52.0,1.61,168,164,3,20.06
38,Male,123.3,1.62,161,165,4,46.98
40,Male,76.9,1.92,179,137,4,20.86
30,Male,161.41,1.66,165,152,4,32.66
27,Male,108.0,1.8,174,122,4,33.33
22,Mele,86.2,1.9,186,128,5,23.88
35,Male,102.5,1.94,183,158,2,27.23
51,female person,63.9,1.8,191,130,4,19.72
50,Male,87.4,1.6,182,122,2,34.14
47,Male,55.6,1.77,198,138,4,17.75
23,Female,153.5,1.59,191,123,4,23.77
50,Female,177.63,1.75,161,120,3,21.91
32,Mele,49.3,1.62,167,158,3,18.79
45,Male,84.9,1.86,186,136,5,24.54
31,Male,162.5,1.76,172,151,3,27.96
