1945,RR;E107N,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1945,HIGHWAY;E105,2,DECK;STEEL,MEDIUM,CONT-T
1945,HIGHWAY;E103,2,THROUGH;STEEL,LONG,CANTILEV
1945,HIGHWAY;E97,?,THROUGH;STEEL,MEDIUM,ARCH
1945,RR;E96,?,THROUGH;STEEL,MEDIUM,SIMPLE-T
1950,HIGHWAY;E99,2,THROUGH;STEEL,MEDIUM,SIMPLE-T
1951,HIGHWAY;E98,4,THROUGH;STEEL,MEDIUM,CONT-T
1951,HIGHWAY;E81,4,DECK;STEEL,LONG,CONT-T
1951,HIGHWAY;E80,5,THROUGH;STEEL,LONG,CANTILEV
1955,HIGHWAY;E88,4,DECK;STEEL,LONG,CONT-T
1955,HIGHWAY;E82,?,THROUGH;STEEL,?,SIMPLE-T
1959,HIGHWAY;E102,2,THROUGH;STEEL,LONG,CONT-T
1959,HIGHWAY;E83,3,THROUGH;STEEL,LONG,ARCH
1961,HIGHWAY;E86,4,DECK;STEEL,MEDIUM,CONT-T
1962,HIGHWAY;E85,4,DECK;STEEL,LONG,CONT-T
1969,HIGHWAY;E84,6,THROUGH;STEEL,MEDIUM,ARCH
1975,HIGHWAY;E91,6,THROUGH;STEEL,LONG,ARCH
1978,HIGHWAY;E90,7,THROUGH;STEEL,LONG,ARCH
1982,HIGHWAY;E100,?,?;?,?,?
1986,HIGHWAY;E109,?,?;?,?,?
