4kLUm6dYdq,BELASTUNG STUFEI,Productivity_Change,Gender,neighborhood,Number_of_Virtual_Meetings,Work_Location,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Work_Life_Balance_Rating,Zugang zu Ressourcen für psychische Gesundheit
IT,Lo.,No Change,Male,North America,13,Onsite,29,5,53,2,No
Finance,High,Increase,Prefer not to say,Europe,6,Remote,58,3,54,3,Yes
Manufacturing,Medium,No Change,Female,Europe,12,Remote,53,3,54,4,Yes
Retail,Hi.,No Change,Prefer not to say,South America,6,Remote,84,2,57,3,Yes
Retail,Medium,No Change,Male,North America,8,Remote,42,3,32,2,No
Education,Medium,Decrease,Male,South America,15,Remote,35,5,33,1,Yes
Con.,H.,Decrease,Female,Oceania,2,Remote,39,4,30,5,No
Healthcare,Low,Increase,Female,Africa,9,Onsite,29,3,22,4,No
Retail,Medium,No Change,Male,Europe,3,Onsite,37,3,35,4,No
Manufacturing,High,Decrease,Non-binary,Europe,10,Onsite,28,4,26,4,Yes
Consulting,Low,Decrease,Male,South America,9,Remote,31,1,47,5,No
Retail,Medium,Decrease,Female,South America,14,Onsite,26,2,42,3,No
Healthcare,Medium,No Change,Prefer not to say,Asia,15,Onsite,46,1,60,2,Yes
Education,Medium,Decrease,Female,Asia,6,Hybrid,55,1,26,1,Yes
Education,Low,Increase,Non-binary,Africa,12,Hybrid,47,5,30,3,No
IT,Low,Increase,Male,Asia,13,Remote,48,5,42,5,Yes
IT,Low,No Change,Prefer not to say,South America,6,Onsite,49,3,53,5,No
Manufacturing,Low,Decrease,Prefer not to say,Oceania,4,remote control,51,3,26,1,No
IT,Medium,No Change,Prefer not to say,Oceania,13,Remote,90,5,26,2,Yes
Consulting,Medium,No Change,Non-binary,Europe,14,Hybrid,33,2,25,4,Yes
IT,Medium,Increase,Female,North America,15,Remote,30,5,33,2,N5FD_Yes
Finance,Medium,No Change,Non-binary,Asia,4,Hybrid,28,2,25,3,No
Healthcare,Med.,No Change,Female,South America,15,Onsite,31,5,22,3,Yes
Healthcare,Medium,No Change,Prefer not to say,Oceania,0,Hybrid,37,2,60,4,No
Finance,Medium,Increase,Male,Europe,3,Remote,31,4,56,4,Yes
IT,Medium,Increase,Non-binary,Oceania,3,kx_Hybrid,46,2,45,1,No
Education,High,Decrease,Female,Oceania,6,Remote,20,4,60,2,Yes
Manufacturing,High,Decrease,Female,South America,8,Onsite,51,1,32,2,Yes
Finance,Low,No Change,Female,L_North America,13,Remote,28,1,25,2,VE_No
Consulting,Medium,Increase,Prefer not to say,North America,4,Onsite,39,1,43,4,No
Consulting,Medium,No Change,Prefer not to say,Oceania,13,Remote,29,2,50,1,Yes
Retail,High,No Change,Prefer not to say,Africa,14,Onsite,30,1,28,5,Yes
IT,High,Decrease,Non-binary,Africa,7,Hybrid,53,1,23,3,Yes
Consulting,Medium,No Change,Prefer not to say,Africa,10,Onsite,57,3,38,2,No
Ret.,High,No Change,Male,Asia,3,Onsite,49,3,42,5,Yes
Consulting,High,No Change,Non-binary,Europe,8,Onsite,55,2,31,4,No
Healthcare,Medium,No Change,Female,South America,10,Remote,37,1,28,5,Yes
Manufacturing,High,Increase,Male,South America,5,Remote,51,1,29,2,Yes
Consulting,Low,No Change,Male,Asia,7,Hybrid,21,9,27,5,L1_No
education department,High,Decrease,Female,Asia,10,Hybrid,21,4,54,3,No
Finance,High,Increase,Non-binary,South America,9,Onsite,44,2,42,4,Ye.
Education,High,Increase,Prefer not to say,North America,10,Hybrid,99,2,58,3,Yes
Healthcare,High,Increase,Female,Europe,6,Hybrid,79,3,26,4,VMPw_Yes
Retail,Low,Decrease,Male,Oceania,14,Hybrid,42,5,56,4,Yes
Finance,Low,No Change,Male,Asia,8,Hybrid,44,4,50,4,No
Manufactu.,Low,Decrease,Prefer not to say,North America,0,Onsite,27,1,55,1,atomic number 102
Education,Medium,Increase,Prefer not to say,Afr.,5,Hybrid,43,2,22,1,Yes
Consulting,High,Increase,Female,North America,0,Remote,94,2,24,5,Yes
Healthcare,L.,Increase,Prefer not to say,Oceania,4,Hybrid,38,4,53,4,Yes
Retail,Medium,No Change,Female,Africa,4,Onsite,57,2,57,4,No
Manufacturing,High,Decrease,Female,South America,3,On.,60,5,22,1,N.
IT,Medium,Increase,Male,Asia,0,Onsite,29,5,41,5,No
Education,High,Decrease,Non-binary,Europe,12,Remote,54,4,46,4,Yes
Education,High,Decrease,Non-binary,Africa,11,Onsite,31,4,60,5,No
Manufacturing,Low,Decrease,Female,Asia,8,Remote,54,3,44,5,No
Hea.,High,Decrease,Male,Africa,11,Hybrid,33,5,35,1,No
IT,Low,Increase,Male,South America,1,Hybrid,25,3,48,4,No
Healthcare,Low,No Change,Prefer not to say,Asia,15,Onsite,21,5,31,1,No
IT,Medium,Decrease,Male,Africa,10,Hybrid,45,9,53,2,No
Manufacturing,Medium,Increase,Prefer not to say,Asia,5,Onsite,53,1,32,1,No
Consulting,z_High,Increase,Prefer not to say,Africa,12,Hybrid,46,2,33,1,No
IT,High,No Change,Prefer not to say,Africa,9,Hybrid,22,8,45,4,No
Finance,High,Increase,Male,Africa,12,Hybrid,60,5,50,4,Yes
Education,Low,Decrease,Female,k_Africa,2,Hybrid,42,3,41,4,Yes
Healthcare,High,Increase,Non-binary,South America,2,Onsite,60,3,43,3,Yes
IT,Me.,Decrease,Prefer not to say,South America,14,Onsite,35,2,29,1,Yes
Healthcare,High,Decrease,Prefer not to say,Europe,2,Hybrid,44,5,44,2,No
Healthcare,Medium,No Change,Prefer not to say,Oceania,2,Remote,50,2,50,4,No
Finance,Low,No Change,Male,Asia,7,Remote,22,5,36,5,No
Education,H.,Increase,Female,Africa,13,Hybr.,92,5,34,3,Yes
Finance,Low,Decrease,Male,Africa,8,Remote,34,1,49,5,No
Retail,Low,Increase,Female,Europe,7,Remote,30,5,45,1,Yes
Retail,Low,Decrease,Prefer not to say,Europe,0,Onsite,53,5,45,3,Yes
Healthcare,High,No Change,Female,Oceania,5,Remote,29,3,53,2,No
Education,Medium,No Change,Male,South America,1,Onsite,27,3,29,3,Yes
Fina.,Medium,Increase,Prefer not to say,North America,14,Onsite,44,3,34,3,No
Education,High,Increase,Female,Europe,13,Remote,42,3,58,2,No
Manufacturing,Medium,Increase,Female,57_Europe,4,Hybrid,22,3,38,2,Yes
Consulting,Medium,Decrease,Prefer not to say,Africa,13,Hybrid,34,8,40,2,Yes
Manufacturing,High,Decrease,Prefer not to say,South America,13,Onsite,51,5,45,2,No
Retail,High,No Change,Non-binary,Europe,6,Hybrid,48,3,43,5,Yes
Healthcare,High,No Change,Male,Africa,10,Onsite,30,1,50,2,Yes
Consulting,Low,Increase,Prefer not to say,North America,7,HyJ4_Onsite,59,5,58,2,Yes
Manufacturing,H.,No Change,Non-binary,South America,14,7_Remote,26,4,42,2,Yes
Finance,Low,Increase,Prefer not to say,South_America,1,Hybrid,60,4,53,3,No
Retail,r_Medium,Decrease,Female,North America,2,Onsite,38,1,36,2,Yes
Finance,High,Decrease,Female,Europe,0,Remote,34,2,51,5,Yes
Consulting,Medium,No Change,Female,Eur.,12,xEs_Onsite,46,2,27,4,No
Retail,Lo.,Decrease,Female,Oceania,2,Hybrid,35,3,22,3,Yes
Education,Medium,No Change,Female,Africa,9,Remote,23,5,32,1,No
Manufacturing,Low,Increase,Female,Africa,15,Remote,28,4,32,5,Yes
Retail,Medium,No Change,Male,South America,10,Onsite,57,2,53,3,No
foSR_Manufacturing,Low,Decrease,Non-binary,Europe,4,Hybrid,91,2,26,1,Yes
Finance,Medium,Increase,Male,Oceania,1,Hybrid,39,9,60,4,No
IT,Medium,Increase,Non-binary,Oceania,4,Remote,46,5,51,5,No
Healthcare,High,No Change,Male,XOgr_South America,9,Remote,26,5,44,2,No
IT,Medium,No Change,Non-binary,0ceania,4,Remote,32,5,48,4,Yes
Education,E_High,Increase,Non-binary,North America,11,Remote,30,9,57,3,No
Education,Low,Decrease,Non-binary,Asia,3,Hybrid,93,1,49,5,Yes
education department,High,Decrease,Non-binary,Afr.,13,Onsite,76,10,32,1,Yes
Healthcare,Low,Decrease,Female,fs_Asia,15,Hybr.,49,8,49,5,Yes
Manufacturing,High,No Change,Female,Europe,0,Hybrid,23,1,23,5,No
Finance,Low,No Change,Prefer not to say,North America,6,Onsite,33,2,55,5,No
Education,High,No Change,Non-binary,Asia,15,Remote,35,2,47,5,No
Consulting,Medium,Decrease,Non-binary,Europe,8,Remote,41,4,48,3,Yes
Healthcare,Low,Increase,Prefer not to say,Africa,12,X_Hybrid,34,3,36,2,No
Finance,Low,No Change,Male,North America,10,Remote,44,5,45,1,Yes
IT,High,Decrease,Female,Oceania,8,Onsite,52,4,41,4,ET6X_Yes
Consulting,Low,Decrease,Male,Oceania,11,Onsite,97,3,50,2,Yes
Consulting,P_High,Decrease,Female,Oceania,15,Remote,32,3,41,3,Yes
6PW_Consulting,Low,No Change,Female,Oceania,6,Remote,31,4,57,4,SF_No
Healthcare,Medium,Increase,Male,Africa,15,Hybrid,58,2,30,1,No
Consulting,Medium,No Change,Female,Asia,9,Remote,78,2,23,1,Yes
oY_Consulting,Yqci_Low,No Change,Male,North America,5,Remote,57,9,30,1,Yes
Healthcare,Low,Decrease,Female,North America,8,Onsite,20,1,47,1,atomic number 102
Finance,High,Decrease,Prefer not to say,Sou.A.,0,Hybrid,26,2,33,4,No
Finance,High,No Change,Male,No.A.,15,Hybrid,43,8,32,3,No
Manufacturing,Low,Increase,Male,South America,14,Onsite,50,3,43,3,Yes
Hea.,High,Increase,Non-binary,Oceania,0,Onsite,96,3,43,5,No
IT,Medium,Decrease,Female,Africa,1,Hybrid,91,1,35,4,No
education department,High,No Change,Female,Africa,0,Hybrid,38,1,40,3,Yes
Consulting,High,Increase,Prefer not to say,South America,11,Hybrid,55,2,29,1,No
Manufacturing,Medium,Increase,Non-binary,Africa,14,Hybrid,53,1,24,1,No
Healthcare,Medium,Increase,Male,1y3m_Oceania,13,Onsite,20,1,40,1,No
M.,L.,Increase,Female,Africa,1,Hy.,46,5,22,2,Yes
Education,Low,No Change,Non-binary,ZyT_Africa,8,Onsite,30,2,48,2,vZh_Yes
Retail,High,No Change,Non-binary,Asia,8,Remote,50,3,60,2,No
Healthcare,Medium,No Change,Prefer not to say,Europe,13,I_Remote,50,2,34,2,Yes
Manufacturing,Low,Increase,Prefer not to say,Europe,0,Hybrid,50,3,50,1,Yes
Retail,low-toned,Increase,Male,North America,7,Remote,23,3,38,1,No
Retail,Medium,Decrease,Male,Europe,3,Onsite,79,8,36,4,No
YEa5_Finance,Medium,No Change,Non-binary,South America,4,Hybrid,25,3,35,1,No
Manufacturing,High,Increase,Prefer not to say,North America,9,Remote,36,4,25,2,Yes
Education,Low,Decrease,Non-binary,Europe,3,Onsite,60,5,34,2,Yes
UOOO_Healthcare,Low,No Change,Prefer not to say,AB_Europe,7,Remote,35,4,32,3,Yes
Manufacturing,Medium,No Change,Prefer not to say,North America,12,Hyb.,55,4,58,3,No
Finance,Medium,Decrease,Female,Europe,10,Onsite,47,2,40,1,No
Healthcare,High,Increase,Female,South America,10,Hybrid,57,4,56,4,No
Education,Medium,Decrease,Non-binary,South America,9,Hybrid,22,1,44,2,Yes
IT,Me.,Decrease,Non-binary,Europe,5,Remote,43,2,30,1,Yes
Consulting,Low,Decrease,Non-binary,South America,9,Remote,45,4,49,5,Yes
Healthcare,Low,Increase,Male,Europe,14,Onsite,56,1,26,2,Yes
IT,High,No Change,Male,Africa,14,Onsite,46,2,52,3,No
Manufacturing,Medium,Decrease,Prefer not to say,Europe,0,Hybrid,60,2,24,5,No
Consulting,Medium,No Change,Non-binary,Asia,9,Remote,92,1,40,1,No
a4R_Manufacturing,Medium,Decrease,Non-binary,Oceania,13,Hybrid,59,4,57,5,Yes
Consulting,High,No Change,Prefer not to say,Oceania,13,Onsite,60,5,23,5,No
IT,High,No Change,Prefer not to say,Oceania,4,Hybrid,43,3,40,5,No
education department,Low,No Change,Male,North America,8,Remote,33,2,45,1,Yes
Finance,Low,Decrease,Female,Europe,14,Hybrid,20,2,46,3,No
Retail,Medium,No Change,Female,North America,2,Hybrid,89,3,37,1,Yes
Healthcare,Medium,No Change,Female,South America,1,Onsite,97,2,51,5,No
IT,Medium,Decrease,Male,South America,12,Onsite,23,1,52,2,No
Education,Medium,No Change,Male,Africa,0,Onsite,29,4,53,1,No
Education,Medium,Decrease,Male,North America,0,Remote,47,4,39,2,No
Healthcare,Low,Increase,Female,Oceania,12,Onsite,94,5,56,1,Yes
Manufacturing,Low,Decrease,Non-binary,5outh America,2,Hybrid,40,4,59,1,Ye.
Retail,High,Decrease,Male,Oceania,0,Remote,94,8,28,4,Yes
Finance,High,Decrease,Female,South America,7,Remote,53,2,36,3,No
Education,Medium,Increase,Non-binary,Oceania,14,Hybrid,55,1,45,4,No
Retail,Medium,Decrease,Male,S_Asia,1,Remote,40,3,52,2,No
I.,Low,Decrease,Female,Asia,8,Hybrid,28,1,55,5,No
Consulting,Low,No Change,Male,South America,14,Hybrid,91,1,58,3,No
IT,Medium,No Change,Prefer not to say,Asia,5,Onsite,41,9,51,5,No
Finance,Low,Increase,Male,Oceania,3,Onsite,21,5,52,5,Yes
IT,Low,No Change,Non-binary,Africa,11,Onsite,34,5,54,3,Yes
Retail,Low,Decrease,Male,Europe,14,Remote,36,2,35,3,No
Manufacturing,High,Decrease,Male,North America,2,Remote,32,4,39,4,Yes
Consulting,Medium,No Change,Prefer not to say,Africa,8,Hybrid,21,5,47,2,No
Manufacturing,High,No Change,Male,nQ_Europe,3,94V_Onsite,56,4,49,5,tX_Yes
Manufacturing,Low,No Change,Prefer not to say,North America,8,ASU_Onsite,58,4,60,4,No
Manufacturing,High,No Change,Female,Oceania,8,Onsite,35,4,47,1,No
Healthcare,Low,Decrease,Prefer not to say,Europe,3,Hybrid,82,5,27,1,Yes
Consulting,Low,Increase,Prefer not to say,South America,8,remote control,33,9,46,1,No
Manufacturing,Medium,Decrease,Non-binary,Europe,9,Remote,47,4,25,2,No
Education,Medium,Increase,Male,Oceania,13,Onsite,56,4,30,3,No
Education,Low,Increase,Prefer not to say,Europe,4,Onsite,33,2,38,2,Yes
Education,Low,No Change,Female,Asia,9,R.,60,4,56,3,No
Manufacturing,Low,No Change,Male,South America,5,Hybrid,32,8,42,4,No
Retail,Medium,Decrease,Prefer not to say,Oceania,9,Hybr.,48,5,42,5,No
IT,High,Increase,Female,Asia,6,Hybrid,39,5,30,4,No
Consulting,High,No Change,Male,Asia,6,Onsite,23,2,33,3,Yes
Retail,High,Decrease,Non-binary,Africa,3,Hybrid,97,1,28,3,Yes
Manufacturing,Low,Increase,Non-binary,North America,5,Remote,30,2,50,1,No
Retail,Low,Increase,Male,Africa,3,Onsi.,35,1,44,1,Yes
Healthcare,Medium,Increase,Female,South America,0,Remote,22,4,40,5,Yes
IT,M.,Increase,Male,Asia,15,Onsite,28,3,23,2,Yes
Consulting,Medium,Decrease,Female,Oceania,4,Onsite,57,5,30,3,No
manufacture,Low,Decrease,Female,Europe,14,Hybrid,90,1,42,2,Yes
Retail,Medium,No Change,Male,Africa,14,Onsite,45,4,52,1,atomic number 102
Healthcare,Low,Decrease,Male,Oceania,3,O.,34,2,37,4,No
Manufacturing,Low,Decrease,Prefer not to say,Africa,9,Hybrid,59,2,28,5,No
Consulting,High,Increase,Prefer not to say,Asia,6,Remote,31,2,31,3,Yes
Retail,Low,No Change,Prefer not to say,Africa,12,Onsite,98,5,23,4,No
Finance,Low,No Change,Male,Oceania,11,Remote,23,8,37,2,No
Healthcare,Medium,Decrease,Male,Europe,7,Hybrid,51,1,25,1,No
Manufac.,Medium,No Change,Female,Europe,11,Remote,82,4,55,5,Yes
IT,Low,Increase,Non-binary,No.Ame.,14,Remote,41,1,56,5,Yes
Manufacturing,Low,No Change,Prefer not to say,D8_South America,10,Hybrid,46,1,51,1,No
Education,High,No Change,Male,Oceania,15,Onsite,58,2,35,4,No
Manufacturing,High,Increase,Non-binary,North America,13,Onsite,59,3,22,2,Yes
Education,V_Medium,Decrease,Non-binary,Oceania,1,Remote,40,7,34,1,No
Retail,High,Decrease,Prefer not to say,Europe,3,Remote,56,1,37,2,No
Finance,High,No Change,Prefer not to say,North America,11,0nsite,47,3,59,2,Yes
IT,Low,Increase,Female,South America,2,Hybrid,38,8,53,2,Yes
Healthcare,Low,Increase,Male,South America,12,Remote,59,1,38,5,No
manufacture,Medium,Increase,Male,Oceania,4,Onsite,47,4,32,1,Yes
Manufacturing,Medium,Decrease,Prefer not to say,Africa,6,Remote,49,5,36,3,No
manufacture,Low,No Change,Female,Africa,6,Hybrid,20,2,29,5,Yes
Ma.,H.,Increase,Non-binary,South America,9,Hybrid,50,2,38,1,Yes
Education,High,No Change,Male,Oceania,0,Hybrid,32,1,32,4,Yes
IT,Low,Increase,Prefer not to say,Oceania,8,Hybrid,23,3,43,3,Yes
IT,Medium,Increase,Prefer not to say,Africa,13,remote control,22,3,46,3,atomic number 102
Education,Medium,Decrease,Prefer not to say,Africa,11,Hybrid,33,2,42,5,Yes
Education,Medium,Decrease,Male,Oceania,13,Hybrid,90,5,27,3,Yes
Retail,Medium,Increase,Prefer not to say,Europe,0,Onsite,51,2,54,1,No
Healthcare,Medium,Decrease,Male,Oceania,11,Hybrid,76,10,43,3,atomic number 102
Education,Medium,No Change,Female,Oceania,9,Remote,30,9,31,1,No
Education,Medium,Increase,Non-binary,Asia,9,Remote,25,9,53,2,Yes
manufacture,High,Increase,Non-binary,North America,12,Onsite,40,3,57,4,No
Finance,Low,No Change,Non-binary,Asia,13,0nsite,32,1,50,1,H_No
Education,Medium,No Change,Male,Africa,15,uqUO_Onsite,20,2,37,3,No
Retail,Medium,Decrease,Female,Asia,5,Hybrid,35,5,58,5,No
Manufacturing,Medium,No Change,Non-binary,Europe,2,Remote,49,5,57,1,No
Retail,W_Medium,No Change,Prefer not to say,Europe,5,Onsite,34,4,50,4,Yes
Manufacturing,Medium,Decrease,Male,5outh America,13,Hybrid,58,5,48,3,No
Consulting,Medium,Decrease,Non-binary,South America,4,Onsite,95,3,43,4,No
Retail,Medium,Increase,Female,Europe,7,Onsite,36,3,58,4,No.
Education,High,Increase,Male,Africa,3,Hybrid,48,4,30,4,Yes
Finance,High,Increase,Non-binary,South America,5,0nsite,57,5,44,4,Yes
Finance,Medium,No Change,Prefer not to say,Oceania,8,Hybrid,32,2,41,2,f_Yes
Healthcare,p_Medium,Decrease,Female,Asia,7,Remote,55,4,60,4,Yes
Finance,High,Decrease,Non-binary,Asia,3,Hybrid,28,9,58,3,No
Consulting,L.,Decrease,Prefer not to say,Oceania,10,Onsite,90,3,60,2,No
Finance,Low,No Change,Non-binary,Europe,10,Onsite,36,4,27,4,Y.
Manufacturing,High,Decrease,Female,hv_Asia,7,Remote,54,1,38,4,No
Hea.,Low,Increase,Male,Asia,8,Remote,33,5,56,3,No
Finance,Medium,Decrease,Male,Africa,1,Onsite,39,4,31,4,ZWX_Yes
Healthcare,Medium,No Change,Prefer not to say,North America,11,Hybrid,33,5,37,1,No
Education,Low,No Change,Female,Asia,4,Hybrid,48,1,41,1,Yes
Education,Medium,No Change,Male,Europe,7,Remote,99,3,58,5,No
IT,Medium,Decrease,Male,Asia,1,Remote,24,4,49,1,N.
Healthcare,high-topped,Increase,Non-binary,Asia,7,Remote,28,3,23,5,Yes
Manufacturing,Low,Decrease,Non-binary,z_Oceania,14,Hybrid,20,2,24,2,No
Finance,Medium,Decrease,Prefer not to say,Asia,14,Onsite,28,1,41,4,Ye.
Consulting,Medium,Increase,Female,Africa,12,Remote,48,2,32,4,No
Healthcare,High,Decrease,Prefer not to say,Africa,5,Hyb.,51,1,47,2,Yes
IT,Low,Decrease,Non-binary,Africa,5,Hybrid,87,2,23,4,OY3l_No
R.,Medium,No Change,Prefer not to say,North America,2,Remote,25,2,34,4,No
IT,High,Decrease,Male,Europe,12,Hybrid,53,3,42,1,atomic number 102
IT,High,Decrease,Prefer not to say,Asi.,13,Hybrid,44,1,42,4,Yes
Education,Medium,Increase,Female,Africa,3,Hybrid,31,3,33,3,8_Yes
sG_Healthcare,Low,Decrease,Male,A.,2,Onsite,78,3,40,5,Yes
Healthcare,Low,Decrease,Male,Eu.,5,Hybrid,26,4,27,4,No
Consulting,Low,Decrease,Prefer not to say,North America,4,Hybrid,20,3,39,3,Yes
IT,Low,No Change,Female,Europe,14,Hybrid,28,9,42,3,No
Healthcare,Medium,No Change,Non-binary,Asia,14,Remote,81,9,22,5,No
Finance,Low,Decrease,Female,North America,14,Remote,30,2,45,2,No
Finance,Low,Decrease,Female,Oceania,0,Hybrid,28,2,47,1,No
Retail,Medium,Decrease,Non-binary,Oceania,4,Remote,21,3,24,3,QEJ_Yes
IT,Medium,Decrease,Non-binary,Europe,13,Remote,96,5,48,2,Yes
Retail,High,Increase,Non-binary,Africa,10,Hyb.,25,2,60,3,No
Education,aL_High,No Change,Non-binary,South America,0,Remote,76,2,41,1,Yes
Retail,Medium,Decrease,Prefer not to say,Africa,2,Remote,50,5,49,4,Yes
Fi.,High,No Change,Prefer not to say,Europe,3,Onsite,50,5,27,5,Yes
Manufacturing,Low,Decrease,Prefer not to say,Asia,10,Hybrid,27,5,35,2,Yes
Consulting,Medium,Increase,Male,North America,14,Onsite,80,2,23,4,Yes
Finance,Low,Increase,Prefer not to say,Africa,11,Hybrid,45,4,24,3,Yes
Education,Medium,No Change,Non-binary,Africa,8,Remote,23,2,41,2,Yes
IT,Low,No Change,Prefer not to say,Asia,14,Onsite,42,1,41,3,Yes
Finance,Medium,Decrease,Female,Oceania,8,0nsite,89,4,43,1,No
IT,Low,Increase,Non-binary,South America,7,Onsite,40,1,30,5,Yes
Retail,High,Decrease,Male,Africa,1,Onsite,23,5,44,3,Yes
Education,Medium,Decrease,Male,North America,3,Remote,20,4,50,3,Yes
Manufacturing,Medium,Increase,Non-binary,Asia,8,Remote,51,5,48,5,No
IT,Low,Decrease,Male,Asia,1,Onsite,94,1,45,2,Yes
Education,Medium,Increase,Male,ol_Europe,7,Remote,37,2,60,2,Yes
Em_Education,Low,No Change,Prefer not to say,Afri.,4,Onsite,42,5,51,2,Bj_No
1_Retail,Low,No Change,Prefer not to say,Euro.,15,Hybrid,53,2,48,4,Yes
Consulting,Low,Increase,Female,Africa,0,intercrossed,26,3,43,2,Yes
Education,Medium,Increase,Prefer not to say,South America,9,Onsite,48,5,23,3,No
Education,f_Low,Decrease,Male,Asia,0,Onsite,58,5,32,3,Yes
Consulting,Medium,Increase,Non-binary,Asia,7,Hybrid,52,10,44,1,Yes
Finance,high-topped,Decrease,Female,Oceania,13,Hybrid,52,10,36,4,No
manufacture,Low,Decrease,Male,Oceania,7,Onsite,49,3,50,2,7i_Yes
D_Consulting,High,Increase,Non-binary,North America,4,Hybrid,96,4,54,2,No
Healthcare,High,Increase,Male,Oceania,0,a69_Remote,33,3,54,2,Yes
Healthcare,High,Increase,Prefer not to say,South America,12,3mtS_Onsite,24,4,33,1,Yes
Consulting,Low,Increase,Prefer not to say,North America,15,0nsite,21,5,47,5,Yes
education department,Low,Increase,Prefer not to say,Africa,12,Remote,55,10,25,5,atomic number 102
Education,Medium,Decrease,Male,Europe,10,Remote,44,5,38,5,Yes
Manufacturing,Medium,Decrease,Female,Asia,7,Onsite,98,8,31,4,Yes
IT,High,Increase,Male,Oceania,6,Onsite,25,4,58,2,No
Ed.,High,Increase,Prefer not to say,Africa,0,Hybrid,40,3,28,4,TdP_Yes
IT,Low,Increase,Prefer not to say,Asia,3,Hybrid,59,1,54,2,Yes
IT,High,Decrease,Female,South America,9,Onsite,22,2,60,4,Yes
Consulting,Medium,Increase,Non-binary,North.America,15,GsE_Hybrid,47,2,38,5,No
Finance,low-toned,Decrease,Female,Europe,15,Hybrid,31,1,31,2,No
IT,High,No Change,Non-binary,South America,5,Onsite,41,5,42,5,No
Manufacturing,High,No Change,Female,North America,0,Remote,52,2,52,1,Yes
Finance,Low,Decrease,Female,Kr_Asia,0,Hybrid,48,4,41,2,Yes
Finance,Medium,Increase,Male,North America,14,Onsite,41,3,44,5,Yes
Finance,High,No Change,Female,South America,7,Remote,21,5,42,3,Yes
