vX7Wu,Stress_Level,Hours_Worked_Per_Week,Job_Role,industriousness,Employee_ID,Social_Isolation_Rating,Access_to_Mental_Health_Resources,Age,Physical_Activity,Years_of_Experience
3,Low,49,HR,IT,EMP0058,4,No,53,None,7
3,Low,51,Designer,Manufacturing,EMP0059,2,No,26,Daily,31
5,Medium,57,Data Scientist,IT,EMP0060,1,Yes,26,Daily,17
2,Medium,33,Sales,Consulting,EMP0061,1,Yes,25,Daily,4
5,Medium,30,Sales,IT,EMP0062,5,Yes,33,Daily,14
2,Medium,28,Project Manager,Finance,EMP0063,3,No,25,None,20
10,Medium,31,Software Engineer,Healthcare,EMP0064,2,Yes,22,None,5
3,Medium,37,Data Scientist,Healthcare,EMP0065,2,No,60,None,18
4,Medium,31,HR,Finance,EMP0066,4,Yes,56,Weekly,9
2,Medium,46,Software Engineer,IT,EMP0067,3,No,45,Daily,6
4,High,20,Marketing,Education,EMP0068,3,Yes,60,Weekly,32
1,High,51,Designer,Manufacturing,EMP0069,3,Yes,32,Daily,23
1,Low,28,Marketing,Finance,EMP0070,5,No,25,Daily,6
1,Medium,39,Marketing,Consulting,EMP0071,4,No,43,Weekly,23
2,Medium,29,Designer,Consulting,EMP0072,2,Yes,50,Weekly,25
1,High,30,Designer,Retail,EMP0073,2,Yes,28,Weekly,15
8,High,53,Software Engineer,IT,EMP0074,1,Yes,23,None,29
3,Medium,57,Project Manager,Consulting,EMP0075,3,No,38,Weekly,35
3,High,49,Marketing,Retail,EMP0076,4,Yes,42,None,27
2,High,55,HR,Consulting,EMP0077,1,No,31,Weekly,4
1,Medium,37,Marketing,Healthcare,EMP0078,1,Yes,28,Daily,25
1,High,51,Data Scientist,Manufacturing,EMP0079,2,Yes,29,Daily,15
3,Low,21,Project Manager,Consulting,EMP0080,4,No,27,Weekly,21
4,High,21,Data Scientist,Education,EMP0081,4,No,54,None,5
2,High,44,Software Engineer,Finance,EMP0082,3,Yes,42,Daily,33
2,High,26,HR,Education,EMP0083,5,Yes,58,Weekly,32
3,High,43,Project Manager,Healthcare,EMP0084,5,Yes,26,None,15
8,Low,42,Designer,Retail,EMP0085,2,Yes,56,None,9
4,Low,44,Designer,Finance,EMP0086,2,No,50,Daily,20
1,Low,27,Project Manager,Manufacturing,EMP0087,1,No,55,Weekly,10
4,Medium,43,Data Scientist,Education,EMP0088,2,Yes,22,Weekly,26
8,High,38,Designer,Consulting,EMP0089,5,Yes,24,None,11
4,Low,38,Marketing,Healthcare,EMP0090,5,Yes,53,Daily,23
2,Medium,57,Data Scientist,Retail,EMP0091,4,No,57,Weekly,2
9,High,60,Software Engineer,Manufacturing,EMP0092,3,No,22,Weekly,9
10,Medium,29,Data Scientist,IT,EMP0093,3,No,41,None,31
3,High,54,Data Scientist,Education,EMP0094,2,Yes,46,None,34
4,High,31,Project Manager,Education,EMP0095,2,No,60,Weekly,11
3,Low,54,Project Manager,Manufacturing,EMP0096,1,No,44,None,2
4,High,33,Data Scientist,Healthcare,EMP0097,5,No,35,Weekly,31
3,Low,25,Designer,IT,EMP0098,4,No,48,Weekly,32
5,Low,21,Data Scientist,Healthcare,EMP0099,4,No,31,Daily,19
4,Medium,45,Project Manager,IT,EMP0100,3,No,53,Daily,12
6,Medium,53,Designer,Manufacturing,EMP0101,5,No,32,None,32
6,High,46,Sales,Consulting,EMP0102,2,No,33,Daily,9
9,High,22,Sales,IT,EMP0103,4,No,45,None,3
5,High,60,Software Engineer,Finance,EMP0104,4,Yes,50,None,18
3,Low,42,Designer,Education,EMP0105,4,Yes,41,Weekly,30
9,High,60,Data Scientist,Healthcare,EMP0106,3,Yes,43,Daily,18
9,Medium,35,HR,IT,EMP0107,4,Yes,29,Daily,25
5,High,44,Software Engineer,Healthcare,EMP0108,2,No,44,Weekly,27
9,Medium,50,Software Engineer,Healthcare,EMP0109,1,No,50,Weekly,2
5,Low,22,Data Scientist,Finance,EMP0110,1,No,36,Daily,4
5,High,29,Data Scientist,Education,EMP0111,5,Yes,34,Weekly,29
6,Low,34,HR,Finance,EMP0112,5,No,49,Weekly,30
2,Low,30,Marketing,Retail,EMP0113,1,Yes,45,None,10
5,Low,53,Data Scientist,Retail,EMP0114,1,Yes,45,Daily,21
3,High,29,Designer,Healthcare,EMP0115,5,No,53,None,25
3,Medium,27,Marketing,Education,EMP0116,3,Yes,29,Weekly,35
4,Medium,44,Project Manager,Finance,EMP0117,5,No,34,Daily,5
10,High,42,Data Scientist,Education,EMP0118,5,No,58,Daily,25
3,Medium,22,Data Scientist,Manufacturing,EMP0119,5,Yes,38,Daily,1
3,Medium,34,Project Manager,Consulting,EMP0120,2,Yes,40,Daily,27
5,High,51,Project Manager,Manufacturing,EMP0121,2,No,45,Daily,29
3,High,48,Marketing,Retail,EMP0122,2,Yes,43,None,18
1,High,30,Software Engineer,Healthcare,EMP0123,3,Yes,50,None,35
5,Low,59,Sales,Consulting,EMP0124,1,Yes,58,Weekly,14
4,High,26,HR,Manufacturing,EMP0125,1,Yes,42,Daily,27
8,Low,60,Data Scientist,Finance,EMP0126,5,No,53,None,27
9,Medium,38,Marketing,Retail,EMP0127,2,Yes,36,Daily,8
2,High,34,Project Manager,Finance,EMP0128,2,Yes,51,None,21
2,Medium,46,Designer,Consulting,EMP0129,2,No,27,Daily,15
10,Low,35,Sales,Retail,EMP0130,5,Yes,22,None,21
5,Medium,23,Designer,Education,EMP0131,5,No,32,Weekly,16
8,Low,28,Marketing,Manufacturing,EMP0132,2,Yes,32,Weekly,26
2,Medium,57,Marketing,Retail,EMP0133,4,No,53,Weekly,4
2,Low,29,Marketing,Manufacturing,EMP0134,4,Yes,26,Weekly,29
2,Medium,39,Marketing,Finance,EMP0135,5,No,60,Weekly,2
5,Medium,46,Marketing,IT,EMP0136,4,No,51,None,26
2,High,26,Data Scientist,Healthcare,EMP0137,4,No,44,Daily,14
5,Medium,32,Sales,IT,EMP0138,5,Yes,48,Weekly,10
5,High,30,Data Scientist,Education,EMP0139,3,No,57,None,34
3,Low,48,Project Manager,Education,EMP0140,5,Yes,49,Weekly,11
5,High,44,Project Manager,Education,EMP0141,1,Yes,32,Weekly,12
10,Low,49,Project Manager,Healthcare,EMP0142,5,Yes,49,None,29
1,High,23,Designer,Manufacturing,EMP0143,2,No,23,Weekly,11
6,Low,33,Designer,Finance,EMP0144,4,No,55,Daily,3
2,High,35,HR,Education,EMP0145,4,No,47,Daily,18
4,Medium,41,Marketing,Consulting,EMP0146,4,Yes,48,Weekly,5
3,Low,34,Software Engineer,Healthcare,EMP0147,4,No,36,Daily,3
5,Low,44,Designer,Finance,EMP0148,1,Yes,45,Daily,14
4,High,52,Designer,IT,EMP0149,3,Yes,41,Daily,10
3,Low,57,Designer,Consulting,EMP0150,1,Yes,50,Weekly,17
3,High,32,Software Engineer,Consulting,EMP0151,2,Yes,41,Weekly,34
4,Low,31,Designer,Consulting,EMP0152,3,No,57,Daily,20
2,Medium,58,Software Engineer,Healthcare,EMP0153,2,No,30,Weekly,29
2,Medium,26,Data Scientist,Consulting,EMP0154,2,Yes,23,None,31
4,Low,57,Software Engineer,Consulting,EMP0155,2,Yes,30,Weekly,17
1,Low,20,Project Manager,Healthcare,EMP0156,4,No,47,None,31
8,High,26,Project Manager,Finance,EMP0157,1,No,33,Weekly,23
3,High,43,Data Scientist,Finance,EMP0158,4,No,32,Weekly,21
1,Low,50,Designer,Manufacturing,EMP0159,1,Yes,43,Daily,6
3,High,52,Software Engineer,Healthcare,EMP0160,2,No,43,Weekly,14
1,Medium,37,Marketing,IT,EMP0161,2,No,35,None,34
9,High,38,Data Scientist,Education,EMP0162,4,Yes,40,None,24
1,High,55,Designer,Consulting,EMP0163,1,No,29,Weekly,3
1,Medium,53,Data Scientist,Manufacturing,EMP0164,3,No,24,Weekly,5
10,Medium,20,Software Engineer,Healthcare,EMP0165,5,No,40,None,11
1,Low,46,Software Engineer,Manufacturing,EMP0166,1,Yes,22,Daily,10
8,Low,30,Software Engineer,Education,EMP0167,3,Yes,48,None,35
3,High,50,Software Engineer,Retail,EMP0168,3,No,60,Daily,27
2,Medium,50,HR,Healthcare,EMP0169,3,Yes,34,Daily,15
2,Low,50,Project Manager,Manufacturing,EMP0170,5,Yes,50,Daily,10
4,Low,23,Designer,Retail,EMP0171,4,No,38,None,19
7,Medium,45,Data Scientist,Retail,EMP0172,3,No,36,None,33
8,Medium,25,Software Engineer,Finance,EMP0173,4,No,35,Weekly,11
9,High,36,Designer,Manufacturing,EMP0174,1,Yes,25,Weekly,35
4,Low,60,HR,Education,EMP0175,3,Yes,34,Daily,10
3,Low,35,Project Manager,Healthcare,EMP0176,5,Yes,32,Daily,12
4,Medium,55,Marketing,Manufacturing,EMP0177,5,No,58,None,14
2,Medium,47,Project Manager,Finance,EMP0178,3,No,40,Weekly,31
4,High,57,HR,Healthcare,EMP0179,4,No,56,None,32
1,Medium,22,HR,Education,EMP0180,3,Yes,44,None,17
2,Medium,43,Data Scientist,IT,EMP0181,5,Yes,30,Daily,22
4,Low,45,Marketing,Consulting,EMP0182,4,Yes,49,Weekly,29
4,Low,56,Designer,Healthcare,EMP0183,4,Yes,26,Weekly,21
2,High,46,Data Scientist,IT,EMP0184,3,No,52,Daily,22
2,Medium,60,HR,Manufacturing,EMP0185,1,No,24,Daily,13
4,Medium,32,Designer,Consulting,EMP0186,1,No,40,None,12
4,Medium,59,HR,Manufacturing,EMP0187,5,Yes,57,Weekly,11
5,High,60,Software Engineer,Consulting,EMP0188,5,No,23,Daily,17
3,High,43,Data Scientist,IT,EMP0189,2,No,40,Weekly,35
3,Low,33,Data Scientist,Education,EMP0190,4,Yes,45,None,15
2,Low,20,Data Scientist,Finance,EMP0191,5,No,46,Daily,11
3,Medium,27,Software Engineer,Retail,EMP0192,4,Yes,37,Weekly,16
2,Medium,43,Software Engineer,Healthcare,EMP0193,4,No,51,Weekly,4
1,Medium,23,Sales,IT,EMP0194,5,No,52,Daily,29
4,Medium,29,Data Scientist,Education,EMP0195,4,No,53,None,22
8,Medium,47,Sales,Education,EMP0196,5,No,39,None,7
5,Low,46,Designer,Healthcare,EMP0197,3,Yes,56,None,28
9,Low,40,Marketing,Manufacturing,EMP0198,1,Yes,59,Weekly,13
3,High,47,Project Manager,Retail,EMP0199,1,Yes,28,Daily,7
2,High,53,Data Scientist,Finance,EMP0200,2,No,36,Daily,3
1,Medium,55,Sales,Education,EMP0201,4,No,45,Daily,3
9,Medium,40,Sales,Retail,EMP0202,2,No,52,Weekly,2
1,Low,28,Project Manager,IT,EMP0203,2,No,55,None,32
3,Low,39,Sales,Consulting,EMP0204,3,No,58,Weekly,18
1,Medium,41,Software Engineer,IT,EMP0205,4,No,51,None,14
5,Low,21,Data Scientist,Finance,EMP0206,4,Yes,52,Daily,5
3,Low,34,Project Manager,IT,EMP0207,2,Yes,54,Daily,12
2,Low,36,Designer,Retail,EMP0208,5,No,35,Weekly,2
3,High,32,Marketing,Manufacturing,EMP0209,1,Yes,39,Weekly,19
5,Medium,21,Sales,Consulting,EMP0210,3,No,47,None,7
4,High,56,Project Manager,Manufacturing,EMP0211,1,Yes,49,Daily,31
5,Low,58,Marketing,Manufacturing,EMP0212,2,No,60,None,33
1,High,35,Software Engineer,Manufacturing,EMP0213,2,No,47,None,11
5,Low,52,Project Manager,Healthcare,EMP0214,4,Yes,27,Weekly,22
8,Low,33,Marketing,Consulting,EMP0215,3,No,46,Daily,30
4,Medium,47,Software Engineer,Manufacturing,EMP0216,1,No,25,None,22
2,Medium,56,HR,Education,EMP0217,4,No,30,None,11
2,Low,33,Data Scientist,Education,EMP0218,2,Yes,38,Daily,35
8,Low,60,HR,Education,EMP0219,1,No,56,Weekly,5
2,Low,32,Sales,Manufacturing,EMP0220,2,No,42,Weekly,23
5,Medium,48,Project Manager,Retail,EMP0221,1,No,42,None,18
5,High,39,HR,IT,EMP0222,3,No,30,None,20
2,High,23,Software Engineer,Consulting,EMP0223,5,Yes,33,Weekly,6
1,High,38,Marketing,Retail,EMP0224,4,Yes,28,None,29
10,Low,30,Designer,Manufacturing,EMP0225,2,No,50,Daily,1
1,Low,35,Software Engineer,Retail,EMP0226,3,Yes,44,Weekly,4
4,Medium,22,Data Scientist,Healthcare,EMP0227,4,Yes,40,Weekly,6
3,Medium,28,Project Manager,IT,EMP0228,3,Yes,23,Weekly,8
5,Medium,57,Marketing,Consulting,EMP0229,3,No,30,Weekly,32
1,Low,48,HR,Manufacturing,EMP0230,3,Yes,42,Weekly,10
4,Medium,45,Marketing,Retail,EMP0231,5,No,52,Daily,7
2,Low,34,Marketing,Healthcare,EMP0232,3,No,37,Weekly,29
2,Low,59,Marketing,Manufacturing,EMP0233,1,No,28,Weekly,19
7,High,31,Software Engineer,Consulting,EMP0234,3,Yes,31,Weekly,18
5,Low,55,Marketing,Retail,EMP0235,2,No,23,Daily,9
4,Low,23,Data Scientist,Finance,EMP0236,4,No,37,None,18
1,Medium,51,HR,Healthcare,EMP0237,2,No,25,Weekly,33
4,Medium,32,Software Engineer,Manufacturing,EMP0238,1,Yes,55,Daily,13
2,Low,41,Marketing,IT,EMP0239,4,Yes,56,Weekly,4
1,Low,46,Software Engineer,Manufacturing,EMP0240,1,No,51,Daily,24
3,High,58,HR,Education,EMP0241,3,No,35,Weekly,6
8,High,59,Sales,Manufacturing,EMP0242,3,Yes,22,Weekly,2
4,Medium,40,Project Manager,Education,EMP0243,5,No,34,Weekly,10
8,High,56,Sales,Retail,EMP0244,1,No,37,Weekly,32
3,High,47,Software Engineer,Finance,EMP0245,1,Yes,59,Weekly,17
3,Low,38,Project Manager,IT,EMP0246,2,Yes,53,None,25
1,Low,59,Data Scientist,Healthcare,EMP0247,3,No,38,Weekly,25
4,Medium,47,Project Manager,Manufacturing,EMP0248,2,Yes,32,None,17
5,Medium,49,HR,Manufacturing,EMP0249,5,No,36,None,17
8,Low,20,Project Manager,Manufacturing,EMP0250,4,Yes,29,Weekly,18
4,High,50,Project Manager,Manufacturing,EMP0251,2,Yes,38,Weekly,26
1,High,32,Project Manager,Education,EMP0252,3,Yes,32,Weekly,21
3,Low,23,Sales,IT,EMP0253,3,Yes,43,Daily,21
0,Medium,22,HR,IT,EMP0254,3,No,46,Weekly,25
2,Medium,33,Data Scientist,Education,EMP0255,2,Yes,42,Daily,4
5,Medium,32,Project Manager,Education,EMP0256,5,Yes,27,Weekly,25
2,Medium,51,Marketing,Retail,EMP0257,2,No,54,Daily,10
0,Medium,49,Designer,Healthcare,EMP0258,3,No,43,None,34
3,Medium,30,Data Scientist,Education,EMP0259,1,No,31,Daily,9
8,Medium,25,Software Engineer,Education,EMP0260,2,Yes,53,Weekly,11
8,High,40,Software Engineer,Manufacturing,EMP0261,3,No,57,Weekly,3
2,Low,32,Project Manager,Finance,EMP0262,1,No,50,None,20
2,Medium,20,Sales,Education,EMP0263,1,No,37,None,18
8,Medium,35,Project Manager,Retail,EMP0264,3,No,58,Daily,8
5,Medium,49,Sales,Manufacturing,EMP0265,4,No,57,None,32
4,Medium,34,Sales,Retail,EMP0266,3,Yes,50,Weekly,21
5,Medium,58,Project Manager,Manufacturing,EMP0267,3,No,48,None,33
3,Medium,26,HR,Consulting,EMP0268,5,No,43,None,15
3,Medium,36,Marketing,Retail,EMP0269,3,No,58,None,12
4,High,48,Designer,Education,EMP0270,5,Yes,30,Daily,32
5,High,57,HR,Finance,EMP0271,5,Yes,44,Weekly,3
7,Medium,32,HR,Finance,EMP0272,3,Yes,41,Daily,28
4,Medium,55,Marketing,Healthcare,EMP0273,1,Yes,60,None,17
2,High,28,Designer,Finance,EMP0274,3,No,58,None,35
3,Low,53,Sales,Consulting,EMP0275,2,No,60,Weekly,7
4,Low,36,Designer,Finance,EMP0276,4,Yes,27,Daily,34
1,High,54,Sales,Manufacturing,EMP0277,4,No,38,None,18
5,Low,33,Marketing,Healthcare,EMP0278,4,No,56,None,8
4,Medium,39,Designer,Finance,EMP0279,2,Yes,31,Daily,19
5,Medium,33,Software Engineer,Healthcare,EMP0280,4,No,37,None,25
1,Low,48,Software Engineer,Education,EMP0281,3,Yes,41,Weekly,2
3,Medium,60,Designer,Education,EMP0282,3,No,58,Daily,10
4,Medium,24,Data Scientist,IT,EMP0283,5,No,49,None,35
3,High,28,Data Scientist,Healthcare,EMP0284,1,Yes,23,None,18
2,Low,20,Project Manager,Manufacturing,EMP0285,2,No,24,Daily,12
2,Medium,28,Project Manager,Finance,EMP0286,1,Yes,41,Weekly,35
2,Medium,48,HR,Consulting,EMP0287,5,No,32,None,23
1,High,51,Sales,Healthcare,EMP0288,3,Yes,47,None,10
2,Low,39,Designer,IT,EMP0289,5,No,23,Weekly,22
1,Medium,25,Marketing,Retail,EMP0290,1,No,34,None,14
3,High,53,Sales,IT,EMP0291,4,No,42,Weekly,32
1,High,44,HR,IT,EMP0292,4,Yes,42,None,10
4,Medium,31,Sales,Education,EMP0293,4,Yes,33,Weekly,22
3,Low,58,Designer,Healthcare,EMP0294,3,Yes,40,Weekly,3
4,Low,26,Marketing,Healthcare,EMP0295,5,No,27,Weekly,33
3,Low,20,Data Scientist,Consulting,EMP0296,2,Yes,39,None,33
3,Low,28,Marketing,IT,EMP0297,1,No,42,None,11
9,Medium,35,Sales,Healthcare,EMP0298,5,No,22,None,7
2,Low,30,Marketing,Finance,EMP0299,4,No,45,None,9
2,Low,28,Data Scientist,Finance,EMP0300,3,No,47,None,6
3,Medium,21,Designer,Retail,EMP0301,5,Yes,24,Daily,16
8,Medium,56,HR,IT,EMP0302,4,Yes,48,Daily,2
8,High,25,Software Engineer,Retail,EMP0303,3,No,60,None,13
2,High,21,Software Engineer,Education,EMP0304,2,Yes,41,Weekly,20
5,Medium,50,Project Manager,Retail,EMP0305,5,Yes,49,Daily,17
9,High,50,Data Scientist,Finance,EMP0306,2,Yes,27,Weekly,16
5,Low,27,Marketing,Manufacturing,EMP0307,4,Yes,35,None,14
2,Medium,31,Software Engineer,Consulting,EMP0308,1,Yes,23,Weekly,3
5,Low,45,Designer,Finance,EMP0309,3,Yes,24,Daily,27
2,Medium,23,Sales,Education,EMP0310,2,Yes,41,Daily,25
2,Low,42,Designer,IT,EMP0311,3,Yes,41,Weekly,32
4,Medium,37,Data Scientist,Finance,EMP0312,2,No,43,Weekly,16
1,Low,40,Sales,IT,EMP0313,2,Yes,30,Daily,15
5,High,23,HR,Retail,EMP0314,2,Yes,44,Weekly,26
4,Medium,20,Marketing,Education,EMP0315,1,Yes,50,None,22
1,Medium,51,Designer,Manufacturing,EMP0316,2,No,48,Weekly,16
1,Low,46,Marketing,IT,EMP0317,3,Yes,45,Daily,2
2,Medium,37,HR,Education,EMP0318,1,Yes,60,Weekly,6
9,Low,42,Project Manager,Education,EMP0319,1,No,51,None,6
2,Low,53,HR,Retail,EMP0320,1,Yes,48,Weekly,4
9,Low,26,Marketing,Consulting,EMP0321,4,Yes,43,Daily,25
5,Medium,48,Marketing,Education,EMP0322,3,No,23,None,31
9,Low,58,Marketing,Education,EMP0323,4,Yes,32,None,1
2,Medium,52,HR,Consulting,EMP0324,1,Yes,44,Daily,29
1,High,52,Marketing,Finance,EMP0325,3,No,36,None,4
3,Low,49,Designer,Manufacturing,EMP0326,1,Yes,50,Daily,2
4,High,55,Marketing,Consulting,EMP0327,5,No,54,Weekly,19
3,High,33,Designer,Healthcare,EMP0328,4,Yes,54,Weekly,13
4,High,24,HR,Healthcare,EMP0329,1,Yes,33,Daily,2
5,Low,21,Sales,Consulting,EMP0330,3,Yes,47,None,31
10,Low,55,Software Engineer,Education,EMP0331,3,No,25,None,28
5,Medium,44,Sales,Education,EMP0332,1,Yes,38,Daily,25
4,Medium,24,Software Engineer,Manufacturing,EMP0333,5,Yes,31,None,21
4,High,25,Marketing,IT,EMP0334,5,No,58,Daily,11
3,High,40,Designer,Education,EMP0335,2,Yes,28,Daily,16
1,Low,59,Sales,IT,EMP0336,2,Yes,54,Weekly,32
8,High,22,Software Engineer,IT,EMP0337,1,Yes,60,Daily,31
9,Medium,47,Designer,Consulting,EMP0338,2,No,38,Daily,4
1,Low,31,Sales,Finance,EMP0339,1,No,31,None,32
9,High,41,Designer,IT,EMP0340,1,No,42,Weekly,2
2,High,52,Data Scientist,Manufacturing,EMP0341,2,Yes,52,None,18
4,Low,48,HR,Finance,EMP0342,5,Yes,41,None,6
8,Medium,41,Project Manager,Finance,EMP0343,1,Yes,44,None,20
5,High,21,Data Scientist,Finance,EMP0344,4,Yes,42,None,15
4,Low,49,Software Engineer,Healthcare,EMP0345,2,No,53,Daily,3
5,High,32,Software Engineer,Education,EMP0346,3,No,52,None,29
3,Medium,40,Marketing,Education,EMP0347,1,Yes,23,Daily,12
3,High,22,Sales,Finance,EMP0348,3,Yes,24,Weekly,23
1,Low,44,Project Manager,Consulting,EMP0349,2,Yes,41,Weekly,34
7,Medium,41,HR,Manufacturing,EMP0350,4,Yes,60,Weekly,16
2,High,37,Designer,Manufacturing,EMP0351,3,Yes,25,Weekly,6
3,Medium,54,HR,Healthcare,EMP0352,2,No,55,None,18
8,Low,31,Software Engineer,Retail,EMP0353,2,No,33,None,3
5,Medium,53,Data Scientist,Consulting,EMP0354,5,Yes,43,Weekly,14
3,Medium,23,Project Manager,Education,EMP0355,4,Yes,59,Daily,20
2,Low,58,Sales,Healthcare,EMP0356,2,Yes,48,None,2
2,Low,26,HR,Finance,EMP0357,2,No,31,Daily,9
10,Medium,46,Designer,Manufacturing,EMP0358,4,Yes,28,Daily,23
9,Medium,20,Sales,Manufacturing,EMP0359,4,No,49,Weekly,6
6,Medium,56,HR,Finance,EMP0360,4,Yes,56,Daily,13
5,Medium,28,Sales,Retail,EMP0361,1,No,56,Daily,30
5,Medium,39,Sales,Consulting,EMP0362,5,Yes,51,None,10
8,Medium,22,Designer,Manufacturing,EMP0363,1,Yes,38,None,11
2,High,32,Project Manager,IT,EMP0364,2,Yes,40,Weekly,9
2,Low,28,Project Manager,Consulting,EMP0365,2,No,56,Daily,23
10,Medium,22,Sales,IT,EMP0366,2,No,33,Weekly,12
9,Medium,53,Marketing,Manufacturing,EMP0367,3,No,45,None,28
1,Medium,33,Sales,IT,EMP0368,2,No,55,Daily,32
2,High,34,Data Scientist,Manufacturing,EMP0369,4,Yes,39,Daily,33
5,Low,50,Software Engineer,Education,EMP0370,1,No,58,Daily,2
5,Medium,28,Data Scientist,Healthcare,EMP0371,1,Yes,41,None,33
4,Medium,51,Marketing,Healthcare,EMP0372,2,No,57,Weekly,16
4,High,35,Software Engineer,Education,EMP0373,5,No,31,None,12
2,Medium,39,Sales,Healthcare,EMP0374,2,Yes,34,Weekly,25
8,High,58,Software Engineer,Healthcare,EMP0375,1,Yes,39,Daily,8
2,Low,34,Designer,IT,EMP0376,2,No,29,Daily,26
4,Medium,48,Designer,IT,EMP0377,2,No,31,None,7
1,High,52,Designer,Healthcare,EMP0378,3,No,30,Daily,2
1,High,59,Designer,Healthcare,EMP0379,3,Yes,53,Daily,35
3,High,32,Marketing,Consulting,EMP0380,5,No,27,None,15
2,Medium,41,Designer,Education,EMP0381,4,Yes,39,Daily,28
5,Medium,34,Project Manager,Education,EMP0382,5,No,59,Weekly,18
9,Low,41,HR,Consulting,EMP0383,2,No,58,Daily,10
4,Medium,55,Sales,Education,EMP0384,1,Yes,28,None,5
7,High,50,Designer,IT,EMP0385,1,Yes,56,None,27
4,High,25,Project Manager,Healthcare,EMP0386,5,No,31,Weekly,4
5,Medium,21,Sales,Consulting,EMP0387,1,Yes,28,None,32
