Work_Life_Balance_Rating,Industry,Gender,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Satisfaction_with_Remote_Work,Social_Isolation_Rating,Age
4,Retail,Male,42,5,Unsatisfied,2,56
4,Finance,Male,44,4,Unsatisfied,2,50
1,Manufacturing,Prefer not to say,27,1,Satisfied,1,84
1,Education,Prefer not to say,43,2,Unsatisfied,2,22
5,Consulting,Female,38,2,Neutral,5,24
4,jS_Healthcare,Prefer not to say,38,10,Unsatisfied,5,53
4,Retail,Female,57,2,Unsatisfied,4,57
1,Manufacturing,Female,60,5,Satisfied,3,94
5,IT,Male,29,5,Satisfied,3,41
4,Education,Non-binary,54,4,Satisfied,2,46
5,Education,Non-binary,31,4,Neutral,2,60
5,Manufacturing,Female,54,3,Satisfied,1,44
1,Healthcare,Male,33,5,Neutral,5,35
4,IT,Male,25,3,Neutral,4,48
1,Healthcare,Prefer not to say,21,5,Satisfied,7,31
2,IT,Male,45,4,Satisfied,3,88
1,Manufacturing,Prefer not to say,53,1,Satisfied,5,32
1,Consulting,Prefer not to say,46,2,Neutral,2,33
4,IT,Prefer not to say,22,4,Satisfied,4,45
4,Finan.,Male,79,5,Satisfied,4,50
4,Education,Female,42,3,Satisfied,4,41
3,Healthcare,Non-binary,60,3,Neutral,3,43
1,IT,Prefer not to say,35,2,Neutral,4,29
2,Bam_Healthcare,Prefer not to say,44,5,Satisfied,2,44
4,Healthcare,Prefer not to say,50,2,Satisfied,8,50
5,Finance,Male,22,5,Neutral,1,36
3,Education,Female,29,8,Unsatisfied,5,34
5,Finance,Male,34,1,Unsatisfied,5,49
1,Retail,Female,30,5,Satisfied,1,45
3,Retail,Prefer not to say,53,5,Neutral,1,45
2,qr_Healthcare,Female,29,3,Neutral,5,53
3,Education,Male,27,9,Unsatisfied,8,29
3,F.,Prefer not to say,44,9,Satisfied,5,34
2,Education,Female,42,3,Satisfied,5,58
2,manufacture,Female,22,3,Satisfied,5,38
2,Consulting,Prefer not to say,34,5,Unsatisfied,2,40
2,Manufacturing,Prefer not to say,51,5,Neutral,2,45
5,Retail,Non-binary,48,3,Unsatisfied,2,43
2,Healthcare,Male,30,8,Unsatisfied,3,50
2,Consulting,Prefer not to say,59,5,Satisfied,9,58
2,Manufacturing,Non-binary,26,4,Unsatisfied,1,77
3,Finance,Prefer not to say,60,4,Unsatisfied,5,84
2,Re.,Female,38,1,Unsatisfied,8,36
5,Finance,Female,34,2,Unsatisfied,2,51
4,Consulting,Female,46,2,Unsatisfied,2,97
3,Retail,Female,35,3,Unsatisfied,5,22
1,X_Education,Female,23,5,Neutral,5,32
5,Manufacturing,Female,28,4,Unsatisfied,2,32
3,Retail,Male,57,2,Neutral,4,53
1,Manufacturing,Non-binary,29,9,Satisfied,4,26
4,Finance,Male,39,2,Unsatisfied,5,60
5,IT,Non-binary,46,5,Unsatisfied,10,51
2,Healthcare,Male,26,5,Neutral,4,44
4,IT,Non-binary,79,5,Satisfied,5,48
3,Education,Non-binary,30,5,Unsatisfied,3,57
5,Education,Non-binary,48,1,Satisfied,10,49
1,Education,Non-binary,44,5,Satisfied,10,32
5,Healthcare,Female,49,4,Neutral,5,49
5,Manufacturing,Female,23,1,Unsatisfied,2,23
5,Finance,Prefer not to say,33,2,Satisfied,4,55
5,Education,Non-binary,35,2,Unsatisfied,4,47
3,Consulting,Non-binary,41,4,Satisfied,4,48
2,Healthc.,Prefer not to say,34,3,Neutral,4,93
1,Finance,Male,44,5,Unsatisfied,1,45
4,IT,Female,52,4,Satisfied,3,41
2,Consulting,Male,57,3,Unsatisfied,1,50
3,Consulting,Female,32,3,Unsatisfied,8,41
4,Consulting,Female,31,4,Satisfied,3,57
1,Healthcare,Male,58,2,Unsatisfied,2,30
1,Consulting,Female,26,2,Unsatisfied,2,23
1,Consulting,Male,57,8,Unsatisfied,2,30
1,Healthcare,Female,20,1,Neutral,9,47
4,Finance,Prefer not to say,26,2,Satisfied,1,75
3,Finance,Male,43,10,Neutral,4,32
3,Manufacturing,Male,77,3,Unsatisfied,1,43
5,Healthcare,Non-binary,52,3,Satisfied,2,43
4,IT,Female,37,1,Satisfied,2,35
3,Education,Female,38,1,Neutral,4,40
1,Consulting,Prefer not to say,55,2,Unsatisfied,1,29
1,Manufactu.,Non-binary,53,1,Neutral,7,24
1,Healthcare,Male,20,1,Neutral,5,40
2,Manufacturing,Female,46,5,Neutral,10,22
2,Education,Non-binary,30,2,Satisfied,3,48
2,Retail,Non-binary,50,3,Satisfied,3,60
2,Healthcare,Prefer not to say,50,2,Satisfied,3,34
1,Manufacturing,Prefer not to say,50,3,Satisfied,5,50
1,Retail,Male,23,3,Neutral,4,82
4,Retail,Male,45,4,Unsatisfied,3,36
1,Finance,Non-binary,25,3,Satisfied,4,35
2,Manufacturing,Prefer not to say,36,4,Neutral,1,25
2,Edu.,Non-binary,60,5,Unsatisfied,3,34
3,Healthcare,Prefer not to say,35,4,Satisfied,5,32
3,Manufacturing,Prefer not to say,55,4,Satisfied,5,58
1,Finance,Female,47,2,Neutral,3,80
4,Healthcare,Female,57,4,Satisfied,9,56
2,Education,Non-binary,22,1,Unsatisfied,3,94
1,IT,Non-binary,43,2,Neutral,5,83
5,Consulting,Non-binary,45,8,Unsatisfied,4,49
2,Hea.,Male,56,1,Satisfied,4,26
3,IT,Male,46,2,Neutral,3,52
5,Manufacturing,Prefer not to say,60,2,Neutral,1,24
1,Consulting,Non-binary,32,1,Unsatisfied,1,40
5,i_Manufacturing,Non-binary,59,4,Unsatisfied,5,57
5,Consulting,Prefer not to say,77,8,Neutral,5,23
5,IT,Prefer not to say,86,3,Unsatisfied,2,40
1,Education,Male,33,2,Satisfied,4,45
3,Finance,Female,20,2,Satisfied,5,46
1,Retail,Female,27,3,Unsatisfied,4,37
5,EVt_Healthcare,Female,43,8,Unsatisfied,4,51
2,IT,Male,23,1,Neutral,9,83
1,Education,Male,29,4,Neutral,4,53
2,Education,Male,47,4,Neutral,5,39
1,Healthcare,Female,46,5,Neutral,3,56
1,Manufacturing,Non-binary,40,4,Neutral,1,59
4,Retail,Male,47,9,Unsatisfied,1,28
3,Finance,Female,53,2,Unsatisfied,2,95
4,Education,Non-binary,55,9,Neutral,10,45
2,Retail,Male,40,3,Neutral,2,52
5,IT,Female,28,1,Satisfied,9,55
3,Consulting,Male,39,1,Neutral,3,58
5,IT,Prefer not to say,41,2,Unsatisfied,4,92
5,Finance,Male,21,5,Satisfied,4,52
3,IT,Non-binary,34,5,Unsatisfied,2,54
3,Retail,Male,98,2,Unsatisfied,5,90
4,Manufacturing,Male,32,4,Satisfied,7,39
2,Consulting,Prefer not to say,21,5,Unsatisfied,3,47
5,Manufacturing,Male,56,4,Satisfied,1,49
4,Manufacturing,Prefer not to say,58,4,Satisfied,2,60
1,Manufacturing,Female,35,4,Satisfied,7,75
1,Healthcare,Prefer not to say,52,5,Satisfied,4,27
1,Consulting,Prefer not to say,33,4,Neutral,3,46
2,Manufacturing,Non-binary,47,4,Neutral,1,25
3,Education,Male,56,4,Satisfied,4,30
2,Education,Prefer not to say,33,2,Neutral,2,38
3,Education,Female,60,4,Satisfied,1,56
4,Manufacturing,Male,32,1,Unsatisfied,2,42
5,Retail,Prefer not to say,48,5,Satisfied,1,42
4,IT,Female,39,5,Neutral,3,30
3,Consulting,Male,23,2,Unsatisfied,5,33
3,Retail,Non-binary,38,1,Satisfied,4,28
1,Manufacturing,Non-binary,30,2,Unsatisfied,2,96
1,Retail,Male,35,1,Neutral,3,44
5,Healthcare,Female,22,4,Satisfied,4,40
2,IT,Male,28,3,Satisfied,3,23
3,Consulting,Female,57,5,Neutral,3,30
2,Manufacturing,Female,48,1,Satisfied,3,42
1,Retail,Male,45,8,Unsatisfied,5,80
4,Healthcare,Male,34,2,Satisfied,3,37
5,Manufacturing,Prefer not to say,59,2,Unsatisfied,1,28
3,Consulting,Prefer not to say,31,2,Neutral,3,31
4,Retail,Prefer not to say,55,5,Neutral,2,23
2,Finance,Male,23,4,Unsatisfied,4,37
1,Healthcare,Male,51,1,Neutral,2,85
5,Manufacturing,Female,87,4,Satisfied,1,55
5,6ho_IT,Non-binary,41,1,Neutral,4,56
1,Manufacturing,Prefer not to say,46,7,Neutral,1,51
4,Education,Male,89,2,Neutral,3,35
2,Manufacturing,Non-binary,59,3,Satisfied,3,22
1,Education,Non-binary,40,4,Neutral,5,83
2,Retail,Prefer not to say,56,1,Neutral,1,94
2,Finance,Prefer not to say,47,3,Neutral,1,59
2,IT,Female,38,3,Satisfied,2,81
5,Healthcare,Male,59,1,Neutral,3,38
1,Manufacturing,Male,47,4,Unsatisfied,2,90
3,Manufacturing,Prefer not to say,49,5,Neutral,9,36
5,Manufacturing,Female,20,2,Satisfied,4,29
1,Manufacturing,Non-binary,50,9,Satisfied,2,38
4,Education,Male,32,1,Unsatisfied,7,32
3,IT,Prefer not to say,23,3,Neutral,3,88
3,IT,Prefer not to say,22,3,Unsatisfied,3,79
5,Education,Prefer not to say,33,2,Neutral,2,42
3,Education,Male,32,5,Unsatisfied,5,27
1,Retail,Prefer not to say,51,2,Unsatisfied,2,54
3,He.,Male,49,3,Satisfied,3,43
1,Education,Female,30,3,Satisfied,1,31
2,Education,Non-binary,78,5,Neutral,2,53
4,Manufacturing,Non-binary,40,3,Neutral,3,57
1,Finance,Non-binary,32,1,Neutral,1,50
3,Education,Male,20,2,Neutral,1,37
5,Retail,Female,35,5,Neutral,3,58
1,Manufacturing,Non-binary,49,7,Satisfied,4,57
4,Retail,Prefer not to say,34,4,Satisfied,3,50
3,Manufacturing,Male,90,5,Satisfied,3,48
4,Consulting,Non-binary,26,3,Unsatisfied,5,43
4,Retail,Female,36,3,Unsatisfied,3,58
4,Educ.,Male,48,4,Neutral,5,30
4,Finance,Non-binary,57,5,Satisfied,5,44
2,F.,Prefer not to say,32,2,Satisfied,8,41
4,Healthcare,Female,55,9,Unsatisfied,1,60
3,Finance,Non-binary,28,2,Neutral,3,58
2,Consulting,Prefer not to say,53,3,Satisfied,2,60
4,Finance,Non-binary,36,4,Satisfied,4,27
4,Manufacturing,Female,54,1,Satisfied,10,38
3,Healthcare,Male,33,10,Neutral,4,56
4,Finance,Male,39,4,Unsatisfied,2,31
1,Healthcare,Prefer not to say,83,10,Satisfied,4,37
1,Education,Female,48,1,Unsatisfied,9,41
5,Education,Male,60,3,Satisfied,3,58
1,IT,Male,24,8,Neutral,5,49
5,Healthcare,Non-binary,80,3,Unsatisfied,9,23
2,Manufacturing,Non-binary,20,2,Neutral,2,24
4,Finance,Prefer not to say,28,1,Unsatisfied,1,41
4,Consulting,Female,48,2,Unsatisfied,5,32
2,Healthcare,Prefer not to say,51,1,Neutral,8,47
4,IT,Non-binary,39,2,Neutral,5,23
4,Retail,Prefer not to say,25,2,Neutral,1,34
1,IT,Male,53,3,Satisfied,4,42
4,IT,Prefer not to say,44,10,Neutral,4,42
3,Education,Female,88,3,Neutral,9,33
5,Healthcare,Male,58,3,Satisfied,3,40
4,Healthcare,Male,26,4,Unsatisfied,8,27
3,Consulting,Prefer not to say,20,3,Satisfied,2,39
3,IT,Female,28,2,Satisfied,1,42
5,Healthcare,Non-binary,35,5,Neutral,5,22
2,Fina.,Female,30,2,Neutral,4,45
1,Finance,Female,28,2,Satisfied,3,47
3,Retail,Non-binary,21,3,Neutral,5,24
2,IT,Non-binary,56,5,Unsatisfied,4,97
3,Retail,Non-binary,25,2,Satisfied,3,60
1,Education,Non-binary,21,2,Neutral,2,80
4,Retail,Prefer not to say,89,5,Satisfied,5,49
5,Finance,Prefer not to say,50,5,Unsatisfied,2,27
2,Manufacturing,Prefer not to say,27,5,Unsatisfied,4,35
4,Consulting,Male,78,10,Satisfied,1,23
3,Finance,Prefer not to say,45,4,Satisfied,3,24
2,Education,Non-binary,23,2,Satisfied,2,41
3,IT,Prefer not to say,77,1,Neutral,3,41
1,Finance,Female,37,4,Neutral,2,43
5,IT,Non-binary,40,1,Neutral,2,30
3,Retail,Male,23,5,Satisfied,2,44
3,GYxs_Education,Male,20,4,Satisfied,1,50
5,Manufacturing,Non-binary,51,5,Neutral,2,48
2,IT,Male,89,1,Neutral,3,45
2,Education,Male,37,2,Unsatisfied,1,60
2,Education,Prefer not to say,42,5,Satisfied,1,51
4,Retail,Prefer not to say,53,2,Neutral,1,48
2,Consulting,Female,26,3,Neutral,4,43
3,Education,Prefer not to say,48,5,Unsatisfied,3,23
3,b0_Education,Male,58,5,Neutral,4,32
1,C.,Non-binary,52,10,Unsatisfied,1,44
4,Finance,Female,52,1,Unsatisfied,3,36
2,Manufacturing,Male,49,3,Satisfied,1,50
2,Consulting,Non-binary,55,4,Satisfied,5,54
2,Healthcare,Male,33,3,Satisfied,4,96
1,Healthcare,Prefer not to say,24,4,Neutral,1,33
5,Consulting,Prefer not to say,21,5,Unsatisfied,3,47
5,Education,Prefer not to say,55,3,Satisfied,3,25
5,Education,Male,44,5,Satisfied,1,38
4,Manufacturing,Female,99,4,Neutral,5,31
2,IT,Male,25,4,Unsatisfied,5,58
4,education department,Prefer not to say,40,3,Satisfied,2,28
2,IT,Prefer not to say,59,1,Satisfied,2,54
4,1T,Female,22,2,Unsatisfied,1,60
5,Consulting,Non-binary,47,2,Neutral,8,82
2,Finance,Female,88,1,Unsatisfied,1,31
5,IT,Non-binary,41,5,Neutral,1,42
1,Manufacturing,Female,52,2,Unsatisfied,2,52
2,Finance,Female,48,4,Satisfied,5,41
5,Finance,Male,41,3,Unsatisfied,1,44
3,Finance,Female,21,5,Satisfied,4,42
2,Healthcare,Male,49,4,Satisfied,2,53
4,Education,Female,32,5,Unsatisfied,3,52
1,Education,Non-binary,40,3,Unsatisfied,1,88
4,X0_Finance,Female,22,3,Unsatisfied,3,24
3,Consulting,Prefer not to say,44,5,Neutral,8,41
1,Manufacturing,Prefer not to say,98,4,Unsatisfied,4,60
1,Manufacturing,Prefer not to say,37,2,Unsatisfied,3,76
3,OBWe_Healthcare,Prefer not to say,54,9,Neutral,2,55
1,Retail,Non-binary,31,2,Satisfied,2,33
2,Consulting,Prefer not to say,53,5,Unsatisfied,5,43
5,Education,Male,23,9,Satisfied,4,59
1,Healthcare,Male,77,2,Satisfied,2,48
1,EBZ_Finance,Non-binary,26,2,Neutral,2,31
3,Manufacturing,Male,46,3,Unsatisfied,4,28
3,Manufacturing,Male,20,4,Neutral,4,49
2,Finance,Prefer not to say,56,2,Satisfied,4,56
1,Retail,Non-binary,93,5,Satisfied,1,56
1,Consulting,Female,39,5,Satisfied,5,91
4,Manufacturing,Non-binary,22,4,Satisfied,8,38
3,IT,Male,32,2,Unsatisfied,2,90
1,Consulting,Non-binary,28,2,Neutral,2,80
4,IT,Non-binary,22,2,Neutral,2,33
5,Manufacturing,Male,76,2,Neutral,9,45
2,IT,Non-binary,33,1,Neutral,2,78
1,Manufacturing,Female,34,2,Satisfied,4,39
4,Education,Non-binary,50,5,Neutral,1,58
1,Healthcare,Non-binary,95,5,Satisfied,1,41
4,Healthcare,Prefer not to say,51,4,Unsatisfied,2,57
5,Education,Female,35,4,Neutral,5,31
3,Healthcare,Prefer not to say,39,2,Unsatisfied,2,34
1,Healthcare,Prefer not to say,58,9,Unsatisfied,1,39
3,IT,Non-binary,34,2,Neutral,2,29
1,IT,Prefer not to say,48,4,Neutral,2,31
5,Healthcare,Female,52,5,Unsatisfied,3,30
5,Healthcare,Prefer not to say,59,1,Neutral,3,53
2,Consulting,Male,32,1,Neutral,5,27
3,Education,Male,41,2,Unsatisfied,4,39
2,Education,Male,34,9,Neutral,5,86
3,Consulting,Non-binary,41,2,Neutral,2,58
3,E.,Prefer not to say,96,4,Satisfied,1,28
2,IT,Male,50,4,Neutral,8,94
1,Healthcare,Non-binary,25,2,Unsatisfied,5,31
3,Consulting,Female,21,7,Neutral,1,95
5,Finance,Female,44,3,Neutral,4,46
5,Consulting,Female,98,3,Neutral,2,87
5,Retail,Male,54,1,Satisfied,3,37
3,Consulting,Prefer not to say,55,3,Satisfied,1,81
5,Retail,Female,26,1,Unsatisfied,5,55
5,Retail,Female,41,4,Neutral,4,45
4,Healthcare,Female,50,5,Satisfied,4,50
2,Finance,Prefer not to say,55,5,Neutral,3,90
3,Healthcare,Non-binary,22,5,Satisfied,4,39
5,Consulting,Female,33,1,Unsatisfied,4,30
1,Retail,Male,21,1,Neutral,3,36
2,Manufacturing,Prefer not to say,28,5,Neutral,2,58
5,Healthcare,Prefer not to say,22,9,Satisfied,1,53
4,IT,Non-binary,88,2,Neutral,4,56
4,Consulting,Male,39,1,Satisfied,1,87
2,Finance,Male,35,2,Neutral,2,58
3,f_Healthcare,Female,56,1,Unsatisfied,10,57
4,Consulting,Non-binary,29,1,Unsatisfied,7,90
4,Manufacturing,Female,24,1,Neutral,2,42
3,Healthcare,Prefer not to say,93,3,Satisfied,9,24
4,Retail,Female,31,1,Satisfied,2,53
1,Finance,Female,50,5,Satisfied,5,24
2,Consulting,Non-binary,27,3,Unsatisfied,3,30
2,Healthcare,Prefer not to say,43,4,Unsatisfied,4,75
5,r_Retail,Non-binary,30,2,Unsatisfied,5,28
1,Education,Non-binary,26,3,Neutral,2,79
1,Manufacturing,Prefer not to say,47,1,Satisfied,3,47
3,Manufacturing,Male,56,5,Satisfied,4,30
4,Healthcare,Female,30,5,Satisfied,4,52
4,Healthcare,Prefer not to say,26,9,Unsatisfied,8,25
2,Consulting,Non-binary,47,5,Unsatisfied,2,50
4,Education,Female,38,4,Neutral,8,60
2,IT,Female,89,1,Neutral,2,48
1,IT,Male,49,8,Satisfied,4,28
1,kUjk_Finance,Prefer not to say,37,3,Satisfied,3,23
2,Education,Male,24,8,Unsatisfied,2,26
5,Consulting,Female,53,1,Neutral,1,27
2,Finance,Non-binary,33,5,Neutral,9,52
1,Consulting,Prefer not to say,41,1,Neutral,1,87
2,Finance,Prefer not to say,31,3,Neutral,2,86
4,IT,Prefer not to say,29,5,Satisfied,1,41
1,IT,Female,33,1,Neutral,3,33
5,Consulting,Non-binary,58,5,Satisfied,5,37
3,Consulting,Male,42,2,Unsatisfied,8,33
3,Finance,Non-binary,23,1,Unsatisfied,1,83
5,Consulting,Non-binary,28,2,Neutral,1,57
2,Finance,Female,41,1,Neutral,3,45
5,Consu.,Female,33,2,Satisfied,3,79
2,Healthcare,Non-binary,46,10,Satisfied,3,53
4,Healthcare,Prefer not to say,25,1,Unsatisfied,2,97
2,Education,Prefer not to say,55,1,Neutral,5,48
4,Manufacturing,Prefer not to say,53,3,Satisfied,2,42
1,Retail,Non-binary,47,1,Neutral,3,22
2,Retail,Female,35,4,Satisfied,2,23
4,Finan.,Prefer not to say,39,5,Neutral,1,85
1,Consulting,Non-binary,34,5,Unsatisfied,4,50
5,Retail,Female,27,1,Unsatisfied,5,27
3,Retail,Prefer not to say,22,4,Neutral,1,25
2,Healthcare,Male,80,1,Unsatisfied,3,52
5,Healthcare,Non-binary,52,3,Unsatisfied,1,37
3,Retail,Non-binary,40,2,Satisfied,4,76
1,Finance,Male,41,5,Unsatisfied,4,51
1,IT,Male,56,4,Unsatisfied,1,57
5,Manufacturing,Prefer not to say,57,5,Satisfied,9,58
3,Finance,Prefer not to say,36,5,Satisfied,4,32
4,Finance,Female,32,1,Unsatisfied,4,91
4,Education,Female,32,3,Unsatisfied,10,36
3,Manufacturing,Non-binary,58,4,Satisfied,4,51
4,Retail,Female,59,1,Satisfied,4,60
3,Healthcare,Female,22,7,Neutral,2,34
2,Manufacturing,Female,49,3,Unsatisfied,2,33
3,Consulting,Prefer not to say,42,9,Satisfied,1,53
5,Retail,Female,20,3,Unsatisfied,2,53
2,IT,Female,22,2,Satisfied,2,40
5,Manufacturing,Non-binary,48,2,Neutral,2,36
1,Healthcare,Prefer not to say,85,3,Satisfied,9,86
3,IT,Prefer not to say,24,5,Satisfied,3,81
4,Consulting,Female,22,2,Unsatisfied,10,55
1,Finance,Prefer not to say,58,2,Unsatisfied,5,34
2,IT,Prefer not to say,58,2,Neutral,2,96
1,IT,Non-binary,27,9,Satisfied,9,37
1,Education,Prefer not to say,40,1,Satisfied,4,37
4,Finance,Female,24,3,Unsatisfied,1,57
2,IT,Female,43,2,Neutral,9,33
2,QMpi_Manufacturing,Female,50,2,Neutral,3,51
3,n_Manufacturing,Male,30,1,Satisfied,5,50
2,Consulting,Female,35,2,Unsatisfied,1,35
2,Education,Non-binary,37,5,Satisfied,4,77
3,Retail,Non-binary,51,5,Satisfied,3,53
2,Manufacturing,Male,96,4,Unsatisfied,4,32
4,Retail,Female,58,2,Satisfied,3,56
1,Finance,Female,36,10,Unsatisfied,2,55
4,Retail,Non-binary,53,1,Unsatisfied,1,49
2,Retail,Female,56,5,Neutral,3,23
2,Re.,Male,27,1,Unsatisfied,3,95
3,Education,Male,20,3,Neutral,8,23
2,Education,Female,25,3,Satisfied,1,29
1,Consulting,Female,33,5,Satisfied,1,78
5,Finance,Male,35,2,Neutral,2,58
1,Manufacturing,Male,34,9,Neutral,5,42
1,Healthcare,Male,21,4,Neutral,1,42
3,Healthcare,Non-binary,90,1,Unsatisfied,4,39
5,Healthcare,Male,29,3,Unsatisfied,2,45
2,IT,Non-binary,33,5,Satisfied,4,53
4,Finance,Prefer not to say,42,3,Neutral,2,94
1,Education,Prefer not to say,38,3,Neutral,2,24
1,Finance,Male,40,5,Unsatisfied,2,44
4,Education,Prefer not to say,24,5,Neutral,5,96
2,Retail,Prefer not to say,28,2,Neutral,1,40
4,Education,Non-binary,95,3,Unsatisfied,2,41
4,Finance,Male,41,2,Neutral,2,86
4,Retail,Female,40,5,Unsatisfied,5,53
3,Retail,Non-binary,47,3,Neutral,9,52
5,Consulting,Female,53,1,Unsatisfied,4,58
1,kkGO_Retail,Prefer not to say,27,5,Unsatisfied,4,56
3,Consulting,Female,33,2,Unsatisfied,3,34
3,Healthcare,Non-binary,50,5,Satisfied,3,36
3,Retail,Male,76,4,Neutral,1,50
4,education department,Male,56,4,Satisfied,2,41
1,Healthcare,Female,78,5,Satisfied,5,27
1,Consulting,Non-binary,27,2,Unsatisfied,2,77
1,Education,Male,90,9,Neutral,2,33
2,Fin.,Prefer not to say,28,1,Neutral,4,45
4,Manufacturing,Prefer not to say,59,4,Satisfied,3,39
2,Education,Male,40,5,Satisfied,4,34
3,1T,Female,38,5,Neutral,4,40
4,Education,Female,37,3,Unsatisfied,1,49
1,IT,Female,36,5,Unsatisfied,4,35
1,Finance,Non-binary,55,5,Neutral,1,43
2,IT.,Female,47,3,Neutral,3,75
4,Healthcare,Prefer not to say,51,9,Neutral,4,60
5,Retail,Female,42,4,Satisfied,3,42
3,Consulting,Prefer not to say,45,4,Neutral,4,42
5,Finance,Male,83,3,Unsatisfied,5,37
1,Finance,Female,60,4,Neutral,3,60
3,Retail,Non-binary,45,8,Unsatisfied,4,33
2,Consulting,Male,33,3,Satisfied,4,60
2,Retail,Female,44,4,Unsatisfied,3,58
2,Finance,Male,24,1,Unsatisfied,1,25
3,Consulting,Prefer not to say,28,5,Unsatisfied,1,30
3,Healthcare,Female,91,3,Unsatisfied,9,28
2,IT,Non-binary,22,1,Satisfied,4,28
3,x_Retail,Prefer not to say,34,5,Satisfied,1,23
3,Retail,Female,34,3,Unsatisfied,4,36
1,Retail,Male,55,5,Unsatisfied,1,50
