Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Employee_ID,Social_Isolation_Rating,tenseness horizontal surface,Gender,Industry,Number_of_Virtual_Meetings,Work_Life_Balance_Rating
53,1,23,EMP0074,1,High,Non-binary,IT,7,3
57,3,38,EMP0075,3,Medium,Prefer not to say,Consulting,10,2
81,3,42,EMP0076,4,High,Male,Retail,3,5
55,8,31,EMP0077,1,High,Non-binary,Consulting,8,4
37,1,28,EMP0078,1,Medium,Female,Healthcare,10,5
51,1,29,EMP0079,2,High,Male,manufacture,5,2
21,3,27,EMP0080,9,Low,Male,Consulting,7,5
21,4,54,EMP0081,4,High,Female,Education,10,3
44,2,42,EMP0082,3,High,Non-binary,Finance,9,4
26,9,58,EMP0083,5,High,Prefer not to say,Education,10,3
43,3,26,EMP0084,5,High,Female,Healthcare,6,4
42,5,56,EMP0085,2,Low,Male,Retail,14,4
44,4,50,EMP00.,10,Low,Male,Finance,8,4
27,1,55,EMP0087,1,Low,Prefer not to say,Manufacturing,0,1
43,2,22,EMP0088,2,Medium,Prefer not to say,CR_Education,5,1
38,2,24,Oi_EMP0089,5,High,Female,Con.,0,5
38,4,53,EMP0090,5,Low,Prefer not to say,Healthcare,4,4
57,9,57,EMP0091,4,Medium,Female,Retail,4,4
60,5,22,EMP0092,3,High,Female,manufacture,3,1
29,5,41,EMP0093,3,Medium,Male,IT.,0,5
54,7,46,EMP0094,2,High,Non-binary,Education,12,4
31,4,60,EMP0095,2,High,Non-binary,Education,11,5
54,3,44,EMP0096,1,Low,Female,Manufacturing,8,5
33,5,35,EMP0097,5,High,Male,H.,11,1
25,3,48,EMP0098,4,Low,Male,IT,1,4
21,9,31,EMP0099,4,Low,Prefer not to say,Healthcare,15,1
91,4,53,EMP0100,3,Medium,Male,IT,10,2
53,1,32,EMP0101,5,Medium,Prefer not to say,Manufacturing,5,1
46,2,33,EMP0102,2,0w_High,Prefer not to say,Consulting,12,1
22,4,45,EMP0103,4,High,Prefer not to say,IT,9,4
60,5,50,EMP0104,4,High,Male,Finance,12,4
42,9,41,j_EMP0105,4,Low,Female,Education,2,4
60,3,43,EMP0106,3,High,Non-binary,Healthcare,2,3
35,2,29,p3eW_EMP0107,4,Medium,Prefer not to say,IT,14,1
44,5,44,EMP0108,2,High,Prefer not to say,Healthcare,2,2
50,2,50,EMP01O9,1,Medium,Prefer not to say,Healthcare,2,4
22,5,36,EMP0110,1,Low,Male,Finance,7,5
29,5,34,EMP0I11,5,High,Female,Education,13,3
34,10,49,EMP0112,5,Low,Male,5_Finance,8,5
85,5,45,EMP0.,1,Low,Female,Retail,7,1
53,5,45,EMP0114,1,low-toned,Prefer not to say,Retail,0,3
29,3,53,EMP0115,5,High,Female,Healthcare,5,2
27,3,29,EMP0116,3,Medium,Male,Education,1,3
44,3,34,EMP0I17,5,Medium,Prefer not to say,Finance,14,3
42,3,58,EMP0118,5,High,Female,Education,13,2
90,3,38,EMP0119,5,Medium,Female,Manufacturing,4,2
34,5,40,EMP0120,8,Medium,Prefer not to say,Consulting,13,2
51,5,45,EMP0121,2,High,Prefer not to say,Manufacturing,13,2
82,3,43,EMP0122,2,High,Non-binary,UWzI_Retail,6,5
30,9,50,EMP0123,3,High,Male,Healthcare,10,2
59,5,58,EMP0124,8,Low,Prefer not to say,Consulting,7,2
89,4,42,EMP0125,1,High,Non-binary,Manufacturing,14,2
89,4,53,EMP0126,5,Low,Prefer not to say,Finance,1,3
38,1,36,EMP0127,2,Medium,Female,Retail,2,2
34,2,51,EMP0128,2,High,Female,F.,0,5
89,2,27,EMP0129,2,Medium,Female,Consulting,12,4
35,3,22,EMPO130,5,Low,Female,Retail,2,3
23,5,32,EMP0131,5,Medium,Female,Education,9,1
28,4,32,EMP0132,2,Low,Female,Manufacturing,15,5
57,2,53,EMP0133,4,Medium,Male,Retail,10,3
29,2,26,EMP0134,4,Low,Non-binary,Manu.,4,1
39,2,60,EMP0135,5,Medium,Male,Finance,1,4
46,5,51,EMP0136,4,Medium,Non-binary,IT,4,5
26,5,44,EMP0137,9,High,Male,Healthcare,9,2
32,5,48,EMP013B,5,Medium,Non-binary,IT,4,4
30,5,57,EMP0139,3,8_High,Non-binary,Education,11,3
48,1,49,EMP0140,5,Lo.,Non-binary,FI_Education,3,5
44,5,32,EMP0141,1,High,Non-binary,Education,13,1
49,4,49,EMP0142,8,aQ_Low,Female,Healthcare,15,5
23,1,23,EMPO143,10,High,Female,Manufacturing,0,5
91,2,55,EMP0144,4,Low,Prefer not to say,Finance,6,5
85,2,47,EMP0145,4,High,Non-binary,Education,15,5
41,4,48,EMP0146,4,Medium,Non-binary,Consulting,8,3
95,3,36,EMP0147,4,Low,Prefer not to say,Healthcare,12,2
44,5,45,EMP0148,1,Low,Male,Finance,10,1
52,4,41,EMP0149,3,High,Female,IT,8,4
57,3,50,EMP0150,1,Low,Male,Consulting,11,2
32,3,41,EMP0151,2,High,Female,Consulting,15,3
31,4,57,EMP0152,3,Low,Female,Consulting,6,4
98,8,30,EMP0153,2,Medium,Male,Healthcare,15,1
26,2,23,EMP0154,2,Medium,Female,Consulting,9,1
57,4,30,EMP0155,2,Low,Male,Consulting,5,1
20,1,47,EMPO156,4,Low,Female,Healthcare,8,1
26,2,33,EMPO157,1,High,Prefer not to say,Finance,0,4
43,3,32,EMP0158,4,High,Male,Finance,15,3
50,7,43,EMP0159,1,Low,Male,Manufacturing,14,3
52,3,43,EMP0160,2,High,Non-binary,Healthcare,0,5
37,1,35,EMP0161,2,Medium,Female,IT,1,4
38,1,40,EMP0162,4,High,Female,Education,0,3
55,2,29,EMP0163,1,High,Prefer not to say,Consulting,11,1
53,1,24,EMP0164,3,1_Medium,Non-binary,Manufacturing,14,1
20,1,40,EMP0165,5,Medium,Male,Healthcare,13,1
46,5,22,EMP0166,1,Low,Female,Manufacturing,1,2
30,2,48,EMP0167,3,Low,Non-binary,Education,8,2
50,3,60,EMP0168,3,High,Non-binary,Retail,8,2
50,2,34,EMP0169,3,Medium,Prefer not to say,Healthcare,13,2
50,3,50,EMP0170,5,Low,Prefer not to say,Manufacturing,0,1
23,3,38,EMP0171,8,Low,Male,R.,7,1
45,4,36,EMP0172,3,Medium,Male,Retail,3,4
25,3,35,EMP0173,4,d_Medium,Non-binary,Finance,4,1
36,9,25,EMP0174,1,High,Prefer not to say,Manufacturing,9,2
89,5,34,EMP0175,3,Low,Non-binary,Education,3,2
35,4,32,EMP0176,5,Low,Prefer not to say,Healthcare,7,3
55,4,58,EMP0177,5,Medium,Prefer not to say,Manufacturing,12,3
47,2,40,EMP0178,8,Medium,Female,Finance,10,1
57,4,56,EMP0179,4,High,Female,Healthcare,10,4
22,1,44,EMP0180,3,Medium,Non-binary,Education,9,2
43,2,30,EMP0181,5,Medium,Non-binary,IT,5,1
45,4,49,k3_EMP0182,4,Low,Non-binary,Consulting,9,5
56,1,26,EMP0183,4,Low,Male,Healthcare,14,2
46,8,52,EMP0184,3,High,Male,IT,14,3
60,2,24,EMP0185,1,Medium,Prefer not to say,Manufacturing,0,5
32,1,40,EMP0186,1,Medium,Non-binary,Consulting,9,1
59,4,57,EMP0187,9,Medium,Non-binary,Manufacturing,13,5
60,5,23,EMP0188,5,High,Prefer not to say,Consulting,13,5
43,3,40,EMP0189,2,High,Prefer not to say,IT,4,5
33,2,45,EMP0190,4,low-toned,Male,Education,8,1
20,2,46,EMP0191,5,Low,Female,Finance,14,3
93,3,37,EMP0.,4,Medium,Female,Retail,2,1
43,2,51,EMP0.,4,Medium,Female,Healthcare,1,5
23,1,52,EMP0194,5,Medium,Male,IT,12,2
85,7,53,E.,10,Medium,Male,Ed.,0,1
47,9,39,EMP0196,5,Medium,Male,Education,0,2
46,5,56,EMP0197,3,Low,Female,Healthcare,12,1
97,4,59,EMP0198,1,Low,Non-binary,Manufacturing,2,1
47,3,28,EMP0199,1,High,Male,Retail,0,4
53,2,36,EMP0200,2,Hig.,Female,Finance,7,3
55,1,45,EMP0201,4,Medium,Non-binary,Education,14,4
40,3,52,EMP0202,2,Medium,Male,Retail,1,2
28,1,55,EMP0203,2,Low,Female,1T,8,5
39,1,58,EMPO204,3,Low,Male,Consulting,14,3
41,2,51,EMP0205,4,Medium,Prefer not to say,IT,5,5
21,5,52,EMP0206,4,Low,Male,Finance,3,5
34,5,54,EMP0207,2,Low,Non-binary,IT,11,3
89,2,35,EMP0208,5,Low,Male,Retail,14,3
32,4,39,mgy3_EMP0209,1,high-topped,Male,Manufacturing,2,4
21,5,47,EMP0210,3,Me.,Prefer not to say,EUF_Consulting,8,2
56,4,49,EMP0211,1,High,Male,Manufacturing,3,5
95,4,60,EMP0212,2,Low,Prefer not to say,Manufacturing,8,4
94,4,47,EMP0.,2,High,Female,Manufacturing,8,1
52,5,27,EMP0214,4,Low,Prefer not to say,Healthcare,3,1
33,4,46,EMP0215,3,Low,Prefer not to say,Consu.,8,1
47,4,25,EMP0216,1,Medium,Non-binary,Manufacturing,9,2
56,4,30,EMP0217,9,Medium,Male,Education,13,3
81,2,38,EMP0218,2,Low,Prefer not to say,Education,4,2
60,4,56,EMP0219,1,Low,Female,Education,9,3
32,1,42,EMP0220,2,Low,Male,Manufacturing,5,4
48,5,42,EMP0221,8,Medium,Prefer not to say,Retail,9,5
39,5,30,EMP0222,3,High,Female,IT,6,4
79,2,33,EMP0223,5,High,Male,Consulting,6,3
38,1,28,EMP0224,4,High,Non-binary,Retail,3,3
30,2,50,EMP0225,2,Low,Non-binary,Manufacturing,5,1
35,1,44,EMP0226,3,Low,Male,Retail,3,1
80,4,40,EMP0227,4,Jz6_Medium,Female,Hea.,0,5
28,3,23,EMP0228,3,Medium,Male,IT,15,2
94,5,30,EMP0229,3,Medium,Female,Consulting,4,3
48,1,42,EMP0230,3,Low,Female,Manufacturing,14,2
86,4,52,EMP0Z31,5,Medium,Male,Retail,14,1
34,2,37,EMP0232,3,Low,Male,Healthcare,3,4
59,7,28,EMP0233,7,Low,Prefer not to say,Manufacturing,9,5
85,2,31,EMP0234,3,High,Prefer not to say,Consulting,6,3
55,5,23,EMP0235,2,Low,Prefer not to say,Retail,12,4
23,4,37,EMP0236,4,Low,Male,Finance,11,2
51,1,25,EMP0237,2,Medium,Male,Healthcare,7,1
82,4,55,E.,1,Medium,Female,Manufacturing,11,5
41,1,56,EMP0239,4,Low,Non-binary,IT,14,5
46,1,51,EMP0240,1,Low,Prefer not to say,Manufacturing,10,1
58,2,35,EMP0241,9,High,Male,Education,15,4
59,3,22,EMP0242,3,High,Non-binary,manufacture,13,2
40,4,34,EMP0243,8,Medium,Non-binary,t_Education,1,1
56,1,37,EMP0.,1,High,Prefer not to say,Retail,3,2
78,3,59,EMP0245,1,High,Prefer not to say,Finance,11,2
38,3,53,EMP0246,2,DocM_Low,Female,IT,2,2
59,1,38,EMP0247,3,Low,Male,Healthcare,12,5
47,4,32,EMP0248,2,Medium,Male,Manufacturing,4,1
49,5,36,EMP0249,5,Medium,Prefer not to say,Manufacturing,6,3
20,2,29,EMP0250,4,Low,Female,Manufacturing,6,5
50,2,38,EMP0251,2,High,Non-binary,Manufacturing,9,1
32,1,32,EMP0252,7,High,Male,Education,0,4
23,3,43,EMP.,3,Low,Prefer not to say,IT,8,3
22,3,46,EMP0254,3,Medium,Prefer not to say,IT,13,3
33,2,42,EMP0255,2,Medium,Prefer not to say,Education,11,5
32,7,27,EMP0256,5,Medium,Male,Education,13,3
51,2,54,EMP0257,2,Medium,Prefer not to say,Retail,0,1
49,3,43,EMP0258,3,Medium,Male,Healthcare,11,3
30,3,31,nr_EMP0259,1,Medium,Female,YgYS_Education,9,1
25,5,53,EMP0260,2,Medium,Non-binary,education department,9,2
40,3,57,EMP0261,3,high-topped,Non-binary,Manufa.,12,4
89,1,50,EMP0262,1,Low,Non-binary,Finance,13,1
20,2,37,EMP0263,1,Medium,Male,qzS_Education,15,3
35,5,58,EMP0264,3,Medium,Female,Retail,5,5
49,5,57,EMP0265,4,Medium,Non-binary,Manufacturing,2,1
34,4,50,EMP0266,9,Medium,Prefer not to say,Retail,5,4
58,5,48,EMP0267,3,Medium,Male,Manufacturing,13,3
26,9,43,EMP0268,5,Medium,Non-binary,Consulting,4,4
36,3,58,EMP0269,3,culture medium,Female,Retail,7,4
48,4,30,EMP0270,5,High,Male,Education,3,4
57,5,44,EMP0271,5,High,Non-binary,Finance,5,4
93,2,41,EMP0272,3,Medium,Prefer not to say,n_Finance,8,2
55,4,60,EMP0273,1,culture medium,Female,Healthcare,7,4
28,8,58,EMP0274,3,High,Non-binary,Finance,3,3
53,3,60,EMP0275,2,low-toned,Prefer not to say,Consulting,10,2
36,4,27,EMP0276,4,Low,Non-binary,Finance,10,4
54,1,38,EMP0277,4,High,Female,Manufacturing,7,4
33,10,56,EMP0278,4,Low,Male,Healthcare,8,3
39,4,31,EMP0279,10,Medium,Male,Finance,1,4
33,5,37,EMP0280,4,Medium,Prefer not to say,Healthcare,11,1
48,1,41,EMP0281,3,Low,Female,Education,4,1
60,3,58,EMP0282,3,Medium,Male,Education,7,5
24,4,49,EMP0283,5,Medium,Male,IT,1,1
28,9,23,EMP0284,1,High,Non-binary,Healthcare,7,5
20,8,24,E.,2,Low,Non-binary,Manufacturing,14,2
28,1,41,EMP0286,9,Medium,Prefer not to say,Finance,14,4
48,2,32,EMP0287,5,Medium,Female,Consulting,12,4
51,1,47,EMP0288,3,High,Prefer not to say,Healthcare,5,2
39,2,23,EMP0289,5,Low,Non-binary,IT,5,4
96,2,34,EMP0290,1,Medium,Prefer not to say,Retail,2,4
53,3,42,EMP0291,4,High,Male,IT,12,1
44,1,42,EMP0292,4,High,Prefer not to say,IT,13,4
31,3,33,EMPO293,4,Medium,Female,Education,3,3
58,3,40,EMP0294,3,Low,Male,Healthcare,2,5
26,4,27,EMP0295,5,Low,Male,Healthcare,5,4
20,3,39,EMP0296,2,Low,Prefer not to say,Consulting,4,3
28,2,42,EMP0297,1,Low,Female,IT,14,3
35,5,22,EMP0298,5,Med.,Non-binary,Healthcare,14,5
30,2,45,EMP0299,4,Low,Female,Finance,14,2
28,2,47,EMP0300,3,Low,Female,zW_Finance,0,1
96,3,24,EMP0301,5,culture medium,Non-binary,Retail,4,3
56,5,48,EMP0302,4,Medium,Non-binary,IT,13,2
25,2,60,EMP0303,3,High,Non-binary,Retail,10,3
21,2,41,EMP0304,2,High,Non-binary,education department,0,1
50,5,49,EMP0305,5,Medi.,Prefer not to say,Retail,2,4
50,5,27,EMP0306,2,High,Prefer not to say,d_Finance,3,5
80,5,35,EMP0307,4,Low,Prefer not to say,Manufacturing,10,2
31,7,23,EMP0308,1,Medium,Male,Consulting,14,4
45,4,24,EMP0309,10,Low,Prefer not to say,NDJ_Finance,11,3
23,2,41,zi_EMP0310,2,Medium,Non-binary,Education,8,2
42,1,41,EMP0311,3,gkJ_Low,Prefer not to say,IT,14,3
37,4,43,EMP0312,2,Medium,Female,Finance,8,1
40,1,30,EMP0313,2,Low,Non-binary,IT,7,5
23,5,44,EMP0314,2,High,Male,Retail,1,3
95,4,50,EMP0315,1,Medium,Male,Education,3,3
94,8,48,EMP0316,2,Medium,Non-binary,Manufacturing,8,5
46,1,45,EMP0317,3,Low,Male,IT,1,2
37,2,60,EMP0318,1,Medium,Male,Education,7,2
42,5,51,EMP0319,1,Low,Prefer not to say,Education,4,2
53,8,48,wt_EMP0320,1,Low,Prefer not to say,Retail,15,4
26,3,43,EMP0321,4,Low,Female,Consulting,0,2
48,5,23,EMP0322,3,Medium,Prefer not to say,Education,9,3
58,5,32,EMP0323,4,Low,Male,Education,0,3
96,2,44,EMP0324,1,Medium,Non-binary,Consulting,7,1
52,1,36,EMP0325,3,High,Female,Finance,13,4
49,3,50,EMP0326,8,Low,Male,Manufacturing,7,2
55,4,54,EMP0327,5,High,Non-binary,Consulting,4,2
33,3,54,EMP0328,4,High,Male,He.,0,2
24,4,33,EMP0329,1,9_High,Prefer not to say,Healthcare,12,1
21,5,47,EMPO330,3,Low,Prefer not to say,Consulting,15,5
85,3,25,EMP0331,3,Low,Prefer not to say,Education,12,5
44,7,38,EMP0332,1,Medium,Male,CvhU_Education,10,5
24,4,31,EMP0333,5,Medium,Female,manufacture,7,4
25,4,58,EMP0334,5,High,Male,IT,6,2
40,8,28,EMP0335,2,High,Prefer not to say,Education,0,4
59,1,54,EMP0336,2,Low,Prefer not to say,IT,3,2
22,2,60,EMP0337,8,High,Female,IT,9,4
47,2,38,EMP0338,9,Medium,Non-binary,Consulting,15,5
31,1,31,EMP0339,1,Low,Female,kXXI_Finance,15,2
41,5,42,EMP0340,1,High,Non-binary,IT,5,5
52,2,52,EMP0341,2,High,Female,Manufacturing,0,1
48,4,41,EMP0342,5,Low,Female,Finance,0,2
41,3,44,EMP0343,1,Medium,Male,Finance,14,5
21,5,42,EMP0344,4,Ty_High,Female,Finance,7,3
49,4,53,EMP0345,2,Low,Male,Healthcare,15,2
32,5,52,E_EMP0346,3,High,Female,Education,7,4
40,3,23,r8_EMP0347,1,Medium,Non-binary,Education,12,1
22,3,24,EMP0348,7,High,Female,Finance,10,4
44,5,41,EMP0349,2,Low,Prefer not to say,Consulting,9,3
41,4,60,EMP0350,4,4A9_Medium,Prefer not to say,manufacture,15,1
37,2,25,EMP0351,3,High,Prefer not to say,manufacture,11,1
54,3,55,E.,2,Medium,Prefer not to say,Healthcare,12,3
82,2,33,EMP0353,2,Low,Non-binary,Retail,3,1
53,8,43,EMP0354,5,Medium,Prefer not to say,Consulting,13,2
23,3,59,EMP0355,4,Medium,Male,Education,13,5
58,2,48,EMP0356,2,Low,Male,Healthcare,3,1
26,2,31,EMP0357,9,Low,Non-binary,Finance,7,1
46,3,28,EMP0358,4,Medium,Male,Manufacturing,7,3
20,4,49,EMP0359,4,Medium,Male,Manuf.,7,3
56,2,56,EMP0360,4,Medium,Prefer not to say,Finance,0,2
28,5,56,EMP0361,1,WZ21_Medium,Non-binary,Retail,15,1
39,5,51,EMP0362,5,Medium,Female,Consulting,2,1
22,4,38,EMP0363,1,Medium,Non-binary,dd_Manufacturing,10,4
32,2,40,EMP0364,2,High,Male,IT,4,3
28,2,56,EMP0365,2,Low,Non-binary,WYU_Consulting,9,1
22,8,33,EMP0366,2,Medium,Non-binary,IT,6,4
53,2,45,EMP0367,3,Medium,Male,Manufacturing,2,5
33,1,55,EMP0368,2,Medium,Non-binary,IT,11,2
34,2,39,EMP0369,4,High,Female,Manufacturing,5,1
87,5,58,EMP0370,1,Low,Non-binary,Education,0,4
28,5,41,EMP0371,1,Medium,Non-binary,Healthcare,1,1
51,4,57,EMP0372,2,Medium,Prefer not to say,Healthcare,7,4
35,4,31,EMP0373,5,High,Female,Education,0,5
39,2,34,EMPO374,2,Medium,Prefer not to say,Healthcare,8,3
58,3,39,EMP0375,1,High,Prefer not to say,Healthcare,14,1
34,2,29,EMP0376,2,Low,Non-binary,IT,3,3
48,4,31,EMP0377,2,Medium,Prefer not to say,IT,4,1
52,5,30,EMP0378,3,High,Female,Healthcare,0,5
59,1,53,EMP0379,9,High,Prefer not to say,Healthc.,8,5
32,1,27,EMP0380,10,High,Male,Consulting,14,2
90,2,39,EMP0381,4,Medium,Male,Education,4,3
34,10,59,EMP0382,5,Medium,Male,Education,14,2
41,2,58,EMP0383,2,Low,Non-binary,Consulting,8,3
55,4,28,EMP0384,9,Medium,Prefer not to say,Education,9,3
50,4,56,EMP0385,8,High,Male,IT,8,2
25,2,31,EMP0386,5,High,Non-binary,Healthcare,9,1
21,5,28,EMP0387,1,Medium,Female,Consult.,12,3
85,3,46,EMP0388,4,High,Female,Finance,11,5
28,3,32,EMP0389,2,High,Female,Consulting,0,5
54,1,37,EMP0390,10,Medium,Male,Retail,8,5
55,3,50,EMP0391,1,Medium,Prefer not to say,Consulting,12,3
26,1,55,EMP0392,5,Medium,Female,Retail,10,5
41,8,45,EMP0393,4,Low,Female,Retail,7,5
50,5,50,EMP0394,7,Low,Female,Healthcare,4,4
55,5,43,EMP0395,3,Medium,Prefer not to say,Finance,12,2
22,5,39,EMP0396,4,Medium,Non-binary,Healthcare,2,3
33,1,30,EMP0397,4,Low,Female,Consulting,11,5
21,1,36,EM.,3,High,Male,Retail,4,1
28,5,58,EMP0399,2,Medium,Prefer not to say,Manufacturing,13,2
85,3,53,EMP0400,1,UMk_High,Prefer not to say,Healthcare,6,5
58,10,56,EMP0401,4,High,Non-binary,IT,14,4
39,1,57,EMP0402,1,Low,Male,Consulting,0,4
81,2,58,EMP0403,2,Lo.,Male,Finance,15,2
56,1,57,EMP0404,3,High,Female,Healthcare,3,3
29,1,46,EMP0405,2,Medium,Non-binary,Consulting,13,4
24,1,42,EMP0406,2,High,Female,Manufacturing,0,4
60,3,24,EMP0407,3,High,Prefer not to say,Healthcare,4,3
31,1,53,EMP0408,2,L.,Female,Retail,9,4
50,5,24,EMP0409,8,Low,Female,Finance,10,1
79,3,30,EMPO410,3,Medium,Non-binary,Consulting,14,2
43,4,22,nW_EMP0411,4,Medium,Prefer not to say,Healthcare,3,2
30,2,28,EMP0412,5,Medium,Non-binary,Retail,3,5
92,3,52,EMP0413,8,Medium,Non-binary,Education,15,1
47,1,47,EMP0414,3,Medium,Prefer not to say,Manufacturing,7,1
56,8,30,EMP0415,4,Medium,Male,Manufactu.,14,3
85,5,52,XRxD_EMP0416,4,Low,Female,Healthcare,15,4
26,3,25,EMP0417,2,High,Prefer not to say,Healthcare,12,4
47,10,50,EMP0418,2,Medium,Non-binary,Consulting,10,2
38,4,60,EMP0419,4,High,Female,Education,7,4
49,1,48,EMP0420,2,Medium,Female,IT,0,2
49,2,28,EMP0421,4,Medium,Male,IT,0,1
37,3,23,EMP0422,3,Medium,Prefer not to say,Finance,11,1
82,4,26,EMP0423,2,High,Male,Education,13,2
53,1,27,EMP0424,1,Medium,Female,Consulting,0,5
33,5,52,EMP0425,2,Medium,Non-binary,Finance,14,2
41,1,32,EMP0426,1,Medium,Prefer not to say,Consulting,13,1
31,3,23,EMP0427,2,Low,Prefer not to say,Finance,15,2
29,5,41,EMP0428,1,Low,Prefer not to say,IT,4,4
33,1,33,EMP0429,3,High,Female,IT,7,1
86,5,37,EMP0430,5,High,Non-binary,Consulting,8,5
42,10,33,EMP0431,2,High,Male,Consulting,12,3
23,1,28,EMP0432,1,High,Non-binary,Finance,15,3
28,2,57,EMP0433,1,High,Non-binary,Consulting,4,5
41,1,45,EMP0434,3,Low,Female,Finance,10,2
33,2,50,EMP0435,3,High,Female,Consulting,9,5
46,3,53,EMP0436,3,culture medium,Non-binary,Healthcare,13,2
25,9,58,EMP0437,2,High,Prefer not to say,Healthcare,9,4
55,1,48,EMP0438,5,Medium,Prefer not to say,Education,1,2
53,3,42,EMP0439,2,High,Prefer not to say,Manufacturing,4,4
47,1,22,EMP0440,3,Medium,Non-binary,Retail,10,1
35,4,23,E.,2,Low,Female,Retail,14,2
81,5,59,EMP0442,10,Low,Prefer not to say,Finance,8,4
34,5,50,EMP0443,4,High,Non-binary,Consulting,12,1
