E74,M,91,1928,HIGHWAY,2220,DECK,STEEL,MEDIUM,S-F,CANTILEV
E71,A,93,1928,HYGHWAY,860,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E68,M,17,1928,JIGHWAY,2250,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E78,O,40,1931,HIGHWAY,1365,THROUGH,STEEL,LONG,F,ARCH
E77,O,42,1931,main road,1450,THROUGH,STEEL,LONG,F,ARCH
E76,M,6,1931,HIGHWAY,1500,THROUGH,STEEL,LONG,F,SUSPEN
E93,M,71,1937,HIGHAAY,1690,DECK,STEEL,LONG,S-F,CONT-T
E79,A,34,1939,HIGHWAY,1800,DECK,STEEL,MEDIUM,F,CANTILEV
E108,A,4.63,1945,HIJHWAY,1060,DECK,STEEL,MEDIUM,S-F,CONT-T
E107N,A,39.7,1945,RR,840,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E105,A,38.5,1945,HIJHWAY,1710,DECK,STEEL,MEDIUM,S-F,CONT-T
E103,O,48,1945,HIGHWAY,2160,THROUGH,STEEL,LONG,F,CANTILEV
E97,Y,52,1945,HIGNWQY,?,THROUGH,STEEL,MEDIUM,S,ARCH
E96,Y,69,1945,RR,?,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E99,M,8,1950,HIGHWAY,1320,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E98,M,22,1951,HIGHWAY,900,THROUGH,STEEL,MEDIUM,F,CONT-T
E81,M,14,1951,main road,2423,DECK,STEEL,LONG,F,CONT-T
E80,M,13,1951,HIGHWAY,1031,THROUGH,STEEL,LONG,F,CANTILEV
E88,A,22,1955,HOGHWAY,2300,DECK,STEEL,LONG,F,CONT-T
E82,O,42,1955,HIGHWAY,804,THROUGH,STEEL,?,F,SIMPLE-T
E102,O,47,1959,HKGHWAY,1700,THROUGH,STEEL,LONG,F,CONT-T
E83,M,1,1959,HIGHWAI,1000,THROUGH,STEEL,LONG,F,ARCH
E86,A,33,1961,HIGHWAY,980,DECK,STEEL,MEDIUM,S-F,CONT-T
E85,M,88,1962,HIGHWAY,2213,DECK,STEEL,LONG,F,CONT-T
E84,A,10,1969,HIGHWAY,870,THROUGH,STEEL,MEDIUM,F,ARCH
E91,O,44,1975,main road,3756,THROUGH,STEEL,LONG,F,ARCH
E90,M,7,1978,HIGHWAY,950,THROUGH,STEEL,LONG,F,ARCH
E100,O,69,1982,HIGHWAY,?,?,?,?,F,?
E109,A,28,1986,HIGHWAY,?,?,?,?,F,?
