keep company financial backing  remote control do work,DHIHOrvRCC,Stress_Level,Sleep_Quality,Hours_Worked_Per_Week,Age,Social_Isolation_Rating,Years_of_Experience,Job_Role,1f,Access_to_Mental_Health_Resources,Physical_Activity,do work situating
3,Europe,High,Good,42,58,5,25,Data Scientist,Education,No,Daily,Remode
8,Europe,Medium,Average,22,38,5,1,Data Scientist,Manufacturing,Yes,Daily,
5,Africa,Medium,Average,34,40,2,27,Project Manager,Co.,Yes,Daily,Hybrid
5,South America,High,Average,51,45,2,29,Project Manager,Manufacturing,No,Daily,Onsite
3,Europe,High,Good,48,43,2,18,Marketing,,Yes,None,Uybrid
1,Africa,High,Good,30,50,3,35,Software Engineer,Healthcare,Yes,None,Ons.
5,North America,Low,Average,59,58,1,14,Sales,Consulting,Yes,Weekly,Onsite
7,South America,High,Average,26,42,1,27,HR,Manufakturing,Yes,Daily,Remote
4,South America,Low,Average,60,53,5,27,Data Scientist,Finence,No,None,Hybrid
1,North America,Medium,Good,38,36,2,8,Marketing,Retail,Yes,Daily,Onsite
2,Europe,High,Average,34,51,2,21,Project Manager,Finance,Yes,None,Remote
9,Europe,Medium,Poor,46,27,2,15,Designer,Sonsulting,No,Daily,Onsite
8,Oceania,Low,Average,35,22,5,21,Sales,Retail,Yes,None,Hyprid
5,Africa,Medium,Good,23,32,5,16,Designer,Education,No,Weekly,
4,Africa,Low,Average,28,32,2,26,Marketing,Manufacturing,Yes,Weekly,Remote
3,South America,Medium,Good,57,53,4,4,Marketing,Retail,No,Weekly,Onsite
2,Europe,Low,Good,29,26,4,29,Marketing,Manufacturing,Yes,Weekly,Hybrid
2,Oceania,Medium,Poor,39,60,5,2,Marketing,Finance,No,Weekly,Hybrid
5,Oceania,Medium,Good,46,51,4,26,Marketing,IT,No,None,Remode
5,South America,High,Good,26,44,4,14,Data Scientist,Healthcare,No,Daily,Rem.
9,Oceania,Medium,Poor,32,48,5,10,Sales,IT,Yes,Weekly,Remote
4,North America,High,Poor,30,57,3,34,Data Scientist,Education,No,None,4emote
1,Asia,Low,Average,48,49,5,11,Project Manager,Education,Yes,Weekly,
5,Africa,High,Poor,44,32,1,12,Project Manager,Education,Yes,Weekly,Onsite
3,Asia,Low,Poor,49,49,5,29,Project Manager,Healthcare,Yes,None,Hybrid
2,Europe,High,Poor,23,23,2,11,Designer,Manuf.,No,Weekly,Hybrid
8,North America,Low,Good,33,55,4,3,Designer,Finance,No,Daily,Onsite
2,Asia,High,Average,35,47,4,18,HR,Education,No,Daily,Remote
4,Europe,Medium,Poor,41,48,4,5,Marketing,Consulting,Yes,Weekly,Re.
3,Africa,Low,Average,34,36,4,3,Software Engineer,,No,Daily,Hybrid
4,North America,Low,Average,44,45,1,14,Designer,Financs,Yes,Daily,Eemore
4,Oceania,High,Good,52,41,3,10,Designer,IT,Yes,Daily,Onsite
3,Oceania,Low,Good,57,50,1,17,Designer,Consulting,Yes,Weekly,Onsite
10,Oceania,High,Average,32,41,2,34,Software Engineer,Con.,Yes,Weekly,Remote
4,Oceania,Low,Poor,31,57,3,20,Designer,Konsulting,No,Daily,Remote
3,Africa,Medium,Poor,58,30,2,29,Software Engineer,Healthcare,No,Weekly,Hybrid
2,Asia,Medium,Poor,26,23,2,31,Data Scientist,Consulting,Yes,None,Ramote
4,North America,Low,Average,57,30,2,17,Software Engineer,,Yes,Weekly,Remote
3,North America,Low,Good,20,47,4,31,Project Manager,Healthcare,No,None,Onsita
2,South America,High,Average,26,33,1,23,Project Manager,,No,Weekly,Hybrid
3,North America,High,Good,43,32,4,21,Data Scientist,,No,Weekly,Hybrid
3,South America,Low,Average,50,43,1,6,Designer,Manufacturing,Yes,Daily,Onsite
2,Oceania,High,Good,52,43,2,14,Software Engineer,Healthcare,No,Weekly,Ons.
1,Africa,Medium,Average,37,35,2,34,Marketing,IT,No,None,Hyprid
1,Africa,High,Average,38,40,4,24,Data Scientist,Edusation,Yes,None,Hyb.
2,South America,High,Poor,55,29,1,3,Designer,Consulting,No,Weekly,Hybrid
1,Africa,Medium,Average,53,24,3,5,Data Scientist,Ma.,No,Weekly,Hibrid
9,Oceania,Medium,Good,20,40,5,11,Software Engineer,Healthcare,No,None,O.
4,Africa,Low,Poor,46,22,1,10,Software Engineer,Manufacturing,Yes,Daily,
3,Africa,Low,Average,30,48,3,35,Software Engineer,Educatyon,Yes,None,Onsite
3,Asia,High,Poor,50,60,3,27,Software Engineer,Reta.,No,Daily,Remote
9,Europe,Medium,Average,50,34,3,15,HR,Healthcare,Yes,Daily,Remote
3,Europe,Low,Poor,50,50,5,10,Project Manager,Manufacturing,Yes,Daily,H.
10,North America,Low,Poor,23,38,4,19,Designer,Retail,No,None,Remoh3
4,Europe,Medium,Good,45,36,3,33,Data Scientist,Retayl,No,None,Onsjt2
3,South America,Medium,Good,25,35,4,11,Software Engineer,F7nance,No,Weekly,Hybris
4,North America,High,Good,36,25,1,35,Designer,Manueacturing,Yes,Weekly,Remode
5,Europe,Low,Good,60,34,3,10,HR,Ed.,Yes,Daily,O.
4,Europe,Low,Average,35,32,5,12,Project Manager,Heapthcare,Yes,Daily,
10,North America,Medium,Good,55,58,5,14,Marketing,Manufachurihg,No,None,Hybrid
3,Europe,Medium,Good,47,40,3,31,Project Manager,Finance,No,Weekly,Onxite
4,South America,High,Good,57,56,4,32,HR,Healthcare,No,None,Hy.
1,South America,Medium,Good,22,44,3,17,HR,Education,Yes,None,Hybrid
7,Europe,Medium,Poor,43,30,5,22,Data Scientist,IT,Yes,Daily,Remote
4,South America,Low,Good,45,49,4,29,Marketing,Consultinj,Yes,Weekly,Remote
1,Europe,Low,Average,56,26,4,21,Designer,Healthcare,Yes,Weekly,Onsite
2,Africa,High,Good,46,52,3,22,Data Scientist,I.,No,Daily,0nsite
2,Europe,Medium,Good,60,24,1,13,HR,Manufacturing,No,Daily,Hybrid
1,Asia,Medium,Average,32,40,1,12,Designer,Consulting,No,None,Remota
4,Oceania,Medium,Average,59,57,5,11,HR,Manufacturing,Yes,Weekly,Hybrid
5,Oceania,High,Good,60,23,5,17,Software Engineer,C.,No,Daily,Onsite
8,Oceania,High,Average,43,40,2,35,Data Scientist,,No,Weekly,Hybrit
2,North America,Low,Poor,33,45,4,15,Data Scientist,Educadion,Yes,None,Remote
2,Europe,Low,Average,20,46,5,11,Data Scientist,Fimancr,No,Daily,Hybrid
1,North America,Medium,Poor,27,37,4,16,Software Engineer,,Yes,Weekly,Hybrid
2,South America,Medium,Average,43,51,4,4,Software Engineer,Heal.,No,Weekly,0nsite
1,South America,Medium,Average,23,52,5,29,Sales,IT,No,Daily,Onsite
4,Africa,Medium,Good,29,53,4,22,Data Scientist,Education,No,None,0nsite
4,North America,Medium,Poor,47,39,5,7,Sales,Education,No,None,Remote
4,Oceania,Low,Good,46,56,3,28,Designer,Healthcare,Yes,None,0nsite
4,South America,Low,Average,40,59,1,13,Marketing,Manufacturing,Yes,Weekly,Hybrid
4,Oceania,High,Poor,47,28,1,7,Project Manager,Retail,Yes,Daily,Remote
2,South America,High,Average,53,36,2,3,Data Scientist,Finanse,No,Daily,Rwnote
1,Oceania,Medium,Average,55,45,4,3,Sales,Education,No,Daily,Hybrid
3,Asia,Medium,Good,40,52,2,2,Sales,Rftail,No,Weekly,Remote
1,Asia,Low,Poor,28,55,2,32,Project Manager,IT,No,None,Hibrid
1,South America,Low,Good,39,58,3,18,Sales,Consulting,No,Weekly,Hybrid
9,Asia,Medium,Good,41,51,4,14,Software Engineer,IT,No,None,Ons.
5,Oceania,Low,Poor,21,52,4,5,Data Scientist,Finance,Yes,Daily,Pnsitf
5,Africa,Low,Good,34,54,2,12,Project Manager,IT,Yes,Daily,Onsite
2,Europe,Low,Good,36,35,5,2,Designer,Retail,No,Weekly,Remote
4,North America,High,Average,32,39,1,19,Marketing,Manufacturing,Yes,Weekly,Remote
5,Africa,Medium,Average,21,47,3,7,Sales,Consulting,No,None,Hybrid
4,Europe,High,Poor,56,49,1,31,Project Manager,Manufacturing,Yes,Daily,Onsite
4,North America,Low,Poor,58,60,2,33,Marketing,Manufacturing,No,None,Ons.
4,Oceania,High,Good,35,47,2,11,Software Engineer,Manufacturing,No,None,Onsite
8,Europe,Low,Good,52,27,4,22,Project Manager,Healthcare,Yes,Weekly,Hybrid
8,South America,Low,Average,33,46,3,30,Marketing,,No,Daily,Remote
4,Europe,Medium,Good,47,25,1,22,Software Engineer,Manu.,No,None,Remote
2,Oceania,Medium,Poor,56,30,4,11,HR,Education,No,None,
1,Europe,Low,Average,33,38,2,35,Data Scientist,Education,Yes,Daily,Onzite
4,Asia,Low,Average,60,56,1,5,HR,Education,No,Weekly,
1,South America,Low,Good,32,42,2,23,Sales,Manufacturing,No,Weekly,Hybrid
5,Oceania,Medium,Good,48,42,1,18,Project Manager,Retail,No,None,Hybrid
5,Asia,High,Average,39,30,3,20,HR,IT,No,None,Hybrid
1,Asia,High,Good,23,33,5,6,Software Engineer,Consultinv,Yes,Weekly,Onsite
1,Africa,High,Average,38,28,4,29,Marketing,Refail,Yes,None,Hybrit
10,North America,Low,Average,30,50,2,1,Designer,Manufacturing,No,Daily,Remote
1,Africa,Low,Good,35,44,3,4,Software Engineer,Retail,Yes,Weekly,Onsite
4,South America,Medium,Average,22,40,4,6,Data Scientist,Healthcare,Yes,Weekly,Remote
3,Asia,Medium,Poor,28,23,3,8,Project Manager,YT,Yes,Weekly,Onsita
3,Oceania,Medium,Good,57,30,3,32,Marketing,Consulting,No,Weekly,Onsite
1,Europe,Low,Good,48,42,3,10,HR,,Yes,Weekly,Hybrid
4,Africa,Medium,Average,45,52,5,7,Marketing,Retail,No,Daily,Onsyte
9,Oceania,Low,Poor,34,37,3,29,Marketing,Healthcare,No,Weekly,
9,Africa,Low,Poor,59,28,1,19,Marketing,Manufacturing,No,Weekly,
8,Asia,High,Average,31,31,3,18,Software Engineer,Consulting,Yes,Weekly,Remode
5,Africa,Low,Poor,55,23,2,9,Marketing,De4ail,No,Daily,0nsite
4,Oceania,Low,Average,23,37,4,18,Data Scientist,Fina.,No,None,Remote
1,Europe,Medium,Average,51,25,2,33,HR,Heelthcare,No,Weekly,Hyb4id
3,Europe,Medium,Average,32,55,1,13,Software Engineer,Manufacturijf,Yes,Daily,Remote
1,North America,Low,Good,41,56,4,4,Marketing,IT,Yes,Weekly,Remote
1,South America,Low,Poor,46,51,1,24,Software Engineer,Manufa.,No,Daily,
8,Oceania,High,Poor,58,35,3,6,HR,Education,No,Weekly,Onsite
3,North America,High,Poor,59,22,3,2,Sales,Manufacturing,Yes,Weekly,Onsite
2,Oceania,Medium,Good,40,34,5,10,Project Manager,,No,Weekly,Remote
1,Europe,High,Poor,56,37,1,32,Sales,,No,Weekly,Remode
3,North America,High,Poor,47,59,1,17,Software Engineer,Financ4,Yes,Weekly,Onsite
8,South America,Low,Good,38,53,2,25,Project Manager,OT,Yes,None,
9,South America,Low,Average,59,38,3,25,Data Scientist,Healthcare,No,Weekly,Remote
4,Oceania,Medium,Poor,47,32,2,17,Project Manager,Manufact.,Yes,None,Onsita
10,Africa,Medium,Average,49,36,5,17,HR,Manufacturing,No,None,Remote
4,Africa,Low,Poor,20,29,4,18,Project Manager,Manufacturing,Yes,Weekly,Hybrid
2,South America,High,Good,50,38,2,26,Project Manager,Manufacturing,Yes,Weekly,Hybrid
1,Oceania,High,Good,32,32,3,21,Project Manager,Aducation,Yes,Weekly,Hybrid
3,Oceania,Low,Average,23,43,3,21,Sales,IT,Yes,Daily,Hybrid
3,Africa,Medium,Average,22,46,3,25,HR,IT,No,Weekly,
3,Africa,Medium,Good,33,42,2,4,Data Scientist,Education,Yes,Daily,Hybrid
5,Oceania,Medium,Average,32,27,5,25,Project Manager,Education,Yes,Weekly,Hibrid
3,Europe,Medium,Average,51,54,2,10,Marketing,Ret.,No,Daily,Onsite
4,Oceania,Medium,Poor,49,43,3,34,Designer,Healthcare,No,None,Hybrid
9,Oceania,Medium,Average,30,31,1,9,Data Scientist,Education,No,Daily,Remote
2,Asia,Medium,Average,25,53,2,11,Software Engineer,Educ.,Yes,Weekly,Rdjote
10,North America,High,Poor,40,57,3,3,Software Engineer,Manufacturing,No,Weekly,
1,Asia,Low,Good,32,50,1,20,Project Manager,Fi.,No,None,Onsite
2,Africa,Medium,Average,20,37,1,18,Sales,Education,No,None,Onsite
5,Asia,Medium,Poor,35,58,3,8,Project Manager,Retail,No,Daily,Hybrid
2,Europe,Medium,Average,49,57,4,32,Sales,,No,None,
4,Europe,Medium,Good,34,50,3,21,Sales,Retail,Yes,Weekly,0nsite
5,South America,Medium,Average,58,48,3,33,Project Manager,Manufacturing,No,None,Hybrid
8,South America,Medium,Average,26,43,5,15,HR,Consultihg,No,None,Onsite
1,Europe,Medium,Poor,36,58,3,12,Marketing,Retail,No,None,Onsite
4,Africa,High,Average,48,30,5,32,Designer,Education,Yes,Daily,Hybrid
5,South America,High,Good,57,44,5,3,HR,,Yes,Weekly,0nsite
2,Oceania,Medium,Poor,32,41,3,28,HR,Finance,Yes,Daily,Hybrid
4,Asia,Medium,Poor,55,60,1,17,Marketing,Haalthcare,Yes,None,Rem.
2,Asia,High,Good,28,58,3,35,Designer,Fi.,No,None,Hybrid
3,Oceania,Low,Poor,53,60,2,7,Sales,Cons.,No,Weekly,Onsyte
4,Europe,Low,Good,36,27,4,34,Designer,Finance,Yes,Daily,Onsite
1,Asia,High,Average,54,38,4,18,Sales,,No,None,Remode
5,Asia,Low,Poor,33,56,4,8,Marketing,Healthcare,No,None,Remote
4,Africa,Medium,Poor,39,31,2,19,Designer,Finance,Yes,Daily,Ogsite
5,North America,Medium,Good,33,37,4,25,Software Engineer,Healthcare,No,None,H.
7,Asia,Low,Average,48,41,3,2,Software Engineer,Etucation,Yes,Weekly,Hybr.
3,Europe,Medium,Average,60,58,3,10,Designer,Educarion,No,Daily,Remote
4,Asia,Medium,Good,24,49,5,35,Data Scientist,IT,No,None,R.
3,Asia,High,Average,28,23,1,18,Data Scientist,He.,Yes,None,Remote
2,Oceania,Low,Poor,20,24,2,12,Project Manager,Manufacturing,No,Daily,Hibrid
1,Asia,Medium,Good,28,41,1,35,Project Manager,F.,Yes,Weekly,Onsi.
2,Africa,Medium,Good,48,32,5,23,HR,Consulting,No,None,Remote
10,Africa,High,Good,51,47,3,10,Sales,Heal.,Yes,None,Hyhrid
0,Africa,Low,Poor,39,23,5,22,Designer,KT,No,Weekly,Hy.
8,North America,Medium,Poor,25,34,1,14,Marketing,Retail,No,None,Remote
3,Europe,High,Average,53,42,4,32,Sales,IT,No,Weekly,Hybrid
3,Asia,High,Average,44,42,4,10,HR,IT,Yes,None,Hybrid
3,Africa,Medium,Poor,31,33,4,22,Sales,Educetion,Yes,Weekly,Hybrid
3,Asia,Low,Average,58,40,3,3,Designer,Healthcare,Yes,Weekly,Onsite
4,Europe,Low,Average,26,27,5,33,Marketing,Bealthca5e,No,Weekly,Hybryd
3,North America,Low,Good,20,39,2,33,Data Scientist,Consulting,Yes,None,Hybrid
3,Europe,Low,Poor,28,42,1,11,Marketing,IT,No,None,Hybrid
5,Asia,Medium,Average,35,22,5,7,Sales,Haalthcare,No,None,Remote
2,North America,Low,Good,30,45,4,9,Marketing,Finxgce,No,None,Remote
2,Oceania,Low,Poor,28,47,3,6,Data Scientist,F.,No,None,
10,Oceania,Medium,Average,21,24,5,16,Designer,,Yes,Daily,Remote
5,Europe,Medium,Poor,56,48,4,2,HR,IT,Yes,Daily,
3,Africa,High,Good,25,60,3,13,Software Engineer,Retayl,No,None,Hjbrif
10,South America,High,Average,21,41,2,20,Software Engineer,,Yes,Weekly,Remote
5,Africa,Medium,Average,50,49,5,17,Project Manager,,Yes,Daily,Remote
4,Europe,High,Good,50,27,2,16,Data Scientist,Fynance,Yes,Weekly,Onsite
5,Asia,Low,Average,27,35,4,14,Marketing,Manufacturing,Yes,None,Hyprid
4,North America,Medium,Average,31,23,1,3,Software Engineer,Consulting,Yes,Weekly,Onsite
2,Africa,Low,Good,45,24,3,27,Designer,Finance,Yes,Daily,Hybrid
5,Africa,Medium,Poor,23,41,2,25,Sales,Education,Yes,Daily,Remode
1,Asia,Low,Good,42,41,3,32,Designer,IT,Yes,Weekly,Onsyte
8,Oceania,Medium,Good,37,43,2,16,Data Scientist,,No,Weekly,Onsite
1,South America,Low,Good,40,30,2,15,Sales,IT,Yes,Daily,Onsite
5,Africa,High,Good,23,44,2,26,HR,Rersil,Yes,Weekly,Onsite
7,North America,Medium,Poor,20,50,1,22,Marketing,Education,Yes,None,Remote
8,Asia,Medium,Poor,51,48,2,16,Designer,Manufacturing,No,Weekly,Remote
1,Asia,Low,Good,46,45,3,2,Marketing,IT,Yes,Daily,Onsite
4,Europe,Medium,Poor,37,60,1,6,HR,Education,Yes,Weekly,Remode
7,Africa,Low,Average,42,51,1,6,Project Manager,Education,No,None,Onsite
2,Europe,Low,Good,53,48,1,4,HR,Retail,Yes,Weekly,Hybrid
3,Africa,Low,Poor,26,43,4,25,Marketing,,Yes,Daily,Hybrid
3,South America,Medium,Good,48,23,3,31,Marketing,Educa5ion,No,None,On.
5,Asia,Low,Poor,58,32,4,1,Marketing,Education,Yes,None,
2,Asia,Medium,Poor,52,44,1,29,HR,Consulding,Yes,Daily,Hybrid
1,Oceania,High,Good,52,36,3,4,Marketing,Finance,No,None,Hybrid
3,Oceania,Low,Poor,49,50,1,2,Designer,Manufac.,Yes,Daily,Onsite
4,North America,High,Poor,55,54,5,19,Marketing,Consulting,No,Weekly,
3,Oceania,High,Average,33,54,4,13,Designer,Healthcare,Yes,Weekly,Remote
2,South America,High,Poor,24,33,1,2,HR,Healthcare,Yes,Daily,Onsite
5,North America,Low,Average,21,47,3,31,Sales,Consulting,Yes,None,Onsite
4,Africa,Low,Good,55,25,3,28,Software Engineer,4duxation,No,None,Remote
4,Europe,Medium,Average,44,38,1,25,Sales,Education,Yes,Daily,Remote
