Age,Weight (kg),Fat_Percentage
53,56.3,16.5
50,90.0,22.9
21,60.0,19.1
38,91.5,26.7
25,57.8,29.3
20,128.4,26.1
34,74.2,32.7
50,89.6,12.2
39,93.4,21.1
47,82.1,24.4
55,128.4,20.4
25,112.4,23.2
44,89.3,26.3
51,70.3,26.1
38,59.1,31.3
47,49.9,26.0
50,101.7,20.9
45,93.0,27.3
36,123.7,20.4
34,69.2,28.5
45,81.4,30.0
52,64.9,18.2
58,109.7,22.1
54,78.4,21.5
41,76.7,34.0
46,63.1,34.7
48,62.9,20.0
52,85.6,13.9
50,66.3,31.6
40,63.8,20.8
50,55.4,18.5
20,74.7,32.8
42,57.5,34.1
59,60.7,33.8
48,69.0,30.0
41,71.2,30.9
49,85.0,11.3
39,63.6,34.8
19,48.3,26.3
19,72.4,31.0
43,73.2,29.4
50,90.8,22.6
26,59.3,15.1
46,45.0,29.1
59,89.4,23.5
43,127.7,24.1
52,70.9,20.2
42,49.2,27.7
30,64.1,26.2
24,69.7,32.5
53,56.9,29.5
37,53.0,28.1
25,76.5,23.2
33,113.6,28.4
29,95.2,26.6
32,105.3,26.9
51,78.1,31.1
19,50.6,30.6
49,70.2,29.6
39,60.6,27.6
39,68.6,32.4
59,123.3,23.0
32,68.3,29.9
50,58.4,17.0
25,74.3,25.6
33,68.2,29.0
30,91.4,23.0
59,42.1,33.0
45,58.4,23.4
54,66.9,29.5
43,66.3,27.5
26,64.1,15.1
18,58.1,15.3
51,64.9,31.1
42,42.7,32.9
57,51.4,33.7
56,125.3,22.7
22,102.1,28.1
39,61.9,25.3
46,108.8,20.5
20,51.1,29.6
43,42.7,33.9
33,81.8,10.5
54,54.6,27.4
31,78.8,24.7
22,50.7,29.4
33,58.0,18.3
43,95.9,27.7
43,61.5,16.8
38,40.6,26.8
56,82.5,13.2
50,58.1,19.3
47,61.0,15.6
40,58.2,24.0
22,62.2,21.5
48,94.5,28.2
27,58.0,27.1
36,84.0,11.2
49,61.0,21.3
21,80.9,11.7
33,64.1,16.4
41,67.0,25.6
19,95.1,25.3
49,105.7,29.5
44,48.0,28.6
37,69.5,32.8
41,66.1,27.4
52,50.3,24.5
54,125.9,28.5
29,88.1,11.1
18,62.0,23.7
50,69.7,27.3
57,60.9,30.6
27,76.5,21.3
46,94.7,23.2
30,67.9,29.1
29,121.1,24.1
48,71.5,32.5
34,124.6,27.6
43,73.0,28.9
43,110.0,22.0
58,58.6,26.8
46,54.4,24.8
53,115.4,28.3
27,71.2,25.9
54,78.1,32.9
26,54.2,34.9
41,81.6,10.2
49,49.2,30.7
30,60.6,32.9
40,52.1,21.3
42,46.6,28.1
58,44.2,31.9
47,89.1,24.0
34,65.9,28.8
37,55.6,29.2
42,63.7,24.0
39,86.2,10.2
30,59.2,17.8
53,68.1,26.1
29,60.0,28.1
58,74.8,32.8
36,90.3,23.7
26,73.7,26.7
45,78.3,29.0
31,48.2,26.1
48,56.8,32.1
36,112.4,25.0
33,59.0,33.7
22,98.4,21.3
52,66.5,26.8
29,106.5,25.7
38,88.4,12.5
40,58.1,34.4
33,74.2,25.9
59,78.0,28.1
56,89.0,10.5
31,42.7,34.9
48,83.9,13.1
52,65.9,27.0
40,76.9,22.4
29,54.9,27.0
34,68.4,33.7
30,113.4,22.2
57,61.9,28.4
44,72.1,27.0
46,59.4,20.2
55,76.3,32.0
36,95.8,21.2
39,85.3,27.6
24,52.6,31.9
21,76.3,31.8
53,61.0,20.0
23,67.8,34.3
48,114.9,21.1
44,124.8,24.4
27,53.0,34.5
56,50.6,33.1
20,72.6,34.8
30,70.4,34.3
45,52.5,29.0
37,76.3,27.3
25,55.3,15.5
58,49.7,31.9
56,48.3,29.8
20,120.5,29.3
45,73.0,26.6
50,42.7,28.4
55,129.9,21.7
38,46.9,20.0
36,109.8,24.4
35,85.6,14.5
31,63.2,25.5
32,62.6,15.0
48,87.1,11.6
18,82.3,13.3
20,64.3,18.7
40,63.0,26.8
28,128.4,23.6
29,88.0,13.3
27,63.7,25.4
49,83.7,23.9
25,77.7,33.0
55,87.5,27.2
45,65.4,35.0
25,47.2,26.0
45,58.2,26.8
43,55.2,16.6
25,64.4,27.1
45,73.5,30.0
54,86.5,29.0
58,46.1,25.3
44,94.6,26.0
34,54.2,31.0
26,47.7,24.8
37,88.8,10.3
35,78.9,25.3
42,73.5,26.1
19,127.9,21.8
27,88.5,11.1
22,42.8,32.2
18,50.7,33.0
35,59.2,21.3
49,78.9,34.0
28,78.7,31.7
38,68.7,29.0
43,53.1,29.5
42,64.8,24.4
39,50.3,32.8
44,102.3,20.9
30,62.9,25.2
51,74.6,33.3
58,52.0,29.6
18,72.2,27.1
23,81.4,12.4
45,50.9,30.1
34,52.0,22.4
22,71.0,21.2
48,80.6,12.9
55,63.0,34.9
40,52.6,32.9
54,116.4,26.2
36,59.3,34.5
34,75.7,29.3
38,56.3,28.8
30,62.7,26.1
18,64.5,23.4
57,76.6,25.4
51,60.7,22.1
45,57.2,18.4
25,123.8,25.6
43,76.8,21.1
51,54.7,26.8
20,92.3,24.3
29,71.8,26.3
18,66.9,30.7
22,48.7,29.0
34,112.4,23.4
40,70.0,31.1
54,43.8,26.6
38,123.3,21.2
31,57.9,15.1
28,84.8,28.8
56,109.6,20.5
51,63.9,33.7
55,70.8,26.0
51,115.3,24.4
47,73.9,28.3
32,97.3,24.9
55,91.8,23.5
41,47.1,24.7
32,65.2,25.3
47,87.2,15.0
34,46.9,28.6
46,62.5,18.1
34,64.3,19.8
41,74.3,24.8
22,78.5,31.9
51,77.3,31.1
23,64.5,30.4
40,68.9,25.0
33,45.9,21.6
48,68.2,28.4
25,57.7,25.7
21,74.2,28.3
57,64.4,17.8
21,54.9,31.7
42,50.3,27.0
49,57.8,24.7
46,66.5,34.7
36,121.9,21.8
38,70.3,25.6
22,40.3,30.8
35,101.4,23.6
45,79.2,22.8
39,71.7,23.7
18,57.2,33.5
22,44.8,28.6
58,90.2,28.3
51,59.0,20.7
44,86.6,11.7
26,72.8,35.0
43,66.3,32.7
39,56.0,32.6
47,45.9,29.6
34,88.0,14.4
43,94.0,23.2
53,44.7,26.7
52,47.8,24.7
32,85.3,13.2
39,59.7,29.1
31,70.2,24.2
43,72.7,32.8
45,50.4,27.7
31,49.3,20.0
41,61.9,19.4
31,75.5,20.5
24,88.2,11.3
52,116.5,27.3
45,64.3,15.3
34,59.0,30.9
39,127.5,29.8
43,68.6,28.1
30,61.6,19.5
37,75.1,26.4
42,79.3,27.3
20,44.2,32.4
58,56.5,27.0
35,100.9,28.4
53,55.8,27.0
39,58.3,27.4
57,85.6,12.7
54,64.2,16.5
23,65.2,31.1
43,70.1,34.6
51,102.6,21.0
23,107.2,20.2
39,81.7,29.1
38,76.6,32.2
23,116.8,26.8
23,60.1,17.6
47,41.6,26.6
28,55.1,17.0
48,69.1,26.1
53,64.4,19.7
41,64.9,25.9
48,52.3,33.0
37,70.3,33.7
28,56.0,16.7
21,101.2,24.3
32,56.6,15.7
23,40.9,25.2
47,127.8,28.7
55,49.3,30.5
19,64.3,18.0
32,49.3,29.3
28,63.0,31.7
25,41.1,31.9
23,60.9,16.8
43,64.7,19.8
37,76.9,24.5
50,80.5,14.3
37,73.3,25.5
29,49.0,26.5
18,114.5,24.1
43,81.0,12.4
55,52.1,23.6
53,73.4,27.9
30,90.0,26.6
23,57.7,27.0
27,75.7,25.3
22,61.8,17.0
19,65.7,25.9
57,51.9,29.1
19,59.1,17.9
26,62.4,19.8
34,102.1,27.3
26,51.9,26.6
32,89.8,10.6
41,101.1,28.6
47,80.0,28.2
26,71.2,34.6
29,75.6,25.7
52,57.9,15.8
52,70.6,34.9
57,55.7,23.6
46,72.6,22.6
28,67.3,29.2
58,59.3,19.8
31,86.9,14.0
54,117.2,23.1
31,53.3,29.4
43,46.2,21.7
59,85.5,15.0
42,70.2,22.7
35,127.1,23.3
57,75.6,31.6
56,55.7,16.1
31,76.7,28.1
49,57.2,21.1
55,69.9,20.2
50,67.9,33.0
40,87.9,10.7
32,102.8,27.8
50,51.8,33.0
42,57.7,17.7
34,66.5,28.1
50,95.4,21.5
19,69.2,32.4
31,66.6,31.0
57,43.8,25.1
56,64.2,19.6
23,44.1,25.7
20,55.0,24.0
24,87.1,10.0
25,66.6,25.0
59,60.4,18.8
32,126.4,28.2
46,88.7,28.8
46,74.9,33.9
56,58.0,15.5
41,120.8,20.5
41,94.5,27.6
19,64.0,29.8
38,71.9,25.7
42,63.7,26.1
45,84.9,14.2
33,78.0,32.3
37,124.2,29.3
45,52.4,25.2
52,59.7,34.3
35,44.6,32.4
51,44.8,33.8
53,51.8,21.3
48,67.1,33.4
31,61.1,18.6
58,66.1,25.2
32,61.7,16.6
18,54.8,32.0
52,74.0,25.7
59,54.6,29.2
58,103.5,24.6
41,71.7,27.3
57,78.4,31.7
44,61.7,33.1
52,85.5,14.9
18,87.6,11.9
54,67.0,20.5
56,129.5,25.2
26,86.2,13.3
49,82.8,14.3
21,125.2,29.8
47,58.5,30.3
46,60.1,17.3
30,79.2,28.0
19,73.9,32.5
59,50.3,24.4
28,52.0,27.9
45,113.4,24.0
23,80.9,10.7
41,51.5,26.7
29,56.2,33.4
19,49.0,29.2
20,128.2,26.2
54,83.6,12.4
19,87.8,23.6
40,57.4,18.3
49,62.1,31.3
50,57.1,29.5
36,69.2,27.2
43,108.6,28.5
21,88.4,12.0
22,71.6,30.3
33,65.3,29.7
23,78.6,32.3
46,58.0,18.4
20,71.3,33.4
36,57.3,25.3
37,72.9,27.5
57,68.5,29.1
45,44.5,30.7
40,55.1,16.9
48,73.7,21.8
52,60.3,16.5
24,40.4,31.0
18,60.9,31.1
54,55.2,24.4
26,70.9,28.9
58,74.6,24.2
33,117.0,25.1
20,75.9,30.6
50,50.6,23.8
57,126.8,20.8
37,54.6,32.1
52,47.8,29.8
42,97.9,29.0
42,72.4,29.0
19,58.8,32.8
50,51.5,20.9
31,63.1,19.0
37,48.7,27.3
29,125.9,24.7
44,77.7,28.1
50,87.4,23.2
22,55.1,19.9
21,61.3,17.2
52,72.3,21.1
23,59.0,17.8
38,61.3,23.5
49,44.1,26.7
35,78.0,33.3
20,75.8,27.4
57,75.7,32.6
40,73.2,29.0
44,42.8,25.3
59,88.1,26.9
57,46.1,25.8
56,45.1,25.4
18,72.7,29.8
31,62.5,16.5
40,51.7,21.4
45,71.2,34.1
40,62.6,18.1
42,76.4,22.9
39,63.3,18.5
22,106.8,28.2
56,125.5,20.9
21,55.2,31.7
23,71.4,25.6
49,77.7,26.7
52,104.8,24.0
57,82.2,25.2
36,56.2,22.5
43,82.9,12.9
18,62.0,33.2
18,67.4,33.5
33,55.6,18.9
39,107.7,28.1
46,56.9,27.7
45,48.2,32.1
47,86.6,10.6
22,96.3,27.1
29,80.8,14.6
53,105.1,23.3
54,64.5,17.2
27,69.5,34.4
51,56.3,27.4
18,64.8,18.6
33,106.5,27.3
45,65.5,34.3
50,69.3,30.3
40,57.7,33.1
25,59.4,19.8
46,52.0,34.1
43,42.2,34.6
27,89.3,12.1
51,66.2,31.3
24,51.0,21.3
21,101.5,27.9
28,114.2,20.2
42,85.2,13.7
38,83.6,11.6
41,77.6,31.8
52,44.1,34.8
52,85.5,10.1
53,47.8,28.4
35,102.5,21.1
56,118.0,22.6
49,82.3,28.4
29,68.7,29.8
52,65.5,26.2
36,85.4,13.5
29,86.1,11.2
24,67.7,27.0
42,88.4,12.4
53,53.3,32.2
56,84.6,20.2
35,63.7,29.8
27,106.4,20.6
55,63.5,22.9
24,59.4,25.0
59,70.7,34.9
22,86.2,11.7
54,75.6,26.4
25,120.6,22.3
18,65.3,28.5
34,68.0,25.8
42,63.3,25.7
56,67.7,32.7
36,48.7,33.7
45,41.2,28.7
30,121.6,28.0
23,108.6,25.8
49,88.6,14.9
38,49.7,32.6
28,71.3,28.1
54,71.6,25.3
52,70.6,26.1
37,73.5,27.5
33,53.7,29.5
41,82.8,11.2
53,73.5,26.3
45,89.6,12.4
53,68.5,23.2
50,52.2,28.2
30,101.0,28.2
46,47.9,26.3
52,79.9,31.5
22,88.5,10.7
47,43.4,25.3
50,64.5,28.1
50,56.5,19.2
38,85.8,10.1
22,58.3,32.6
27,61.6,26.4
27,108.0,28.6
26,55.7,21.7
18,125.9,20.6
49,81.4,13.6
48,73.0,32.0
56,93.6,29.0
47,66.2,22.8
47,40.0,26.7
32,84.0,25.8
19,82.4,10.1
44,60.4,32.6
51,49.3,28.3
50,73.6,33.9
22,72.1,25.1
21,110.7,27.0
27,102.6,26.5
27,80.7,14.3
37,87.8,10.3
19,72.0,24.7
30,77.9,27.9
28,69.6,27.8
28,79.6,28.2
20,83.0,29.6
44,82.5,13.8
49,70.2,32.5
59,75.8,33.1
23,47.4,33.5
29,84.9,14.3
43,95.7,24.2
31,60.5,15.0
43,53.8,30.2
25,95.6,23.8
40,81.7,27.0
43,66.5,27.1
20,74.8,25.0
40,72.2,29.2
42,72.9,25.7
54,58.4,32.5
27,89.3,12.7
56,90.2,22.6
42,56.7,27.4
34,64.5,27.8
21,72.6,34.2
27,76.7,29.1
25,81.7,13.8
36,60.0,18.2
58,75.4,26.0
54,56.5,15.3
50,61.6,25.5
21,93.7,27.8
47,127.1,24.9
41,66.8,29.2
20,71.3,25.4
48,129.2,21.4
57,96.3,27.6
54,67.5,25.2
19,46.8,34.4
45,80.8,11.4
43,40.5,32.9
36,57.7,19.4
28,86.9,24.9
20,85.7,10.5
40,80.3,13.1
30,120.3,23.9
37,66.9,26.5
28,58.3,28.2
55,118.6,25.9
52,84.8,23.4
48,73.1,28.0
22,117.3,28.5
28,72.9,34.7
25,63.8,31.6
47,98.2,22.9
42,86.3,11.4
25,62.6,27.9
57,96.1,21.6
