Ag,xR_Gender,Wei(k,He(m,MB,Avg_BPM,w_Resting_BPM,Session_Duration (hours),Calories_Burned,t87_Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),N_Experience_Level,BMI
19,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,27.7,1.6,3,1,22.78
23,Male,114.8,1.6,182,163,60,1.47,1318.0,Cardio,21.7,2.7,2,2,44.84
59,,65.5,1.52,161,162,61,1.4,1021.0,Yoga,31.2,2.1,3,2,28.35
21,Female,50.3,1.52,171,154,59,1.08,832.0,Cardio,32.2,2.6,3,1,21.77
46,Female,61.0,1.71,181,127,61,1.67,1150.0,Cardio,17.8,2.7,4,3,20.86
43,Female,58.2,1.61,179,150,54,1.04,580.0,Strength,26.4,2.6,3,2,22.45
27,Male,87.5,1.63,183,135,74,1.75,1299.0,Strength,12.9,3.5,4,3,32.93
31,Female,64.4,1.7,160,144,70,1.97,1418.0,Strength,17.3,2.7,5,3,22.28
40,Male,106.5,1.65,162,162,74,1.32,1176.0,HIIT,21.0,3.6,4,1,39.12
57,Female,64.0,1.52,170,129,52,1.73,1004.0,Strength,15.2,2.7,5,3,27.7
43,Female,61.4,1.54,183,131,69,1.47,963.0,HIIT,30.6,2.7,3,2,25.89
35,Male,70.1,1.69,185,125,63,1.08,743.0,Cardio,28.0,2.3,3,2,21.88
41,,94.1,1.62,172,139,50,1.13,777.0,Cardio,23.4,3.1,4,2,35.86
43,Male,55.5,1.82,160,124,66,1.08,663.0,,20.1,2.0,3,1,16.76
42,Female,53.7,1.72,187,142,74,1.37,875.0,Cardio,29.8,1.6,3,1,18.15
46,,103.9,1.77,194,148,54,1.18,864.0,Yoga,20.9,2.9,2,1,33.16
18,Female,52.3,1.74,187,165,58,1.2,990.0,Cardio,29.4,2.2,2,1,17.27
42,Female,59.5,1.74,195,141,52,1.78,1129.0,Y.,16.4,2.7,5,3,19.65
24,Female,72.9,1.76,175,127,68,0.86,546.0,Yoga,30.8,1.5,3,1,23.53
26,Female,76.7,1.63,199,139,67,1.08,751.0,Strength,25.6,1.7,2,1,28.87
41,Male,72.1,1.83,175,133,58,1.13,744.0,Yoga,21.4,2.8,4,2,21.53
25,Male,105.0,1.88,174,156,67,1.34,1150.0,Cardio,21.4,2.3,3,2,29.71
41,Female,55.0,1.55,175,169,65,1.45,1103.0,Strength,31.4,2.0,4,2,22.89
28,Male,81.6,1.66,174,153,50,1.09,917.0,Yoga,20.5,3.5,4,2,29.61
34,Female,75.6,1.6,193,128,51,0.64,416.0,HIIT,29.1,2.7,2,1,29.53
45,Male,81.5,1.61,170,159,63,1.93,1688.0,HIIT,10.9,3.5,4,3,31.44
52,Female,61.5,1.69,193,152,63,1.8,1231.0,Cardio,15.5,2.7,4,3,21.53
50,Female,56.4,1.59,185,163,74,1.26,924.0,HIIT,34.3,2.6,3,1,22.31
22,Male,102.6,1.84,163,153,65,1.25,1052.0,Strength,20.5,2.7,3,2,30.3
56,Male,129.0,1.78,194,126,64,1.29,805.0,Yoga,28.72,2.7,2,1,40.71
45,,59.4,1.51,169,142,65,1.15,735.0,Strength,33.1,1.9,4,2,26.05
24,Female,60.1,1.79,170,165,63,1.97,1625.0,Cardio,15.9,2.7,4,3,18.76
26,Male,77.7,1.62,177,126,73,1.16,804.0,,29.6,3.0,3,2,29.61
25,Female,41.2,1.8,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4,2,15.7
29,Male,58.6,1.61,198,122,72,1.2,805.0,Yoga,23.4,2.0,1,2,22.61
51,Male,109.3,1.78,182,157,64,0.54,420.0,Strength,28.7,3.3,3,1,34.5
50,Male,69.6,1.96,166,139,68,0.97,667.0,Strength,25.6,2.0,3,1,18.12
40,Female,56.2,1.79,198,153,57,1.79,1369.0,Yoga,17.6,2.7,5,3,17.54
54,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5,3,23.09
52,Female,79.4,1.59,166,163,59,0.64,1020.0,Strength,26.6,1.5,3,2,31.41
39,Female,55.4,1.6,192,136,72,1.44,979.0,HIIT,26.3,1.6,3,2,21.64
52,Male,82.4,1.72,166,137,53,1.01,685.0,Strength,24.4,2.7,4,2,27.85
31,Female,42.3,1.6,163,163,70,1.09,888.0,Cardio,25.1,1.9,3,2,16.52
20,Male,82.7,1.99,179,146,59,1.69,1357.0,HIIT,14.6,3.5,5,3,20.88
18,Male,92.4,1.74,191,168,50,1.41,1303.0,Yoga,21.3,3.1,2,1,30.52
22,Female,63.2,1.54,191,155,53,1.02,790.0,Cardio,29.5,2.4,4,1,26.65
43,Male,82.7,1.85,187,142,50,1.22,858.0,Yoga,28.2,3.1,4,2,24.16
31,Male,86.6,1.76,172,151,66,1.29,1071.0,Strength,28.9,3.3,3,2,27.96
44,Male,124.01,1.83,194,130,56,1.28,824.0,Cardio,25.7,3.5,4,2,29.26
32,Male,78.6,1.62,195,125,69,1.28,880.0,Yoga,29.6,3.1,3,1,29.95
49,Female,59.0,1.66,184,160,64,0.51,408.0,Cardio,31.0,1.8,2,1,21.41
59,Male,122.3,1.89,178,153,51,0.66,500.0,Yoga,20.1,3.1,3,1,34.24
30,Male,85.3,1.95,160,155,68,1.61,1373.0,Yoga,10.4,2.99,5,3,22.43
49,Female,45.2,1.74,164,156,73,1.24,870.0,Strength,30.8,2.1,4,2,14.93
56,Male,55.6,1.92,181,136,62,0.68,458.0,Strength,29.4,3.2,3,1,15.08
54,Male,86.1,1.95,195,140,64,1.17,811.0,Y.,27.9,3.4,2,1,22.64
40,Female,63.5,1.61,163,159,59,1.31,1041.0,Cardio,33.4,1.6,4,2,24.5
56,Male,69.3,1.68,195,138,60,0.66,451.0,Yoga,26.5,2.1,2,1,24.55
53,Male,94.1,1.95,177,138,50,0.89,608.0,HIIT,28.6,3.5,3,1,24.75
49,Male,115.3,1.91,161,125,61,1.38,854.0,HIIT,29.2,3.2,2,1,31.61
39,Male,62.0,1.64,195,127,54,0.97,678.0,Cardio,27.5,3.2,3,1,23.05
23,Male,88.5,1.78,198,167,67,1.53,1265.0,HIIT,13.2,3.5,4,3,27.93
26,Male,83.1,1.8,185,162,56,0.7,624.0,Strength,29.3,3.1,3,1,25.65
37,Male,103.5,1.89,175,168,57,0.54,499.0,Cardio,26.4,3.1,2,1,28.97
47,Female,61.9,1.54,190,131,61,1.95,1150.0,Yoga,37.83,2.7,4,3,26.1
42,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,28.5,3.4,5,2,16.04
56,Female,40.4,1.8,196,165,72,1.28,913.0,Cardio,30.0,2.1,4,2,12.47
50,Female,67.1,1.75,176,120,59,0.67,362.0,Cardio,31.8,2.7,3,1,21.91
18,Mal.,70.0,1.61,173,168,71,1.3,1201.0,Strength,23.9,2.5,2,1,27.01
44,Female,69.5,1.75,192,155,69,1.02,711.0,HIIT,27.6,2.1,3,1,22.69
30,Male,107.9,1.66,194,140,64,1.08,832.0,Cardio,29.5,2.8,3,2,39.16
58,Male,109.0,1.91,198,156,56,1.42,1151.0,Yoga,26.0,2.2,3,2,29.88
56,Male,88.5,1.85,161,144,59,1.57,1119.0,Cardio,11.0,3.5,4,3,25.86
25,Female,59.78,1.62,196,161,65,1.04,837.0,HIIT,33.6,1.8,4,2,16.42
44,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5,2,25.58
54,Female,45.96,1.78,163,149,72,1.27,852.0,Cardio,27.7,1.8,2,1,22.82
50,Male,51.1,1.98,171,126,52,0.92,574.0,Yoga,28.0,2.4,2,1,13.03
12,Male,89.4,1.72,188,152,67,1.08,813.0,Yoga,24.5,3.2,3,1,30.22
32,Male,87.9,1.88,173,143,64,1.52,1195.0,Cardio,11.6,3.5,5,1,24.87
49,Female,42.0,1.52,171,130,70,1.1,644.0,HIIT,28.8,2.2,3,1,18.18
49,Male,79.2,1.72,194,125,69,1.46,925.0,Yoga,29.9,3.3,3,1,26.77
58,Female,63.0,1.78,176,154,73,1.58,1095.0,HIIT,17.5,2.7,4,3,19.88
34,Female,56.2,1.77,192,138,59,1.81,1249.0,Cardio,17.3,2.7,5,3,17.94
54,Male,114.9,1.92,188,135,71,1.2,802.0,HIIT,20.7,2.6,3,2,31.17
18,Male,68.1,1.8,174,153,50,1.1,926.0,Yoga,25.4,3.3,4,2,21.02
49,Female,40.0,1.65,188,148,74,1.45,686.0,Yoga,34.3,2.5,3,2,14.69
23,Female,41.9,1.58,163,132,67,0.56,370.0,HIIT,26.8,1.8,2,1,16.78
28,Female,68.3,1.52,177,150,60,1.45,979.0,Strength,29.4,1.8,4,2,29.56
28,Male,48.86,1.9,175,158,56,1.18,1025.0,HIIT,24.1,3.0,3,1,18.28
55,Male,75.6,1.71,173,130,57,1.03,663.0,Strength,28.1,2.0,4,2,25.85
41,Female,63.4,1.82,162,153,55,1.84,1267.0,HIIT,15.2,2.7,5,3,25.08
51,F.,57.4,1.77,177,123,72,1.08,598.0,Yoga,31.6,2.1,4,2,18.32
23,Male,83.8,1.99,179,130,71,1.79,1280.0,Cardio,11.0,3.5,4,3,21.16
28,Male,87.0,1.76,197,121,60,1.2,799.0,Yoga,28.4,3.5,3,2,28.09
50,Male,45.4,1.67,163,165,62,1.37,1071.0,Yoga,24.1,2.8,4,2,16.28
37,Male,49.1,1.74,193,138,52,1.11,842.0,Yoga,22.3,2.6,3,2,16.22
53,Female,78.3,1.65,164,126,50,1.24,703.0,HIIT,33.7,1.6,3,1,28.76
43,Female,48.4,1.61,190,127,69,1.28,732.0,Cardio,34.1,2.4,2,1,18.67
20,Male,76.4,1.62,168,132,51,1.35,980.0,Cardio,21.2,2.6,4,2,29.11
36,Male,110.2,1.77,191,156,74,1.23,1021.0,HIIT,26.5,3.4,2,1,35.18
24,Female,58.9,1.76,189,130,73,0.63,410.0,HIIT,30.1,1.7,3,1,19.01
58,Male,82.2,1.87,171,143,55,1.57,1111.0,HIIT,32.23,3.5,4,3,23.51
50,Male,96.7,1.72,188,125,62,1.87,903.0,Strength,25.7,2.7,3,2,32.69
56,Male,107.8,1.73,185,126,50,1.09,680.0,Yoga,26.6,2.8,3,1,36.02
35,Female,65.8,1.62,189,158,69,1.0,790.0,Cardio,33.8,1.5,4,2,25.07
18,Female,63.9,1.59,185,125,50,1.87,1169.0,Strength,18.63,2.7,4,3,25.28
28,Male,76.3,1.62,161,162,70,1.16,1034.0,,20.1,2.3,3,2,29.07
42,Female,50.7,1.75,163,162,51,1.29,940.0,Strength,29.0,1.9,3,2,16.56
47,Male,55.6,1.77,198,138,68,1.2,820.0,Cardio,24.3,2.9,4,2,17.75
59,Male,86.9,1.76,194,123,60,1.13,688.0,Strength,29.8,3.1,3,2,28.05
33,Female,78.5,1.66,161,156,69,0.9,1006.0,HIIT,32.8,1.9,4,2,28.49
37,Male,102.6,1.72,190,147,58,0.82,597.0,Strength,27.5,2.0,2,1,34.68
29,Male,55.7,1.61,177,128,51,1.41,993.0,Strength,28.7,2.3,3,1,21.49
22,Male,110.5,1.92,172,144,55,1.16,919.0,HIIT,20.2,3.3,3,2,29.98
49,Male,46.5,1.72,169,120,72,1.4,832.0,Yoga,22.2,2.6,4,2,15.72
52,Male,45.1,1.72,196,129,70,0.93,594.0,Cardio,27.5,3.3,2,1,15.24
36,Male,99.9,1.99,189,147,73,1.57,1075.0,Yoga,20.9,2.5,3,1,25.23
37,Female,71.2,1.64,162,120,73,1.11,666.0,HIIT,29.9,1.7,3,2,26.47
41,Male,78.8,1.72,172,132,62,1.01,660.0,Cardio,27.3,3.1,4,2,26.64
41,Male,82.5,1.79,185,139,61,1.69,1163.0,Cardio,14.7,3.5,4,3,25.75
28,Male,108.5,1.79,183,120,68,1.33,878.0,HIIT,24.8,2.1,4,2,33.86
25,Male,49.9,1.98,165,122,68,1.15,772.0,Yoga,25.7,2.1,3,2,12.73
53,Male,125.1,1.91,171,137,70,0.52,353.0,Strength,28.3,3.1,2,1,34.29
55,Female,79.7,1.66,195,160,68,1.06,763.0,Cardio,27.8,1.9,2,1,28.92
52,Female,63.1,1.54,185,165,67,1.36,1010.0,,34.8,1.8,3,2,26.61
46,Female,58.9,1.7,180,155,53,1.52,1060.0,Strength,17.1,2.7,3,3,20.38
35,Female,50.4,1.6,195,156,59,1.03,803.0,Cardio,29.1,1.9,4,2,19.69
35,Female,64.2,1.59,199,145,66,1.63,1182.0,Yoga,16.6,2.7,5,3,25.39
52,Male,105.2,1.62,189,141,61,1.36,949.0,HIIT,27.6,3.2,3,1,40.09
33,Female,45.9,1.5,189,144,62,0.92,662.0,Yoga,29.8,1.7,3,1,20.4
58,Female,65.2,1.63,178,121,53,1.12,610.0,HIIT,25.4,2.0,3,2,24.54
53,Female,56.3,1.78,193,141,59,1.52,964.0,Strength,16.5,2.7,5,3,17.57
50,Male,90.0,1.7,168,124,74,0.81,497.0,Cardio,22.9,2.7,2,1,31.14
21,Female,60.0,1.7,179,123,52,1.97,1212.0,Strength,19.1,2.7,5,3,20.76
38,Male,91.5,1.77,178,140,74,0.8,616.0,Yoga,26.7,3.4,2,1,29.21
25,Female,57.8,1.56,170,156,66,1.35,1053.0,Yoga,29.3,1.89,3,2,23.75
20,Male,128.4,1.92,167,145,57,0.63,502.0,Cardio,26.1,2.0,2,1,34.83
34,Female,74.2,1.57,178,158,52,1.47,1161.0,Cardio,32.7,2.4,3,1,30.1
50,Male,89.6,1.68,182,139,53,1.79,1232.0,Cardio,12.2,3.5,5,3,31.75
39,Male,93.4,1.83,191,155,50,1.1,938.0,Strength,21.1,2.5,4,2,32.32
47,Male,82.1,1.84,185,136,65,1.37,922.0,Strength,24.4,3.4,4,2,24.25
55,Male,128.4,1.68,178,165,52,1.13,923.0,Cardio,20.4,2.6,4,2,45.49
25,,112.4,1.96,188,135,72,1.42,1054.0,Cardio,23.2,2.5,2,1,29.26
44,Male,89.3,1.99,192,135,58,1.4,936.0,HIIT,26.3,2.0,4,2,22.55
51,Female,70.3,1.55,178,139,54,1.71,876.0,Yoga,26.1,1.6,3,1,29.26
38,Female,59.1,1.61,196,148,68,1.07,792.0,Cardio,31.3,1.7,3,2,19.98
47,Female,49.9,1.69,178,147,64,1.48,979.0,HIIT,26.0,1.7,3,2,17.47
50,Male,101.7,1.67,192,127,57,0.53,333.0,HIIT,20.9,2.9,2,1,36.47
45,Male,93.0,1.91,175,143,55,1.03,729.0,Cardio,27.3,3.7,3,2,25.49
36,Male,123.7,1.69,185,138,73,1.3,987.0,Cardio,20.4,2.1,4,2,43.31
34,Female,69.2,1.53,167,134,59,1,911.0,HIIT,28.5,2.1,2,1,29.56
45,Male,70.76,1.61,164,141,55,1.14,796.0,Cardio,30.0,2.2,4,2,31.4
52,Female,64.9,1.51,163,165,68,1.83,1359.0,HIIT,18.2,2.7,4,3,28.46
58,Male,109.7,1.75,181,168,54,1.01,840.0,HIIT,22.1,2.7,2,1,35.82
54,Male,78.4,1.9,174,146,72,0.81,585.0,Yoga,30.83,3.7,2,1,21.72
41,Female,76.7,1.79,172,154,56,1.4,832.0,Yoga,34.0,2.0,4,2,23.94
46,Female,63.1,1.61,187,152,68,1.0,684.0,,34.7,2.2,4,2,24.34
48,,62.9,1.58,192,124,69,1.98,1105.0,Strength,20.0,2.7,4,3,25.2
52,Male,85.6,1.74,182,145,56,1.84,1321.0,Yoga,13.9,3.5,4,3,28.27
50,Female,66.3,1.57,192,132,73,1.25,742.0,,31.6,1.6,2,1,26.9
40,Male,63.8,1.62,185,143,72,1.3,1022.0,HIIT,20.8,3.4,2,1,24.31
24,Female,55.4,1.55,175,122,65,1.85,1016.0,Strength,18.5,2.7,4,3,23.06
20,Female,74.7,1.58,172,166,62,1.04,863.0,Strength,32.8,2.4,3,2,29.92
42,Female,57.5,1.67,192,149,55,1.14,764.0,,34.1,2.4,2,1,20.62
59,F.,60.7,1.73,185,154,55,1.03,714.0,Yoga,33.8,2.5,3,2,20.28
48,Ma.,69.0,1.74,160,167,58,1.48,1223.0,HIIT,30.0,2.3,3,2,22.79
41,Female,71.2,1.64,165,147,54,1.42,939.0,HIIT,30.9,2.3,3,2,26.47
49,Male,85.0,1.68,197,163,74,1.82,1468.0,HIIT,11.3,3.5,4,3,30.12
39,Female,63.6,1.56,183,148,66,1.22,903.0,Strength,34.8,2.4,2,1,26.13
19,Female,48.3,1.52,186,136,56,0.96,653.0,Strength,26.3,1.6,2,1,20.91
46,Female,72.4,1.75,169,140,64,1.2,840.0,Cardio,31.0,1.7,4,2,23.64
43,Male,73.2,1.88,176,142,63,1.17,822.0,Cardio,29.4,3.3,3,1,20.71
50,Male,90.8,1.71,173,153,62,1.07,810.0,Yoga,22.6,3.4,4,2,31.05
26,Female,59.3,1.51,181,141,71,1.7,1096.0,Strength,15.1,2.7,5,3,26.01
46,Male,45.0,1.77,185,162,58,1.48,1187.0,Cardio,29.1,3.6,3,3,14.36
59,Male,89.4,1.62,198,125,59,1.62,885.0,Strength,23.5,3.6,3,2,34.06
43,Male,127.7,1.69,171,155,53,0.98,875.0,Cardio,24.1,2.9,3,2,44.71
52,Male,70.9,1.72,194,143,66,1.31,927.0,Strength,20.2,2.6,3,2,23.97
42,Female,49.2,1.5,173,131,63,1.15,678.0,HIIT,26.66,1.5,3,2,21.87
30,Male,64.1,1.87,182,142,59,0.64,500.0,Yoga,26.2,2.1,2,1,18.33
24,Female,69.7,1.75,166,146,76,1.41,1029.0,Cardio,32.5,2.0,3,1,22.76
53,Female,56.9,1.59,199,164,65,1.49,1100.0,HIIT,29.5,2.0,3,2,22.51
37,Female,53.0,1.71,184,156,50,1.13,881.0,Yoga,28.1,1.7,4,2,18.13
25,Male,76.5,1.96,180,120,59,0.67,442.0,Strength,23.2,2.3,3,1,19.91
33,Male,113.6,1.99,169,149,58,1.38,949.0,Strength,28.4,3.4,2,1,28.69
43,Male,95.2,1.86,174,141,52,0.64,496.0,Yoga,26.6,2.5,2,1,27.52
32,Male,105.3,1.67,162,143,72,0.57,448.0,Cardio,26.9,2.9,3,1,37.76
51,Female,78.1,1.51,193,134,74,0.92,555.0,,31.1,2.6,3,1,34.25
19,Female,50.6,1.68,193,145,64,1.21,877.0,Yoga,30.6,2.1,3,2,17.93
49,Male,94.1,1.89,194,127,51,0.7,440.0,Yoga,29.6,2.6,3,1,19.65
39,Female,60.6,1.65,162,167,64,0.92,768.0,HIIT,27.6,1.7,3,1,22.26
39,Female,96.72,1.64,162,154,53,1.33,1024.0,Cardio,32.4,1.5,3,2,25.51
59,Male,123.3,1.88,177,161,67,1.3,1036.0,HIIT,23.0,2.6,4,2,34.89
32,Male,68.3,1.92,168,165,54,1.24,1289.0,Strength,29.9,3.5,2,1,18.53
50,Female,58.4,1.79,164,131,56,1.6,943.0,HIIT,17.0,2.7,4,3,18.23
25,Female,74.3,1.71,162,157,64,1.43,1123.0,Yoga,25.6,1.6,3,2,25.41
33,Female,68.2,1.75,177,150,71,0.85,638.0,Strength,29.0,1.7,2,1,22.27
30,Male,91.4,1.99,171,152,60,1.37,1145.0,HIIT,23.0,3.7,3,2,23.08
59,Female,42.1,1.65,172,132,59,1.22,725.0,Strength,33.0,2.2,2,1,15.46
45,,58.4,1.72,194,150,65,1.31,973.0,HIIT,23.4,3.1,4,2,19.74
54,Female,66.9,1.74,195,129,62,1.24,720.0,HIIT,29.5,2.07,2,1,22.1
43,Male,66.3,1.85,170,121,58,1.18,707.0,Cardio,27.5,3.2,2,1,19.37
26,Female,64.1,1.5,189,134,60,1.93,1293.0,Strength,15.1,2.7,5,3,28.49
18,Female,58.1,1.61,175,150,64,1.9,1425.0,Yoga,15.3,2.7,4,3,22.41
51,Female,64.9,1.6,169,125,70,1.49,838.0,Yoga,31.1,2.5,4,2,25.35
42,Female,42.7,1.74,161,130,71,1.04,608.0,Strength,32.9,1.6,3,1,14.1
57,Female,51.4,1.63,183,134,73,1.2,724.0,Yoga,27.38,2.0,4,2,19.35
56,Male,125.3,1.86,148,129,64,1.0,639.0,Yoga,22.7,2.2,3,2,36.22
22,Male,102.1,1.85,190,157,67,1.48,1278.0,C.,28.1,2.4,4,2,29.83
39,Male,61.9,1.77,199,166,69,1.32,1205.0,Strength,25.3,2.3,3,1,19.76
46,Male,108.8,1.64,185,169,63,1.4,1171.0,Strength,20.5,3.4,3,1,40.45
20,Female,76.63,1.58,188,169,64,0.5,422.0,Yoga,29.6,1.6,2,1,20.47
43,Female,42.7,1.66,173,134,53,0.73,440.0,Yoga,33.9,1.9,2,1,15.5
33,Male,81.8,1.99,184,137,51,1.59,1198.0,Strength,10.5,3.5,4,3,20.66
54,Male,54.6,1.76,160,137,56,1.28,868.0,Cardio,27.4,3.01,4,2,17.63
31,Male,78.8,1.71,177,121,59,1.49,992.0,HIIT,24.7,2.5,4,2,26.95
22,Female,50.7,1.59,197,139,66,1.27,883.0,Strength,29.4,1.8,3,2,20.05
33,Female,58.0,1.53,180,126,50,1.84,1159.0,Strength,18.3,2.7,5,3,24.78
43,Male,95.9,1.85,186,157,64,1.28,995.0,Yoga,27.7,3.4,2,1,28.02
43,Female,61.5,1.58,165,149,50,1.86,1247.0,HII.,16.8,2.7,5,3,24.64
38,Female,40.6,1.79,195,161,53,0.62,499.0,Cardio,26.8,2.7,2,1,12.67
56,Male,82.5,1.87,187,124,74,1.51,927.0,Yoga,13.2,3.5,5,2,23.59
50,Female,58.1,1.58,199,120,50,1.06,1042.0,Yoga,19.3,2.7,5,3,23.27
47,Female,61.0,1.76,162,153,54,1.54,1060.0,HIIT,15.6,2.7,5,3,19.69
40,Male,58.2,1.98,198,138,74,1.43,1085.0,Cardio,24.0,2.5,3,2,14.85
22,Male,62.2,1.84,161,140,65,0.51,393.0,Strength,21.5,2.3,3,1,18.37
35,Male,94.5,1.7,189,140,64,1.01,700.0,Cardio,28.2,3.5,3,2,32.7
27,Female,58.0,1.79,164,119,73,1.39,994.0,Cardio,27.1,1.5,2,1,18.1
36,Male,84.0,1.94,168,123,50,1.8,1218.0,HIIT,11.2,3.5,2,3,22.32
49,Male,61.0,1.87,180,131,61,1.14,739.0,Strength,21.3,3.0,4,2,17.44
21,Male,80.9,1.9,194,137,55,1.8,1356.0,Yoga,11.7,3.5,4,3,22.41
55,Female,64.1,1.63,186,120,74,1.58,948.0,Strength,16.4,2.7,5,3,24.13
41,Male,67.0,1.77,161,149,65,1.22,900.0,HIIT,25.6,2.6,3,2,21.39
19,Male,95.1,1.85,190,143,50,1.21,952.0,Yoga,25.3,2.3,4,1,27.79
49,Male,105.7,1.64,198,155,59,1.2,921.0,Cardio,29.5,3.1,3,2,39.3
44,Female,48.0,1.76,189,124,52,0.88,491.0,,28.6,2.6,2,1,15.5
54,Female,69.5,1.5,196,130,66,0.69,448.0,Cardio,32.8,2.4,2,1,30.89
41,Male,66.1,1.69,187,143,68,0.77,545.0,Yoga,27.4,3.4,2,1,23.14
52,Male,50.3,1.78,170,132,67,0.85,555.0,HIIT,24.5,2.3,2,1,15.88
54,Male,125.9,1.94,199,132,73,1.35,882.0,Strength,28.5,2.9,3,2,33.45
29,Male,88.1,1.93,186,143,66,1.88,1479.0,Cardio,11.1,3.5,5,3,23.65
18,Male,62.0,1.85,161,121,53,0.88,586.0,Strength,23.7,3.0,3,1,18.12
50,Female,69.7,1.72,198,135,66,1.24,753.0,Strength,27.3,2.0,4,2,23.56
57,Female,60.9,1.52,177,157,66,1.31,926.0,Strength,30.6,1.8,3,2,26.36
27,Male,76.5,1.97,180,165,71,1.13,1025.0,Strength,21.3,2.3,2,1,19.71
46,Male,94.7,1.82,164,120,69,0.72,873.0,Cardio,23.2,3.2,3,2,28.59
30,Male,67.9,1.75,180,168,67,1.25,1155.0,Y.,29.1,3.1,2,1,22.17
29,Male,121.1,1.87,188,130,52,1.31,937.0,HIIT,24.1,3.2,4,2,34.63
48,Female,94.73,1.64,179,154,60,1.46,1012.0,Yoga,32.5,1.9,4,2,26.58
34,Male,124.6,1.63,161,136,66,1.02,1055.0,HIIT,27.6,2.8,3,2,46.9
28,Female,73.0,1.59,191,158,67,1.31,931.0,Yoga,28.9,2.2,3,1,28.88
43,Male,110.0,1.76,160,122,50,1.09,658.0,Yoga,33.05,3.4,3,1,35.51
58,Male,58.6,1.66,172,161,60,1.21,964.0,HIIT,26.8,2.9,2,1,21.27
46,Male,54.4,1.72,194,161,73,0.91,725.0,Cardio,24.8,2.9,2,1,18.39
