Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Fat_Percentage,Water_Intake (liters)
87.5,1.63,183,135,74,1299.0,12.9,2.6
64.4,1.7,160,144,70,1418.0,17.3,2.7
106.5,1.65,162,162,74,1176.0,21.0,3.6
64.0,1.52,170,202,52,1004.0,15.2,2.7
61.4,1.54,183,131,69,963.0,30.6,2.7
70.1,1.79,185,125,63,743.0,28.0,2.3
94.1,1.62,172,139,50,777.0,23.4,3.1
55.5,1.82,160,124,66,663.0,20.1,2.0
53.7,1.72,183,142,74,875.0,29.8,1.6
103.9,1.77,194,148,54,864.0,20.9,5.56
52.3,1.74,187,165,58,990.0,29.4,2.67
59.5,1.74,195,141,52,1129.0,16.4,2.7
72.9,1.76,175,127,68,546.0,30.8,1.5
76.7,1.63,199,139,72,751.0,25.6,1.7
72.1,1.83,175,133,58,744.0,21.4,1.49
105.0,1.88,174,156,67,1150.0,21.4,2.3
55.0,1.55,175,169,65,1103.0,31.4,2.0
81.6,1.66,174,187,50,917.0,20.5,3.5
75.6,1.6,193,130,51,416.0,29.1,2.7
81.5,1.61,170,159,63,1688.0,10.9,3.5
61.5,1.69,160,152,63,1231.0,15.5,2.36
56.4,1.59,185,142,74,924.0,34.3,2.6
102.6,1.84,163,153,77,1052.0,20.5,2.7
129.0,1.78,194,126,53,805.0,27.1,2.7
59.4,1.51,169,142,65,735.0,33.1,1.9
60.1,1.79,170,195,63,1625.0,15.9,2.7
77.7,1.62,177,151,73,804.0,29.6,3.0
41.2,1.62,193,144,64,1073.0,28.9,2.1
58.6,1.61,198,189,72,805.0,23.4,2.0
109.3,1.78,182,157,64,420.0,28.7,2.5
69.6,1.96,166,139,68,667.0,25.6,2.0
56.2,1.79,198,153,57,1369.0,17.6,2.7
86.0,1.93,171,163,51,1404.0,12.9,3.5
79.4,1.59,166,163,59,1020.0,26.6,1.5
55.4,1.6,192,136,72,979.0,26.3,1.6
82.4,1.72,166,137,53,685.0,24.4,2.7
42.3,1.6,163,163,70,888.0,25.1,1.9
82.7,1.99,179,146,92,1357.0,14.6,3.5
92.4,1.74,195,168,50,1303.0,21.3,3.1
63.2,1.54,191,155,53,790.0,29.5,2.4
82.7,1.85,187,142,50,858.0,28.2,3.1
86.6,1.76,172,151,66,1071.0,28.9,3.3
98.0,1.83,194,130,56,824.0,25.7,3.5
78.6,1.62,195,125,69,880.0,29.6,3.1
59.0,1.66,184,160,64,408.0,31.0,1.8
122.3,1.89,178,153,51,500.0,20.1,3.1
85.3,1.95,160,155,68,1373.0,10.4,3.5
45.2,1.74,164,156,93,870.0,30.8,2.1
55.6,1.92,181,136,62,458.0,29.4,3.2
86.1,1.95,195,140,64,811.0,27.9,3.4
63.5,1.61,163,159,59,1041.0,33.4,1.6
69.3,1.68,195,138,58,451.0,26.5,2.1
94.1,1.95,177,199,50,608.0,28.6,3.5
115.3,1.91,161,125,61,854.0,29.2,3.2
62.0,1.64,195,127,54,678.0,27.5,3.2
88.5,1.78,198,182,67,1265.0,13.2,3.5
83.1,1.8,185,162,56,624.0,29.3,3.1
103.5,1.89,175,168,57,499.0,26.4,3.1
61.9,1.54,190,131,61,1150.0,16.4,2.7
62.9,1.98,173,126,61,886.0,28.5,3.4
40.4,1.8,196,165,72,913.0,30.0,2.1
67.1,1.75,161,120,59,362.0,31.8,2.7
70.0,1.61,173,168,67,1201.0,23.9,2.5
69.5,1.75,192,155,69,711.0,27.6,2.1
107.9,1.66,194,140,98,832.0,29.5,2.8
109.0,1.91,198,156,56,1151.0,26.0,2.2
88.5,1.85,161,144,59,1119.0,11.0,3.5
43.1,1.62,196,161,65,837.0,33.6,1.8
59.1,1.52,177,204,56,967.0,18.4,2.7
72.3,1.78,163,149,72,852.0,27.7,1.8
51.1,1.98,171,126,52,574.0,28.0,2.91
89.4,1.72,188,152,67,813.0,24.5,3.2
87.9,1.88,173,143,64,1195.0,11.6,3.5
42.0,1.52,171,130,70,644.0,28.8,2.2
79.2,1.72,194,128,69,925.0,29.9,3.3
63.0,1.78,176,154,95,1095.0,17.5,2.7
56.2,1.77,192,138,59,1249.0,17.3,2.7
114.9,1.92,188,135,71,802.0,20.7,2.6
68.1,1.8,174,153,50,926.0,25.4,3.3
40.0,1.65,188,148,74,686.0,34.3,2.5
41.9,1.58,163,132,67,370.0,26.8,1.8
68.3,1.52,177,150,60,979.0,29.4,1.8
66.0,1.9,175,158,56,1025.0,24.1,3.0
75.6,1.71,173,127,57,663.0,28.1,2.0
63.4,1.59,162,129,55,1267.0,15.2,2.7
57.4,1.77,177,123,87,598.0,31.6,2.1
83.8,1.99,179,147,71,1280.0,11.0,3.5
87.0,1.76,197,121,57,799.0,28.4,3.5
45.4,1.67,163,158,62,1071.0,24.1,2.8
49.1,1.74,193,138,52,842.0,22.3,2.6
78.3,1.65,164,126,50,703.0,33.7,1.6
48.4,1.61,190,127,69,732.0,34.1,2.4
76.4,1.62,168,132,57,980.0,21.2,2.6
110.2,1.77,191,156,74,1021.0,26.5,3.4
58.9,1.76,189,130,73,410.0,30.1,1.7
82.2,1.87,171,143,55,1111.0,10.7,3.5
96.7,1.72,188,198,62,903.0,25.7,2.7
107.8,1.73,185,126,50,680.0,26.6,2.8
65.8,1.62,189,158,69,790.0,33.8,1.5
63.9,1.59,185,125,50,1169.0,16.4,2.7
76.3,1.62,161,169,70,1034.0,20.1,2.3
50.7,1.75,163,162,51,940.0,29.0,4.72
55.6,1.77,198,138,68,820.0,24.3,2.9
86.9,1.76,194,123,96,688.0,29.8,3.1
78.5,1.66,161,156,69,1006.0,32.8,1.9
102.6,1.72,190,147,58,597.0,27.5,2.0
55.7,1.61,177,128,51,993.0,28.7,2.01
110.5,1.92,172,144,55,919.0,20.2,3.3
46.5,1.72,169,201,72,832.0,22.2,2.6
45.1,1.72,196,129,70,594.0,27.5,3.3
99.9,1.99,189,147,73,1075.0,20.9,2.5
71.2,1.64,162,120,73,666.0,29.9,1.7
78.8,1.72,172,132,62,660.0,27.3,3.1
82.5,1.79,185,139,61,1163.0,14.7,3.5
108.5,1.79,183,150,68,878.0,24.8,2.1
49.9,1.98,165,122,68,772.0,25.7,2.1
125.1,1.91,171,137,70,353.0,28.3,3.22
79.7,1.66,195,160,68,763.0,27.8,1.9
63.1,1.54,185,165,67,1010.0,34.8,1.8
58.9,1.7,180,155,53,1060.0,17.1,3.07
50.4,1.6,195,156,62,803.0,29.1,1.9
64.2,1.59,199,145,66,1182.0,16.6,2.7
105.2,1.62,189,141,61,949.0,27.6,3.2
45.9,1.5,189,144,62,662.0,29.8,1.7
65.2,1.63,167,121,53,610.0,25.4,2.0
56.3,1.79,193,141,59,964.0,16.5,2.65
90.0,1.7,168,124,74,497.0,22.9,2.7
60.0,1.7,179,123,52,1212.0,19.1,2.7
91.5,1.77,178,140,74,616.0,26.7,3.4
57.8,1.56,170,156,66,1053.0,29.3,1.6
128.4,1.92,167,145,57,502.0,26.1,2.0
74.2,1.57,178,158,52,1161.0,32.7,2.4
89.6,1.68,182,139,74,1232.0,12.2,3.5
93.4,1.7,191,155,50,938.0,21.1,2.5
82.1,1.84,185,136,65,922.0,24.4,3.4
128.4,1.68,178,165,52,923.0,20.4,2.6
112.4,1.96,188,135,72,1054.0,23.2,2.5
89.3,1.99,192,135,58,936.0,26.3,2.0
70.3,1.55,178,139,54,876.0,26.1,1.6
59.1,1.72,196,148,68,792.0,31.3,1.7
49.9,1.69,178,147,56,979.0,26.0,1.7
101.7,1.67,192,127,57,333.0,20.9,2.9
93.0,1.91,175,143,55,729.0,27.3,3.7
123.7,1.69,185,138,73,987.0,20.4,2.1
69.2,1.53,167,134,59,911.0,28.5,2.1
81.4,1.61,164,142,55,796.0,30.0,2.2
64.9,1.51,164,165,68,1359.0,18.2,2.7
109.7,1.75,181,168,54,840.0,22.1,2.7
78.4,1.9,174,146,72,585.0,21.5,3.7
76.7,1.79,172,132,56,832.0,34.0,2.0
63.1,1.61,187,152,68,684.0,34.7,2.2
62.9,1.58,192,124,69,1105.0,20.0,2.7
85.6,1.74,182,145,56,1321.0,13.9,3.5
66.3,1.57,192,132,73,742.0,31.6,1.6
63.8,1.62,185,143,72,1022.0,20.8,3.4
55.4,1.55,175,122,65,1016.0,18.5,2.7
74.7,1.58,172,166,62,863.0,32.8,2.4
57.5,1.67,192,149,55,764.0,34.1,2.4
60.7,1.73,185,154,55,714.0,33.8,2.5
69.0,1.74,160,167,58,1223.0,30.0,2.3
71.2,1.64,165,147,54,939.0,30.9,2.3
85.0,1.68,197,163,74,1468.0,11.3,3.5
63.6,1.56,183,148,66,903.0,34.8,4.83
48.3,1.52,186,136,56,653.0,26.3,1.6
72.4,1.75,169,140,64,840.0,31.0,1.7
73.2,1.88,176,142,63,822.0,29.4,3.3
90.8,1.71,173,196,62,810.0,22.6,3.4
59.3,1.51,181,129,71,1096.0,15.1,2.7
45.0,1.77,185,162,58,1187.0,29.1,4.59
89.4,1.62,198,125,59,885.0,23.5,3.6
127.7,1.69,171,155,53,875.0,24.1,2.9
70.9,1.72,194,143,66,927.0,20.2,2.6
49.2,1.5,173,131,63,678.0,27.7,1.5
64.1,1.87,182,142,67,500.0,26.2,2.1
69.7,1.75,166,146,60,1029.0,32.5,2.0
56.9,1.59,199,164,65,1100.0,29.5,2.0
53.0,1.71,184,195,50,881.0,28.1,1.7
76.5,1.96,180,120,59,442.0,23.2,2.3
113.6,1.99,169,125,58,949.0,28.4,2.23
95.2,1.86,174,141,92,496.0,26.6,2.5
105.3,1.67,184,143,72,448.0,26.9,2.9
78.1,1.51,193,134,74,555.0,31.1,2.6
50.6,1.68,193,145,64,877.0,30.6,2.1
70.2,1.89,194,127,51,440.0,29.6,2.6
60.6,1.65,162,167,63,768.0,27.6,1.7
68.6,1.64,162,154,53,1024.0,32.4,1.5
123.3,1.88,177,161,67,1036.0,23.0,3.31
68.3,1.92,168,153,54,1289.0,29.9,3.5
58.4,1.79,164,131,56,943.0,17.0,4.07
74.3,1.71,162,157,64,1123.0,25.6,5.43
68.2,1.75,177,212,71,638.0,29.0,1.7
91.4,1.99,171,152,60,1145.0,23.0,3.7
42.1,1.65,172,132,59,725.0,33.0,2.2
58.4,1.72,194,150,65,973.0,23.4,3.1
66.9,1.74,195,129,62,720.0,29.5,2.1
66.3,1.85,170,121,58,707.0,27.5,3.2
64.1,1.5,194,134,49,1293.0,15.1,2.7
58.1,1.61,175,150,71,1425.0,15.3,5.48
64.9,1.6,169,153,55,838.0,31.1,2.5
42.7,1.74,161,130,71,608.0,32.9,1.6
51.4,1.63,183,134,73,724.0,33.7,2.0
125.3,1.86,197,129,64,639.0,22.7,2.2
102.1,1.85,190,159,67,1278.0,28.1,2.4
61.9,1.77,199,166,69,1205.0,25.3,2.3
108.8,1.64,185,169,63,1171.0,20.5,3.4
51.1,1.58,188,169,64,422.0,29.6,1.6
42.7,1.66,173,134,53,440.0,33.9,1.9
81.8,1.99,184,137,51,1198.0,10.5,3.5
54.6,1.76,160,137,56,868.0,27.4,3.3
78.8,1.71,177,121,59,992.0,24.7,2.5
50.7,1.59,197,139,66,883.0,29.4,1.8
58.0,1.53,180,198,50,1159.0,18.3,2.7
95.9,1.85,186,199,64,995.0,27.7,3.4
61.5,1.58,165,149,50,1247.0,16.8,2.7
40.6,1.79,195,161,55,499.0,26.8,2.7
82.5,1.87,187,124,74,927.0,13.2,3.5
58.1,1.58,199,120,50,1042.0,19.3,2.7
61.0,1.76,162,153,54,1060.0,15.6,2.7
58.2,1.98,198,138,74,1085.0,24.0,2.5
62.2,1.84,161,140,65,393.0,21.5,2.3
94.5,1.7,189,140,64,700.0,28.2,3.5
58.0,1.79,164,143,73,994.0,27.1,1.5
84.0,1.94,168,142,50,1218.0,11.2,3.5
61.0,1.87,180,131,61,739.0,21.3,3.0
80.9,1.9,194,137,55,1356.0,11.7,5.5
64.1,1.63,186,120,74,948.0,16.4,2.7
67.0,1.77,161,149,50,900.0,25.6,2.6
95.1,1.85,190,143,58,952.0,25.3,2.3
105.7,1.64,198,155,59,921.0,29.5,3.1
48.0,1.76,189,124,52,491.0,28.6,2.6
69.5,1.5,196,145,66,448.0,32.8,2.4
66.1,1.69,187,135,68,545.0,27.4,3.4
50.3,1.78,170,132,67,555.0,24.5,5.54
125.9,1.94,199,132,82,882.0,28.5,2.9
88.1,1.93,186,143,66,1479.0,11.1,3.5
62.0,1.85,161,121,53,586.0,23.7,3.0
69.7,1.72,198,135,66,753.0,27.3,2.0
60.9,1.52,196,157,66,926.0,30.6,1.8
76.5,1.97,180,165,61,1025.0,21.3,2.3
94.7,1.82,164,120,69,873.0,23.2,3.2
67.9,1.75,180,168,67,1155.0,29.1,3.1
121.1,1.87,188,130,52,937.0,24.1,3.2
71.5,1.64,179,154,60,1012.0,32.5,1.9
124.6,1.63,161,213,66,1055.0,27.6,2.8
73.0,1.59,191,158,67,931.0,28.9,2.2
110.0,1.76,160,122,50,658.0,22.0,3.4
58.6,1.66,172,161,90,964.0,26.8,2.9
54.4,1.72,194,161,73,725.0,24.8,2.9
115.4,1.92,193,189,50,1084.0,28.3,2.2
71.2,1.97,181,151,73,615.0,25.9,3.6
78.1,1.6,198,145,73,718.0,32.9,5.07
54.2,1.65,172,120,65,642.0,34.9,1.9
81.6,1.87,167,128,59,1185.0,10.2,3.5
49.2,1.54,179,153,63,881.0,30.7,2.1
60.6,1.55,172,120,52,780.0,32.9,1.6
52.1,1.61,198,128,70,612.0,21.3,3.3
46.6,1.77,184,189,63,382.0,28.1,2.6
44.2,1.57,183,155,59,753.0,31.9,2.3
89.1,1.84,168,159,91,1133.0,24.0,3.6
65.9,1.62,199,164,56,731.0,28.8,2.2
55.6,1.57,182,123,53,597.0,29.2,2.99
63.7,1.98,172,161,69,868.0,24.0,3.0
86.2,1.82,191,160,72,1725.0,10.2,3.5
59.2,1.63,174,141,74,1304.0,17.8,2.7
68.1,1.55,164,131,65,831.0,26.1,2.2
60.0,1.62,181,161,69,684.0,28.1,1.9
74.8,1.69,175,162,53,933.0,32.8,2.3
90.3,1.65,169,158,53,1199.0,23.7,3.4
73.7,1.66,177,125,72,639.0,26.7,2.2
78.3,1.96,166,167,62,1066.0,29.0,2.2
48.2,1.65,163,166,60,913.0,26.1,2.5
56.8,1.51,185,126,52,777.0,32.1,2.1
112.4,1.63,164,208,58,757.0,25.0,3.4
59.0,1.67,175,124,55,558.0,33.7,2.41
98.4,1.88,194,135,94,386.0,21.3,2.2
66.5,1.6,185,120,70,796.0,26.8,2.1
106.5,1.81,177,156,65,1107.0,25.7,2.5
88.4,1.79,182,138,68,1321.0,12.5,3.5
58.1,1.56,174,134,63,415.0,34.4,2.2
74.2,1.76,192,145,66,834.0,25.9,4.76
78.0,1.92,180,127,53,453.0,28.1,2.7
89.0,1.68,176,152,65,1332.0,10.5,2.65
42.7,1.76,182,121,88,883.0,34.9,2.2
83.9,1.82,176,149,70,1401.0,13.1,3.5
65.9,1.52,188,139,53,794.0,27.0,2.3
76.9,1.92,179,137,68,851.0,22.4,3.7
54.9,1.52,172,123,72,910.0,27.0,2.0
68.4,1.5,192,132,61,904.0,33.7,2.1
113.4,1.91,177,137,54,957.0,22.2,3.22
61.9,1.52,168,143,51,592.0,28.4,1.25
72.1,1.66,176,152,55,958.0,27.0,5.53
59.4,1.68,165,147,64,844.0,20.2,2.5
76.3,1.73,196,158,65,768.0,32.0,2.6
95.8,1.86,193,129,65,972.0,21.2,3.2
85.3,1.89,163,200,61,593.0,27.6,3.6
52.6,1.57,169,166,60,1071.0,31.9,4.95
76.3,1.65,180,154,62,878.0,31.8,1.7
61.0,1.63,170,124,74,331.0,20.0,3.4
67.8,1.61,186,160,66,1072.0,34.3,1.8
114.9,1.86,175,141,56,949.0,21.1,5.57
124.8,1.85,175,126,69,842.0,24.4,3.5
53.0,1.58,166,142,62,895.0,34.5,1.8
50.6,1.7,175,146,58,848.0,33.1,2.3
72.6,1.73,199,160,68,1016.0,34.8,2.5
70.4,1.56,171,125,62,644.0,34.3,2.4
52.5,1.88,194,140,71,818.0,29.0,2.9
76.3,1.77,180,128,57,957.0,27.3,2.1
55.3,1.76,176,152,67,1186.0,15.5,2.7
49.7,1.67,191,125,72,776.0,31.9,2.3
48.3,1.87,165,190,51,525.0,29.8,3.3
120.5,1.73,186,153,67,850.0,29.3,3.4
73.0,1.75,184,148,50,759.0,26.6,2.0
42.7,1.53,168,155,65,983.0,28.4,2.4
129.9,1.73,187,155,85,529.0,21.7,3.1
46.9,1.74,198,167,63,946.0,20.0,2.6
109.8,1.62,193,141,66,651.0,24.4,3.5
85.6,1.85,185,135,55,1322.0,14.5,3.5
63.2,1.8,166,157,66,463.0,25.5,2.6
62.6,1.63,190,161,58,1344.0,15.0,2.7
87.1,1.76,183,156,67,1398.0,11.6,3.5
82.3,1.84,190,148,66,1408.0,13.3,3.5
64.3,1.78,188,137,61,1171.0,18.7,2.7
63.0,2.0,176,161,70,1257.0,26.8,2.9
128.4,1.86,173,158,71,921.0,23.6,3.77
88.0,1.89,199,137,54,1319.0,13.3,2.73
63.7,1.52,195,120,60,714.0,25.4,2.1
83.7,1.87,183,158,53,1009.0,23.9,2.3
77.7,1.55,184,120,52,330.0,33.0,1.7
87.5,1.88,191,134,73,789.0,27.2,2.6
65.4,1.68,196,129,66,441.0,35.0,2.6
47.2,1.71,185,142,56,632.0,26.0,2.5
58.2,1.7,168,160,53,684.0,26.8,2.0
55.2,1.73,167,165,62,1240.0,16.6,2.7
64.4,1.71,179,167,61,935.0,27.1,1.8
73.5,1.74,181,152,50,807.0,30.0,3.34
86.5,1.76,189,158,68,1158.0,29.0,3.4
46.1,1.67,187,129,70,743.0,25.3,1.8
94.6,1.84,170,120,67,748.0,26.0,3.1
54.2,1.52,190,132,60,746.0,31.0,2.2
47.7,1.77,198,120,67,759.0,24.8,2.7
88.8,1.95,189,135,66,1173.0,10.3,3.5
78.9,1.64,196,164,70,1050.0,25.3,2.6
73.5,1.63,188,136,96,350.0,26.1,3.2
127.9,1.93,185,168,70,1173.0,21.8,3.0
88.5,1.98,161,153,88,1515.0,11.1,3.5
42.8,1.56,174,133,66,978.0,32.2,2.6
50.7,1.53,181,147,52,948.0,33.0,2.1
59.2,1.66,197,161,59,1151.0,21.3,3.2
78.9,1.73,182,151,64,938.0,34.0,2.3
78.7,1.63,185,154,59,847.0,31.7,1.8
68.7,1.92,170,150,73,1081.0,29.0,3.0
53.1,1.59,187,136,72,502.0,29.5,2.5
64.8,1.65,161,166,67,904.0,24.4,2.8
50.3,1.61,167,128,50,749.0,32.8,2.5
102.3,1.63,188,129,97,856.0,20.9,2.6
62.9,1.92,170,127,70,789.0,25.2,3.6
74.6,1.55,177,132,95,422.0,33.3,2.1
52.0,1.79,173,169,52,937.0,29.6,3.0
72.2,1.54,194,125,54,606.0,27.1,1.7
81.4,1.85,194,150,74,1320.0,12.4,2.59
50.9,1.65,170,136,50,887.0,30.1,2.3
52.0,1.78,171,130,53,987.0,22.4,2.7
71.0,1.93,162,139,53,1086.0,21.2,2.9
80.6,1.77,198,167,66,1248.0,12.9,3.5
63.0,1.7,187,121,67,719.0,34.9,2.5
52.6,1.66,198,120,71,762.0,32.9,1.7
116.4,2.0,184,123,65,688.0,26.2,3.1
59.3,1.75,178,128,58,634.0,34.5,5.25
75.7,1.94,181,141,72,915.0,29.3,2.4
56.3,1.6,180,142,53,859.0,28.8,1.9
62.7,1.67,164,162,70,826.0,26.1,2.6
64.5,1.82,187,149,52,983.0,23.4,2.4
76.6,1.86,173,147,55,796.0,25.4,2.8
60.7,1.71,168,169,60,954.0,22.1,2.5
57.2,1.55,194,121,58,909.0,18.4,2.7
123.8,1.99,180,121,72,752.0,25.6,2.6
76.8,1.92,192,161,50,988.0,21.1,2.5
54.7,1.53,167,151,69,674.0,26.8,2.0
92.3,1.94,176,131,71,821.0,24.3,2.1
71.8,1.55,190,120,68,720.0,26.3,2.4
66.9,1.57,193,127,63,679.0,30.7,1.26
48.7,1.76,165,167,66,1144.0,29.0,2.2
112.4,1.85,162,134,66,870.0,23.4,3.6
70.0,1.55,171,163,74,693.0,31.1,1.5
43.8,1.65,171,129,89,749.0,26.6,1.7
123.3,1.62,161,165,65,1216.0,21.2,5.38
57.9,1.56,161,124,50,1116.0,15.1,2.7
84.8,1.79,182,138,55,1025.0,28.8,2.3
109.6,1.66,188,166,96,1060.0,20.5,3.1
63.9,1.8,191,156,72,626.0,33.7,2.7
70.8,1.62,166,162,68,394.0,26.0,1.8
115.3,1.67,189,139,55,950.0,24.4,2.5
73.9,1.8,173,200,50,942.0,28.3,3.7
97.3,1.96,189,134,50,1025.0,24.9,3.4
91.8,1.78,165,153,65,1091.0,23.5,3.4
47.1,1.78,165,149,65,929.0,24.7,2.4
65.2,1.62,186,128,63,408.0,25.3,3.4
87.2,1.64,177,165,50,1634.0,15.0,3.5
46.9,1.61,196,169,69,821.0,28.6,1.7
62.5,1.54,197,125,61,906.0,18.1,2.7
64.3,1.62,174,145,62,1276.0,19.8,2.7
74.3,1.61,160,136,51,714.0,24.8,3.5
78.5,1.7,177,138,45,938.0,31.9,2.1
77.3,1.58,171,144,68,733.0,31.1,2.0
64.5,1.7,187,125,72,319.0,30.4,1.7
68.9,1.99,180,149,51,951.0,25.0,2.4
45.9,1.89,193,144,50,1148.0,21.6,2.9
68.2,1.69,170,159,73,537.0,28.4,2.5
57.7,1.58,188,145,52,986.0,25.7,2.2
74.2,1.93,187,141,56,1024.0,28.3,2.5
64.4,1.56,177,144,73,985.0,17.8,2.7
54.9,1.78,173,132,71,380.0,31.7,2.0
50.3,1.64,177,150,62,468.0,27.0,2.4
57.8,1.99,183,161,67,741.0,24.7,3.1
66.5,1.73,163,142,56,709.0,34.7,2.0
121.9,1.93,195,132,54,1082.0,21.8,3.4
70.3,1.52,164,144,66,857.0,25.6,4.93
40.3,1.56,192,121,57,877.0,30.8,2.1
101.4,1.76,193,121,64,559.0,23.6,2.9
79.2,1.95,189,135,69,982.0,22.8,2.8
71.7,1.88,198,147,51,445.0,23.7,4.65
57.2,1.75,193,160,74,1032.0,33.5,2.4
44.8,1.72,166,132,54,977.0,28.6,1.8
90.2,1.72,199,180,55,668.0,28.3,2.1
59.0,1.65,198,153,53,924.0,20.7,2.3
86.6,1.97,197,167,93,1372.0,11.7,3.5
72.8,1.67,163,121,50,829.0,35.0,3.48
66.3,1.77,177,199,57,1046.0,32.7,1.7
56.0,1.6,184,151,69,672.0,32.6,2.0
45.9,1.93,166,159,65,1015.0,29.6,2.0
88.0,1.64,197,147,70,1536.0,14.4,3.5
94.0,1.79,187,156,62,1012.0,23.2,3.4
44.7,1.79,164,160,72,965.0,26.7,2.1
47.8,1.86,179,129,67,645.0,24.7,2.8
85.3,1.64,178,123,69,1197.0,13.2,3.5
59.7,1.83,170,154,59,1143.0,29.1,2.3
70.2,1.98,199,129,61,504.0,24.2,2.5
72.7,1.8,162,201,50,590.0,32.8,2.1
50.4,1.79,182,130,59,433.0,27.7,2.96
49.3,1.62,182,157,52,484.0,20.0,3.2
61.9,1.64,166,131,68,1138.0,19.4,4.64
75.5,1.93,168,135,68,446.0,20.5,2.98
88.2,1.79,177,154,47,1491.0,11.3,3.5
116.5,1.69,198,148,51,388.0,27.3,5.06
64.3,1.54,199,133,58,999.0,15.3,2.7
59.0,1.62,178,150,56,847.0,30.9,2.4
127.5,1.82,180,158,70,1116.0,29.8,3.0
68.6,1.52,173,137,68,875.0,28.1,2.6
61.6,1.52,178,194,71,1228.0,19.5,2.7
75.1,1.82,189,127,60,859.0,26.4,3.2
79.3,1.93,181,147,52,888.0,27.3,3.3
44.2,1.61,177,122,69,659.0,32.4,4.57
56.5,1.7,170,122,64,406.0,27.0,2.7
100.9,1.63,161,163,59,986.0,28.4,3.1
55.8,1.55,171,207,54,711.0,27.0,1.8
58.3,1.93,165,136,58,1010.0,27.4,3.7
85.6,1.69,189,133,50,1159.0,12.7,3.5
64.2,1.69,188,131,69,996.0,16.5,2.7
65.2,1.62,192,156,59,1069.0,31.1,2.49
70.1,1.66,169,151,58,673.0,34.6,2.6
102.6,1.77,193,130,59,779.0,21.0,3.4
107.2,1.93,167,139,55,879.0,20.2,3.1
81.7,1.75,165,165,55,1198.0,29.1,2.8
76.6,1.58,199,149,53,481.0,32.2,2.3
116.8,1.79,178,127,61,698.0,26.8,3.4
60.1,1.59,191,123,52,1107.0,17.6,2.7
41.6,1.58,160,163,68,756.0,26.6,2.1
55.1,1.79,192,159,67,1582.0,17.0,2.7
69.1,1.6,191,166,53,1001.0,26.1,2.0
64.4,1.55,194,139,62,1107.0,19.7,2.7
64.9,1.57,166,123,53,576.0,25.9,2.4
52.3,1.66,174,188,71,433.0,33.0,1.8
70.3,1.77,162,123,52,621.0,33.7,1.7
56.0,1.5,193,128,56,1242.0,16.7,2.7
101.2,1.84,181,145,50,944.0,24.3,3.3
56.6,1.57,170,167,72,1378.0,15.7,3.22
40.9,1.75,167,197,61,594.0,25.2,2.1
127.8,1.65,198,157,60,598.0,28.7,3.5
49.3,1.76,194,161,73,927.0,30.5,2.0
64.3,1.63,197,132,57,1234.0,18.0,2.7
49.3,1.62,167,158,86,1025.0,29.3,2.5
63.0,1.62,196,147,55,500.0,31.7,1.9
41.1,1.67,186,154,71,711.0,31.9,2.4
71.0,1.62,199,138,68,691.0,21.2,3.5
60.9,1.62,193,168,69,1336.0,16.8,2.7
64.7,1.66,191,132,69,1117.0,19.8,2.7
76.9,1.82,192,121,50,992.0,24.5,2.8
80.5,1.77,175,129,59,1181.0,14.3,3.5
