Source\Target,gym_B1.56,gym_B1.Male,gym_B1.88.3,gym_B1.180,gym_B1.157,gym_B1.60,gym_B1.1.69,gym_B1.1313.0,gym_B1.2.25,gym_B1.4,gym_B1.3,gym_B1.30.2,gym_C1.Kx2HyaGxl,gym_C1.Avg_BPM,gym_C1.Resting_BPM,gym_C1.Weight (kg),gym_C1.Verbrannte Kalorien ,gym_C1.G.,gym_C2.Calories_Burned,gym_C2.Gender,gym_C2.Weight (kg),gym_C2.go through horizontal surface,gym_C2.8w_Session_Duration (hours),gym_C2.A.B.
gym_D1.Max_BPM,0.0,0.28571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57142854,0.36363637,0.0,0.050000012,0.0,0.19999999,0.0,0.0,0.034482777,0.037037015,0.14285713
gym_D1.Avg_BPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454544,0.090909064,0.0,0.0,0.13333333,0.0,0.090909064,0.034482777,0.037037015,0.28571427
gym_D1.Calories_Burned,0.0,0.19999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333,0.19999999,0.06666666,0.19999999,0.0,1.0,0.13333333,0.06666666,0.17241377,0.1851852,0.06666666
gym_D1.F.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666669,0.25,0.0,0.0,0.0,0.0,0.14285713,0.090909064,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5
gym_D1.wKJ_Water_Intake (liters),0.0,0.120000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120000005,0.04000002,0.07999998,0.24000001,0.19999999,0.0,0.120000005,0.16000003,0.24000001,0.10344827,0.25925928,0.0
gym_D2.He(m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111104,0.0,0.090909064,0.18181819,0.050000012,0.0,0.06666666,0.16666669,0.18181819,0.0,0.07407409,0.0
gym_D2.Avg_BPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454544,0.090909064,0.0,0.0,0.13333333,0.0,0.090909064,0.034482777,0.037037015,0.28571427
gym_D2.T7Q_Calories_Burned,0.0,0.15789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631557,0.10526317,0.15789473,0.052631557,0.14999998,0.0,0.78947365,0.10526317,0.052631557,0.17241377,0.14814812,0.052631557
gym_D2.Workout_Type,0.0,0.08333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333331,0.08333331,0.16666669,0.14999998,0.0,0.19999999,0.0,0.16666669,0.17241377,0.111111104,0.0
gym_D3.Age,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571427,0.090909064,0.090909064,0.050000012,0.0,0.06666666,0.16666669,0.090909064,0.068965495,0.037037015,0.25
gym_D3.G.,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.16666669,0.25,0.0,0.0,0.25,0.111111104,0.0,0.0,0.0,0.0,1.0,0.0,0.16666669,0.0,0.0,0.0,0.25
gym_D3.Weight (kg),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909064,0.090909064,1.0,0.14999998,0.0,0.06666666,0.090909064,1.0,0.13793105,0.22222221,0.0
gym_D3.Height (m),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100000024,0.090909064,0.72727275,0.14999998,0.0,0.06666666,0.100000024,0.72727275,0.13793105,0.22222221,0.0
gym_D3.MaBP,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111104,0.28571427,0.18181819,0.0,0.050000012,0.0,0.13333333,0.0,0.0,0.034482777,0.037037015,0.25
gym_D3.Avg_BPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454544,0.090909064,0.0,0.0,0.13333333,0.0,0.090909064,0.034482777,0.037037015,0.28571427
gym_D3.Workout_Frequency (days/week),0.0,0.068965495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068965495,0.034482777,0.068965495,0.17241377,0.20689654,0.0,0.13793105,0.13793105,0.17241377,0.068965495,0.068965495,0.0
gym_D3.87U_BMI,0.0,0.0,0.14285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571427,0.18181819,0.0,0.0,0.0,0.13333333,0.0,0.0,0.0,0.07407409,0.14285713
